"Patesserie Bag 33""x12""x25""",111012,Ninja Girl Handbags,8.01063E+11,Patesserie Bag,Ninja Girl Patesserie Bag,,,"13""x4.7""x10""",,,24.975,49.95,82.99,, , ,,,India,,"Ninja Girl girl handbags incorporatge recycled materials and vintage designs to create a handbag with a purpose. Ninja Girl is on a mission for women's justice. Women's safety is a huge problem around the world. In the developing countries it is an exploding menace and women with fewer resources really staccessoriesgle to get justice. From street protests, police detentions, university marches and meeting politicians, the founders of Ninja Girl actively work to help with Women's Safety. They also help as many victims as possible in getting a better chance at justice.",Cream,Grey,"Cream, Grey",N,,,Canvas,"Canvas, Cotton, Leather, Metal",,,3,1,2,20,20,,30084,https://homespice.egnyte.com/fl/H4lGdjdL6f,Ninja Girl Col 1,h1-patisserie-handbag-front.jpg,h1-patisserie-handbag-Back.jpg,h1-patisserie-handbag-inside.jpg,,,,,,,,http://i1307.photobucket.com/albums/s587/homespicedecor/Handbags/h1-patisserie-handbag-front_zpsqjs3stzu.jpg,http://i1307.photobucket.com/albums/s587/homespicedecor/Handbags/h1-patisserie-handbag-Back_zpsopyukgej.jpg,http://i1307.photobucket.com/albums/s587/homespicedecor/Handbags/h1-patisserie-handbag-inside_zpsped8x50s.jpg,
"Paris Lap Top Bag 16""x13""x4""",111104,Ninja Girl Handbags,8.01063E+11,Paris Lap Top Bag,Ninja Girl Paris Lap Top Bag,,,"16""x13""x4""",,,34.975,69.95,116.99,, , ,,,India,,"Ninja Girl girl handbags incorporatge recycled materials and vintage designs to create a handbag with a purpose. Ninja Girl is on a mission for women's justice. Women's safety is a huge problem around the world. In the developing countries it is an exploding menace and women with fewer resources really staccessoriesgle to get justice. From street protests, police detentions, university marches and meeting politicians, the founders of Ninja Girl actively work to help with Women's Safety. They also help as many victims as possible in getting a better chance at justice.",Grey,"Black, Brown","Grey, Black, Brown",N,,,Canvas,"Canvas, Cotton, Leather, Metal",,,2.75,1,2,20,20,,30084,https://homespice.egnyte.com/fl/H4lGdjdL6f,Ninja Girl Col 1,h11-paris-laptop-bag-front.jpg,h11-paris-laptop-bag-back.jpg,h11-paris-laptop-bag-inside.jpg,,,,,,,,http://i1307.photobucket.com/albums/s587/homespicedecor/Handbags/h11-paris-laptop-bag-front_zpspv89j1fp.jpg,http://i1307.photobucket.com/albums/s587/homespicedecor/Handbags/h11-paris-laptop-bag-back_zpspxfcqtig.jpg,http://i1307.photobucket.com/albums/s587/homespicedecor/Handbags/h11-paris-laptop-bag-inside_zpsmieodid0.jpg,
"USA First Class Bag 17.3""x4""x15.7""",111128,Ninja Girl Handbags,8.01063E+11,USA First Class Bag,Ninja Girl USA First Class Bag,,,"17.3""x4""x15.7""",,,24.975,49.95,82.99,, , ,,,India,,"Ninja Girl girl handbags incorporatge recycled materials and vintage designs to create a handbag with a purpose. Ninja Girl is on a mission for women's justice. Women's safety is a huge problem around the world. In the developing countries it is an exploding menace and women with fewer resources really staccessoriesgle to get justice. From street protests, police detentions, university marches and meeting politicians, the founders of Ninja Girl actively work to help with Women's Safety. They also help as many victims as possible in getting a better chance at justice.",Tan,"Black, Brown","Tan, Black, Brown",N,,,Canvas,"Canvas, Cotton, Leather, Metal",,,2.75,1,2,20,20,,30084,https://homespice.egnyte.com/fl/H4lGdjdL6f,Ninja Girl Col 1,h17-usa-first-class-tote-bag-front.jpg,h17-usa-first-class-tote-bag-back.jpg,h17-usa-first-class-tote-bag-inside.jpg,,,,,,,,http://i1307.photobucket.com/albums/s587/homespicedecor/Handbags/h17-usa-first-class-tote-bag-front_zps8oi1kvzn.jpg,,http://i1307.photobucket.com/albums/s587/homespicedecor/Handbags/h17-usa-first-class-tote-bag-back_zpsb8clbjgk.jpg,
"USA Sling Bag 9.4""x1.5""x12""",113122,Ninja Girl Handbags,8.01063E+11,USA Sling Bag,Ninja Girl USA Sling Bag,,,"9.4""x1.5""x12""",,,19.975,39.95,66.99,, , ,,,India,,"Ninja Girl girl handbags incorporatge recycled materials and vintage designs to create a handbag with a purpose. Ninja Girl is on a mission for women's justice. Women's safety is a huge problem around the world. In the developing countries it is an exploding menace and women with fewer resources really staccessoriesgle to get justice. From street protests, police detentions, university marches and meeting politicians, the founders of Ninja Girl actively work to help with Women's Safety. They also help as many victims as possible in getting a better chance at justice.",Beige,"Brown, Grey","Beige, Brown, Grey",N,,,Canvas,"Canvas, Cotton, Leather, Metal",,,2.75,1,2,20,20,,30084,https://homespice.egnyte.com/fl/H4lGdjdL6f,Ninja Girl Col 1,h19-usa-sling-bag-front.jpg,h19-usa-sling-bag-back.jpg,h19-usa-sling-bag-inside.jpg,,,,,,,,http://i1307.photobucket.com/albums/s587/homespicedecor/Handbags/h19-usa-sling-bag-front_zpscectvbta.jpg,http://i1307.photobucket.com/albums/s587/homespicedecor/Handbags/h19-usa-sling-bag-back_zpsiczop3v8.jpg,http://i1307.photobucket.com/albums/s587/homespicedecor/Handbags/h19-usa-sling-bag-inside_zpsicml4ctc.jpg,
Melange Cross Body Bag,114150,Ninja Girl Handbags,801063114150,Melange Cross Body Bag,Ninja Girl Melange Cross Body Bag,,,"6.5"" (L) x 8"" (H)",,,17.475,34.95,59,,"54"" shoulder strap, 23"" shoulder strap drop","54"" shoulder strap, 23"" shoulder strap drop",,"INTERIOR: signature Ninja Girl soft cotton lining  ADDITIONAL STORAGE:  1 exterior zipper pocket and 1 exterior open side pocket OTHER DETAILS: made from recycled army tents,  zipper closure, removable shoulder strap, antique matal hardware",India,"Attractive design, spacious and strong, this bag makes a bold and elegant statement at the same time. It comes with an adjustable strap and zipper closure and inner compartments. The bag is made from recycled material and comes in a bold color combination.",Tan,Olive,"Tan, Olive",,N,,Upcycled Canvas,"Upcycled canvas, buff leather",Ninja Girl Signature print cotton twill lining,"Cotton webbing, metal alloy hardware","90% Cotton, 10% Leather",0.85,1,2,10,10,,30084,https://homespice.egnyte.com/fl/NnVT8YFAWv,Ninja Girl Col 2,Ninja-Girl-Melange-Cross-Body-Bag.jpg,Ninja-Girl-Melange-Cross-Body-Bag-Angle.jpg,Ninja-Girl-Melange-Cross-Body-Bag-Back.jpg,,,Ninja-Girl-Melange-Cross-Body-Bag-Inside.jpg,,,,,http://i1307.photobucket.com/albums/s587/homespicedecor/Handbags/Ninja-Girl-Melange-Cross-Body_zpserusud0t.jpg,,,
"Indian Corn 7"" Round ( pack of 3 )",211019,Primitive Accessories,8.01063E+11,Indian Corn,Indain Corn,,,"7""",,,28.5,57,99,,,,,,India,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Field Of Red Pillow 12"" x 16""",211460,Pillows,8.01063E+11,Field Of Red Pillow (Fillers Not Included),Homespice Decor Field Of Red Pillow Wool Pillow,,,"12"" x 16""",,,11.8,23.6,59,,Rectangle,Rectangle,N,Hooked,India,Felted Wool,"Our pillows make great accents for your home and add beauty and comfort. These unique pillows combine old world techniques such as appliques and hooking, with interesting designs to provide an exciting new decorating element.",,,Red,,Y,,,"Wool 46%, Cotton 26%, Acrylic 11%, Nylon 9%, Polyester 8%","Trim, never pull loose ends. What may appear as an irregularity color or construction is actually part of the ""Handmade"" look.",,2,1,5,16,16,5,30084,,,,,,,,,,,,,,,,
"Field Of Red Pillow 18"" x 18""",211477,Pillows,8.01063E+11,Field Of Red Pillow (Fillers Not Included),Homespice Decor Field Of Red Pillow Wool Pillow,,,"18"" x 18""",,,17.8,35.6,89,,Rectangle,Square,N,Hooked,India,Felted Wool,"Our pillows make great accents for your home and add beauty and comfort. These unique pillows combine old world techniques such as appliques and hooking, with interesting designs to provide an exciting new decorating element.",,,Red,,Y,,,"Wool 46%, Cotton 26%, Acrylic 11%, Nylon 9%, Polyester 8%","Trim, never pull loose ends. What may appear as an irregularity color or construction is actually part of the ""Handmade"" look.",,2.5,1,5,16,16,5,30084,,,,,,,,,,,,,,,,
"Starburst Pillow 12"" x 12""",211507,Pillows,8.01063E+11,Starburst Handcrafted Applique Wool Pillow,Starburst Handcrafted Applique Wool Pillow,,,"12"" x 16""",,,9.8,19.6,49,,Rectangle,Square,N,Hooked,India,Felted Wool,"Our pillows make great accents for your home and add beauty and comfort. These unique pillows combine old world techniques such as appliques and hooking, with interesting designs to provide an exciting new decorating element.",,,"Red, Black, Grey",,Y,,,"Wool 46%, Cotton 26%, Acrylic 11%, Nylon 9%, Polyester 8%","Trim, never pull loose ends. What may appear as an irregularity color or construction is actually part of the ""Handmade"" look.",,2,1,5,16,16,5,30084,,,,,,,,,,,,,,,,
"Daffodil Pillow 12"" x 16""",211514,Pillows,8.01063E+11,Daffodil,Daffodil Applique Wool Pillow,,,"12"" x 16""",,,11.8,23.6,59,,Rectangle,Rectangle,N,Hooked,India,Felted Wool,"Our pillows make great accents for your home and add beauty and comfort. These unique pillows combine old world techniques such as appliques and hooking, with interesting designs to provide an exciting new decorating element.",Grey,"Green, Beige, White","Grey, Green, Beige, White",N,Y,"Country, Primitive, Casual",Wool,"Wool 46%, Cotton 26%, Acrylic 11%, Nylon 9%, Polyester 8%","Trim, never pull loose ends. What may appear as an irregularity color or construction is actually part of the ""Handmade"" look.",3 year limited repair or replacement to the initial purchaser and original seller.,2,1,5,16,16,5,30084,,,,,,,,,,,,,,,,
