ids,original,wout space,desired upload filename,160,400,800,SHST
7947,Star Hollow Candle Co.,Star_Hollow_Candle_Co.,Star_Hollow_Candle_Co._7947.xls,StarHollow160,StarHollow400,StarHollow800,
7948,KT Framed Art,KT_Framed_Art,Pine_Valley_Plaques_7948.xls,PineVal_Plaques160,PineVal_Plaques400,PineVal_Plaques800,
7949,Miller Decor,Miller_Decor,Miller_Decor_7949.xls,Millers160,Millers400,Millers800,Miller_Decor_SHST.xls
7950,Impressions on Market,Impressions_on_Market,Impressions_on_Market_7950.xls,Impressions160,Impressions400,Impressions800,Impressions_on_Market_SHST.xls
7952,DNS Designs,DNS_Designs,DNS_Designs_7952.xls,DNS160,DNS400,DNS800,DNS_Designs_SHST.xls
7957,Adams & Co Closeouts,Adams_Co_Closeouts,Adams_&_Co_Closeouts_7957.xls,Adams160,Adams400,Adams800,
7958,Whiskey Mountain,Whiskey_Mountain,Whiskey_Mountain_7958.xls,WhiskeyMtn160,WhiskeyMtn400,WhiskeyMtn800,Whiskey_Mountain_SHST.xls
7959,Frog on a Limb Primitives Soy Candles,Frog_on_a_Limb_Primitives_Soy_Candles,Frog_on_a_Limb_Primitives_Soy_Candles_7959.xls,FrogLimb160,FrogLimb400,FrogLimb800,
7960,Capitol Discounted Closeouts,Capitol_Discounted_Closeouts,Capitol_Discounted_Closeouts_7960.xls,Cap 160,Cap 400,Cap 800,
7961,Designs Combined Closeouts,Designs_Combined_Closeouts,Designs_Combined_Closeouts_7961.xls,DCI160,DCI400,DCI800,
7962,Peaceful Village Jewelry,Peaceful_Village_Jewelry,Peaceful_Village_Jewelry_7962.xls,PeacefulVillage160,PeacefulVillage400,PeacefulVillage800,
7964,Objects With Purpose Candles,Objects_With_Purpose_Candles,Objects_With_Purpose_Candles_7964.xls,owp160,owp400,owp800,
7966,Cedar Mesa Pottery,Cedar_Mesa_Pottery,Cedar_Mesa_Pottery_7966.xls,cedarmesa160,cedarmesa400,cedarmesa800,
7967,Ragon House Collection,Ragon_House_Collection,Ragon_House_Collection_7967.xls,Ragon160,Ragon400,Ragon800,Ragon_House_Collection_SHST.xls
7968,Capabunga Wine Products,Capabunga_Wine_Products,Capabunga_Wine_Products_7968.xls,Capabunga160,Capabunga400,Capabunga800,Capabunga_SHST.xls
7969,Beyond Borders,Beyond_Borders,Beyond_Borders_7969.xls,Beyond160,Beyond400,Beyond800,Beyond_Borders_SHST.xls
7970,Colonial Thymes Candles,Colonial_Thymes_Candles,Colonial_Thymes_Candles_7970.xls,ColonialThymes160,ColonialThymes400,ColonialThymes800,
7971,Cheasapeake /JD Yeatts Closeouts,Cheasapeake_-JD_Yeatts_Closeouts,Cheasapeake_&JD_Yeatts_Closeouts_7971.xls,JDYEATTS160,JDYEATTS400,JDYEATTS800,
7972,Passport Candles,Passport_Candles,Passport_Candles_7972.xls,Passport160,Passport400,Passport800,
7974,Pine Creek Four Corners,Pine_Creek_Four_Corners,Pine_Creek_Four_Corners_7974.xls,PineCreek160,PineCreek400,PineCreek800,Pine_Creek_Four_Corners_Products_SHST.xls
7976,Brazos Walking Sticks,Brazos_Walking_Sticks,Brazos_Walking_Sticks_7976.xls,Brazos160,Brazos400,Brazos800,
7979,Jones' Rustic Signs,Jones'_Rustic_Signs,Jones'_Rustic_Signs_7979.xls,jonesigns160,jonesigns400,jonesigns800,
7980,A Homestead Shoppe,A_Homestead_Shoppe,A_Homestead_Shoppe_7980.xls,ahs160,ahs400,ahs800,
7981,Deb & Co. Handmade Ornaments,Deb_&_Co._Handmade_Ornaments,Deb_&_Co._Handmade_Ornaments_7981.xls,Debanco160,Debanco400,Debanco800,
7984,Magic Fairy Candles,Magic_Fairy_Candles,Magic_Fairy_Candles_7984.xls,magicfairy160,magicfairy400,magicfairy800,
7985,Rowe Pottery,Rowe_Pottery,Rowe_Pottery_7985.xls,rowepottery160,rowepottery400,rowepottery800,
7986,Honey House Naturals,Honey_House_Naturals,Honey_House_Naturals_7986.xls,honeyhouse160,honeyhouse400,honeyhouse800,Honey_House_Naturals_SHST.xls
7987,Rose of Sharon Home Fragrances,Rose_of_Sharon_Home_Fragrances,Rose_of_Sharon_Home_Fragrances_7987.xls,Roseofsharon160,Roseofsharon400,Roseofsharon800,Rose_of_Sharon_Home_Fragrances_SHST.xls
7988,Carson Home Accents,Carson_Home_Accents,Carson_Home_Accents_7988.xls,Carson160,Carson400,Carson800,Carson_Home_Accents_SHST.xls
7989,Craft Outlet - Olde Memories,Craft_Outlet_-_Olde_Memories,Craft_Outlet_-_Olde_Memories_7989.xls,CraftOutlet160,CraftOutlet400,CraftOutlet800,
7990,Black Crow Candles,Black_Crow_Candles,Black_Crow_Candles_7990.xls,blackcrow160,blackcrow400,blackcrow800,Black_Crow_Candles_SHST.xls
7992,Cowgirl Chocolates,Cowgirl_Chocolates,Cowgirl_Chocolates_7992.xls,cowgirl160,cowgirl400,cowgirl800,
7996,Special T Imports,Special_T_Imports,Special_T_Imports_7996.xls,specialtimports160,specialtimports400,specialtimports800,Special_T_Imports_SHST.xls
7997,Uniquely Coastal,Uniquely_Coastal,Uniquely_Coastal_7997.xls,beachcomber160,beachcomber400,beachcomber800,
8003,Lighthouse Products,Lighthouse_Products,Lighthouse_Products_8003.xls,Lighthouse160,Lighthouse400,Lighthouse800,
8005,Bittersweet Springs Metal,Bittersweet_Springs_Metal,Bittersweet_Springs_Metal_8005.xls,Bittersweet160,Bittersweet400,Bittersweet800,Bittersweetspring_SHST.xls
8006,Beach Frames,Beach_Frames,Beach_Frames_8006.xls,Beachframes160,Beachframes400,Beachframes800,
8007,Primitives at Crow Hollow,Primitives_at_Crow_Hollow,Primitives_at_Crow_Hollow_8007.xls,PrimitiveCrow160,PrimitiveCrow400,PrimitiveCrow800,
8008,Carson Home Accents Closeouts,Carson_Home_Accents_Closeouts,Carson_Home_Accents_Closeouts_8008.xls,Carson160,Carson400,Carson800,
8009,Golden Hill Studios,Golden_Hill_Studios,Golden_Hill_Studios_8009.xls,GoldenHill160,GoldenHill400,GoldenHill800,
8010,JB Naturals,JB_Naturals,JB_Naturals_8010.xls,jbnaturals160,jbnaturals400,jbnaturals800,
8011,Barn Candles,Barn_Candles,Barn_Candles_8011.xls,barn160,barn400,barn800,Barn_Candles_SHST.xls
8012,Carson Home - Flags,Carson_Home_Flags,Carson_Home_-_Flags_8012.xls,Carson160,Carson400,Carson800,
8013,Flameless Candles,Flameless_Candles,Flameless_Candles_8013.xls,flameless160,flameless400,flameless800,
8014,Desma Group Home & Gift,Desma_Group_Home_&_Gift,Desma_Group_Home_&_Gift_8014.xls,desma160,desma400,desma800,
8016,Northlight Seasonal,Northlight_Seasonal,Northlight_Seasonal_8016.xls,northlight160,northlight400,northlight800,
8017,Simply Vintage Soy Candles,Simply_Vintage_Soy_Candles,Simply_Vintage_Soy_Candles_8017.xls,simplyvintage160,simplyvintage400,simplyvintage800,Simply_Vintage_Soy_SHST.xls
8018,American Dakota Rugs,American_Dakota_Rugs,American_Dakota_Rugs_8018.xls,Dakota160,Dakota400,Dakota800,American_Dakota_Rugs_SHST.xls
8020,Kraft Klub,Kraft_Klub,Kraft_Klub_8020.xls,kraftklub160,kraftklub400,kraftklub800,Kraft_Klub_SHST.xls
8022,Desperate Tin Signs,Desperate_Tin_Signs,Desperate_Tin_Signs_8022.xls,desperate160,desperate400,desperate800,Desperate_Tin_Signs_SHST.xls
8023,Darren Gygi Canvas Art,Darren_Gygi_Canvas_Art,Darren_Gygi_Canvas_Art_8023.xls,gygi160,gygi400,gygi800,
8028,Sea Stones Products,Sea_Stones_Products,Sea_Stones_Products_8028.xls,seastone160,seastone400,seastone800,
8029,Delton Products,Delton_Products,Delton_Products_8029.xls,delton160,delton400,delton800,Delton_Products_SHST.xls
8030,Bright Ideas,Bright_Ideas,Bright_Ideas_8030.xls,brightideas160,brightideas400,brightideas800,Bright_Ideas_SHST.xls
8031,McCall's Candles,McCall's_Candles,McCall's_Candles_8031.xls,mccandles160,mccandles400,mccandles800,McCall's_Candles_SHST.xls
8032,The French Bee,The_French_Bee,The_French_Bee_8032.xls,frenchbee160,frenchbee400,frenchbee800,
8033,Colorful Garden Flags,Colorful_Garden_Flags,Colorful_Garden_Flags_8033.xls,colorfulgarden160,colorfulgarden400,colorfulgarden800,
8034,Raggedy Junction,Raggedy_Junction,Raggedy_Junction_8034.xls,raggedy160,raggedy400,raggedy800,
8038,Delton Products Closeouts,Delton_Products_Closeouts,Delton_Products_Closeouts_8038.xls,delton160,delton400,delton800,
8039,The Crafters Loft,The_Crafters_Loft,The_Crafters_Loft_8039.xls,craftersloft160,craftersloft400,craftersloft800,The_Crafters_Loft_SHST.xls
8040,Fiber & Water Framed Art,Fiber_&_Water_Framed_Art,Fiber_&_Water_Framed_Art_8040.xls,fibernwater160,fibernwater400,fibernwater800,
8041,Rustic Treasures,Rustic_Treasures,Rustic_Treasures_8041.xls,Rustictreasures160,Rustictreasures400,Rustictreasures800,
8042,Kraft Klub Closeouts,Kraft_Klub_Closeouts,Kraft_Klub_Closeouts_8042.xls,kraftklub160,kraftklub400,kraftklub800,
8043,Blossom Bucket Closeouts,Blossom_Bucket_Closeouts,Blossom_Bucket_Closeouts_8043.xls,Blossom160,Blossom400,Blossom800,
8045,Albert Estate LTD,Albert_Estate_LTD,Albert_Estate_LTD_8045.xls,Albert160,Albert400,Albert800,
8046,Stony Creek at Home,Stony_Creek_at_Home,Stony_Creek_at_Home_8046.xls,stonycreek160,stonycreek400,,
