b'PINE PLAID DEER STANDER',10126,,,In stock,,,,b'Fabric; 3\xc2\xbe\xe2\x80\x9dW x 12\xc2\xbe\xe2\x80\x9dH x 10\xc2\xbd\xe2\x80\x9dD',,6,$8.50 ,,,,,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/7d969e236954bf9fc16da671ee005261/1/0/10126_1.JPG,10126_1.JPG,,,Hannas800,10126_1.JPG
"b""SEASON'S JOY TAG HANGER WITH LIGHTS 4 ASST.""",10536,,,,,,,b'Light Up! Requires 2 CR2032 Batteries; Not Included. Wood; 3\xe2\x80\x9dW x 4\xc2\xbe\xe2\x80\x9dH x \xc2\xbd\xe2\x80\x9dD.',,NA,$2.50 ,48,$2.25 ,96,$2.00 ,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/7d969e236954bf9fc16da671ee005261/1/0/10536_1.JPG,10536_1.JPG,,,Hannas800,10536_1.JPG
b'FESTIVE CHRISTMAS TREE RED TRUCK WITH LED',11117,,,In stock,,,,b'Lights Up! Requires 3 AA Batteries; Not Included. Ceramic; 11\xe2\x80\x9dW x 8\xe2\x80\x9dH x 7\xe2\x80\x9dD',,3,$19.50 ,6,$18.50 ,,,3,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/7d969e236954bf9fc16da671ee005261/1/1/11117_1.JPG,11117_1.JPG,,,Hannas800,11117_1.JPG
b'WINTER BIRD TABLETOP 3 ASST.',11331,,,,,,,b'Resin; 2\xc2\xbc-3\xc2\xbd\xe2\x80\x9dW x 2\xc2\xbe-3\xc2\xbd\xe2\x80\x9dH x 3\xe2\x80\x9dD',,NA,$2.25 ,48,$2.00 ,,,NA,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/7d969e236954bf9fc16da671ee005261/1/1/11331_1.JPG,11331_1.JPG,,,Hannas800,11331_1.JPG
b'FROSTED IVORY STANDING MOOSE',11438,,,In stock,$26.50 ,,,b'Over 3 Feet Tall! Fabric; 23\xe2\x80\x9dW x 33\xe2\x80\x9dH x 9\xc2\xbd\xe2\x80\x9dD',,6,$33.00 ,,,,,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/7d969e236954bf9fc16da671ee005261/1/1/11438_1.JPG,11438_1.JPG,,,Hannas800,11438_1.JPG
b'HOLLY JOLLY CHRISTMAS SIGN',11583,,,In stock,,,,b'Over 2 Feet Wide! Wood; 31\xc2\xbd\xe2\x80\x9dW x 10\xe2\x80\x9dH x 1\xe2\x80\x9dD',,3,$22.50 ,6,$21.50 ,,,3,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/7d969e236954bf9fc16da671ee005261/1/1/11583_1.JPG,11583_1.JPG,,,Hannas800,11583_1.JPG
b'NOEL JOY SNOWMAN SALT AND PEPPER SET',11602,,,In stock,,,,b'Ceramic; 2\xe2\x80\x9dW x 3-3\xc2\xbe\xe2\x80\x9dH x 1\xe2\x80\x9dD',,6,$3.75 ,12,$3.50 ,24,$3.25 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/7d969e236954bf9fc16da671ee005261/1/1/11602_1.JPG,11602_1.JPG,,,Hannas800,11602_1.JPG
b'HOME HOLIDAY CHEER HANGER 3 ASST.',11611,,,In stock,,,,b'Wood/Metal/Rope; 6\xc2\xbd\xe2\x80\x9dW x 11\xc2\xbd\xe2\x80\x9dH x \xc2\xbd\xe2\x80\x9dD',,6,$5.00 ,12,$4.75 ,24,$4.50 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/7d969e236954bf9fc16da671ee005261/1/1/11611_2.JPG,11611_2.JPG,,,Hannas800,11611_2.JPG
b'FAUX FUR SCARF SNOWMAN TABLETOP 2 ASST. LARGE',11670,,,In stock,$13.90 ,,,b'Fabric; 9\xc2\xbc\xe2\x80\x9dW x 14\xc2\xbc\xe2\x80\x9dH x 7\xc2\xbc\xe2\x80\x9dD',,6,$16.90 ,,,,,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/7d969e236954bf9fc16da671ee005261/1/1/11670_1.JPG,11670_1.JPG,,,Hannas800,11670_1.JPG
b'FAUX FUR SCARF SNOWMAN TABLETOP 2 ASST. MEDIUM',11671,,,In stock,,,,b'Fabric; 8\xc2\xbe\xe2\x80\x9dW x 12\xc2\xbd\xe2\x80\x9dH x 7\xe2\x80\x9dD',,6,$11.50 ,12,$11.00 ,24,$10.50 ,6,Hannas400,Hannas160,https://www.hannashandiworks.com/media/catalog/product/cache/7d969e236954bf9fc16da671ee005261/1/1/11671_1.JPG,11671_1.JPG,,,Hannas800,11671_1.JPG
