name,sku,upc,price,availableQuantity,imageUrl1,imageurl2,imageUrl3,imageurl4,imageurl5,imageurl6,imageurl7,imageUrl8,imageurl9,imageurl10
"12"" PASTEL BOTTLEBRUSH TREE",13728,636173556879,18.75,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2975/images/6221/13728__3___33168.1653405390.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2975/images/6220/13727_FAMILY_2oe3-jx__36784.1653405390.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2975/images/6222/13728___95272.1626460190.1280.1280.jpg?c=1,,,,,,,
SNOWMAN WITH BUCKET,13803,636173557173,18.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2971/images/27816/13803_2__27054.1682970359.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2971/images/26869/13803__79216.1682970357.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2971/images/26870/13803____01084.1682970357.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2971/images/26911/13803__17050.1682970357.1280.1280.jpg?c=1,,,,,,
SANTA ON SHEEP,14208,636173566823,22.75,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/3048/images/23831/14208_3__16206.1677257644.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/3048/images/23832/14208__83468.1677257644.1280.1280.jpg?c=1,,,,,,,,
"10"" OVEN READY TURKEY PLATE",14622,636173568896,3.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/3051/images/6264/14622_2___14147.1626460199.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/3051/images/6265/14622_and_14623__22570.1626460199.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/3051/images/6266/14622__67076.1626460199.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/3051/images/6267/14622_and_14619__58394.1626460199.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/3051/images/6268/14622_3___54043.1626460199.1280.1280.jpg?c=1,,,,,
"10"" CRAB PLATE",14631,636173568971,3.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/5546/images/12839/HY184091-_BF186107-_BF186108-_BF186109-_BF186100-_BF186101-_E183549-_E183550-_E183310-_E183305-_G181774-_G181773_2__74160.1632424977.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/5546/images/12840/14631__95590.1632424977.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/5546/images/12838/14631_and_14619__99039.1633100990.1280.1280.jpg?c=1,,,,,,,
"10"" EAGLE PLATE",14636,636173594154,3.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2928/images/6187/14636__60371.1633100984.1280.1280.jpg?c=1,,,,,,,,,
"25"" ANTIQUED RED STRIPED WOOL STOCKING",215,636173548324,15.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2786/images/26266/RHProduct10042019-171__44498.1677864222.1280.1280.jpg?c=1,,,,,,,,,
9' POPCORN  CRANBERRY GARLAND,2264,636173548362,7.75,580,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2787/images/27792/2264_2__71681.1682966839.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2787/images/27634/2264__41081.1682966843.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2787/images/26267/2264_1__10031.1682966843.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2787/images/26268/2264__17411.1682966833.1280.1280.jpg?c=1,,,,,,
9' POPCORN GARLAND,2264B,636173557531,7.75,259,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2852/images/27793/2264B_2__39081.1682966919.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2852/images/27635/2264B__11371.1680621144.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2852/images/26369/RagonHouse08202019-294__55197.1682966914.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2852/images/26367/RagonHouse08202019-208__77718.1682966914.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2852/images/26368/2264B__49076.1682966914.1280.1280.jpg?c=1,,,,,
9' CRANBERRY GARLAND,2265,636173548379,7.75,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2788/images/26269/RagonHouse08202019-150__10970.1677864223.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2788/images/26270/2265__74989.1677864223.1280.1280.jpg?c=1,,,,,,,,
"7.5"" ORANGE TALL PUMPKIN",3292MO,636173557593,8.95,4,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2853/images/26370/3292MO_4__79180.1677864245.1280.1280.jpg?c=1,,,,,,,,,
"7.5"" WHITE TALL PUMPKIN",3292MW,636173557609,8.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2854/images/26371/3292MW_4__90923.1677864245.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2854/images/26372/3292MW_FAMILY__59867.1677864245.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2854/images/26373/3292MW__21582.1677864245.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2854/images/26374/3292MW_2__34956.1677864245.1280.1280.jpg?c=1,,,,,,
"14"" ORANGE TALL PUMPKIN",3292O,636173557616,24.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2855/images/26375/3292O_4__89915.1677864246.1280.1280.jpg?c=1,,,,,,,,,
"3.75"" ORANGE TALL PUMPKIN",3292SO,636173557623,4.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2856/images/26376/3292SO__25075.1677864247.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2856/images/26377/3292SO_FAMILY__50057.1677864247.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2856/images/26378/3292SO_3__46967.1677864247.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2856/images/26379/3292SO_4__85382.1677864247.1280.1280.jpg?c=1,,,,,,
"3.75"" WHITE TALL PUMPKIN",3292SW,636173557630,4.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2857/images/26380/3292SW_3__73506.1677864247.1280.1280.jpg?c=1,,,,,,,,,
"14"" WHITE TALL PUMPKIN",3292W,636173557647,24.95,6,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2858/images/28011/3292W_1__47146.1687465287.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2858/images/26381/3292W_2__41649.1687465285.1280.1280.jpg?c=1,,,,,,,,
"5.75"" ORANGE SHORT PUMPKIN",3293MO,636173557654,8.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2859/images/26382/3293MO_2__50624.1677864248.1280.1280.jpg?c=1,,,,,,,,,
"5.75"" WHITE SHORT PUMPKIN",3293MW,636173557661,8.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2860/images/26383/3293MW_2__38684.1677864248.1280.1280.jpg?c=1,,,,,,,,,
"9"" ORANGE SHORT PUMPKIN",3293O,636173557678,24.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2861/images/26384/3293O_3__31462.1677864248.1280.1280.jpg?c=1,,,,,,,,,
"2.75"" ORANGE SHORT PUMPKIN",3293SO,636173557685,4.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2862/images/26385/3293SO_4__17798.1677864249.1280.1280.jpg?c=1,,,,,,,,,
"2.75"" WHITE SHORT PUMPKIN",3293SW,636173557692,4.5,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2863/images/26386/3293SW_2__34971.1677864249.1280.1280.jpg?c=1,,,,,,,,,
"9"" WHITE SHORT PUMPKIN",3293W,636173557708,24.95,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2864/images/26387/3293W_2__37951.1677864249.1280.1280.jpg?c=1,,,,,,,,,
SET/ 12 MINI CHENILLE CANDY CANE ORNAMENTS,4034,636173548393,2.95,86,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2789/images/27637/4034__19516.1682967226.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2789/images/27794/4034_2__30818.1682967235.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2789/images/26271/4034__26113.1682967226.1280.1280.jpg?c=1,,,,,,,
"11"" BLACK CROW",4095,636173548409,21.75,8,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2790/images/26272/4095_1__48831.1677864223.1280.1280.jpg?c=1,,,,,,,,,
"6.5"" BLACK CROW",4096,636173548416,11.25,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2791/images/26273/4096__60726.1677864224.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2791/images/26274/4096_1__52882.1677864224.1280.1280.jpg?c=1,,,,,,,,
"12"" TURKEY",4099,636173548447,28.25,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2792/images/28012/4099_2__82396.1687465336.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2792/images/26275/4099__75847.1678719927.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2792/images/26276/4099___93397.1687465333.1280.1280.jpg?c=1,,,,,,,
"AGED RED,GREEN,SILVER BEAD",4127,636173548454,3.25,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2793/images/27795/4127_3__25100.1682968777.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2793/images/27638/4127__76618.1680631923.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2793/images/26277/RHProduct10042019-123__58312.1682968769.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2793/images/26278/4127__17796.1682968769.1280.1280.jpg?c=1,,,,,,
"LG AGED RED,GREEN,SILVER BEAD GARLAND",4127L,636173557746,5.75,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2865/images/27796/4127_1__33569.1682968940.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2865/images/27639/4127L__47319.1680631951.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2865/images/26388/RagonHouseProduct090319-246__86268.1682968929.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2865/images/26389/4127L__62292.1682968929.1280.1280.jpg?c=1,,,,,,
"XL AGED RED,GREEN,SILVER BEAD GARLAND",4127XL,636173557753,7.75,0,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2866/images/27797/4127XL_2__15691.1682969058.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2866/images/27640/4127L__74972.1680632074.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2866/images/26390/RagonHouse08202019-196__97680.1682969048.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-xvps74vl0m/products/2866/images/26391/4127XL__91294.1682969048.1280.1280.jpg?c=1,,,,,,
