C-890 Gray/Sand/Ivory Braided Rug,02-890,,"12 Sizes Available
4 Shapes Available
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 31.45,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/02-890_900x.jpg?v=1703872798 900w,02-890_900x.jpg?v=1703872798 900w,,,Cap 800,02-890_900x.jpg?v=1703872798 900w,
OP-890 Black Stars,65-890BS,,"20""x30"" Hand Stenciled Oval Patch Braided Rug",,,,,,,1,$ 20.50,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/OP-890-BlackStar-20_x30_Oval-OnWood_900x.jpg?v=1703862465 900w,OP-890-BlackStar-20_x30_Oval-OnWood_900x.jpg?v=1703862465 900w,,,Cap 800,OP-890-BlackStar-20_x30_Oval-OnWood_900x.jpg?v=1703862465 900w,
C-890 Gray/Sand/Ivory Table Runner,52-TR890,,"  13"" x 36"" Oval Table Runner
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 13.35,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/52-TR890_900x.jpg?v=1735833827 900w,52-TR890_900x.jpg?v=1735833827 900w,,,Cap 800,52-TR890_900x.jpg?v=1735833827 900w,
"OP-890 Black Stars 13""x36""",68-890BS,,"Hand Stenciled Oval Table Runner with Black Stars Design 
13""x36"" Oval 
Sold Individually 
100% Natural Jute
Mocha Frappuccino ",,,,,,,1,$ 15.00,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/OP-890-BlackStar-13x36-Oval-OnWood_900x.jpg?v=1703862283 900w,OP-890-BlackStar-13x36-Oval-OnWood_900x.jpg?v=1703862283 900w,,,Cap 800,OP-890-BlackStar-13x36-Oval-OnWood_900x.jpg?v=1703862283 900w,
C-890 Gray/Sand/Ivory Placemat,52-PM890,,"  13"" x 19"" Oval Placemat
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 7.55,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/52-PM890_900x.jpg?v=1734993057 900w,52-PM890_900x.jpg?v=1734993057 900w,,,Cap 800,52-PM890_900x.jpg?v=1734993057 900w,
C-895 Brown/Tan/Ivory Braided Rug,02-895,,"2 Sizes Available
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 31.45,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/02-895_900x.jpg?v=1703872812 900w,02-895_900x.jpg?v=1703872812 900w,,,Cap 800,02-895_900x.jpg?v=1703872812 900w,
C-903 Charcoal/Gray/Ivory Braided Rug,02-903,,"9 Sizes Available
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 31.45,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/02-903_900x.jpg?v=1703872880 900w,02-903_900x.jpg?v=1703872880 900w,,,Cap 800,02-903_900x.jpg?v=1703872880 900w,
C-910 Tan/Ivory/Burgundy Braided Rug,02-910,,"2 Sizes Available
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 31.45,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/02-910_900x.jpg?v=1735833944 900w,02-910_900x.jpg?v=1735833944 900w,,,Cap 800,02-910_900x.jpg?v=1735833944 900w,
C-911 Taupe/Ivory/Light Blue Braided Rug,02-911,,"2 Sizes Available
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 31.45,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/02-911_900x.jpg?v=1735833987 900w,02-911_900x.jpg?v=1735833987 900w,,,Cap 800,02-911_900x.jpg?v=1735833987 900w,
C-913 Blue/Gray/Burgundy Braided Rug,02-913,,"2 Sizes Available
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 31.45,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/02-913_900x.jpg?v=1735833994 900w,02-913_900x.jpg?v=1735833994 900w,,,Cap 800,02-913_900x.jpg?v=1735833994 900w,
313 Black Stars Table Set,99-Special Black Stars,,"8 Units of IC-313 Black Star 5"" Round Coaster
4 Units of MSPR-313 Black Star 10"" Round Trivet
4 Units of MSP-313 Black Star 10""x15"" Oval Swatch
4 Units of PM-OP-313 Black Star 13""x19"" Oval Placemat
2 Units of TR-313 Black Star 13""x36"" Oval Table Runner",,,,,,,1,$ 113.30,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/10_OffThis_2_900x.png?v=1715963573 900w,10_OffThis_2_900x.png?v=1715963573 900w,,,Cap 800,10_OffThis_2_900x.png?v=1715963573 900w,
C-914 Taupe/Ivory/Peach Braided Rug,02-914,,"2 Sizes Available
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 31.45,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/02-914_900x.jpg?v=1735834027 900w,02-914_900x.jpg?v=1735834027 900w,,,Cap 800,02-914_900x.jpg?v=1735834027 900w,
C-005 Blue/Natural Braided Rug,02-005,,"9 Sizes Available
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 61.60,,,,,1,Cap 400,Cap 160,NA,NA,,,Cap 800,NA,
C-013 Dark Green Braided Rug,02-013,,"5 Sizes Available
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 61.60,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/products/02-013_900x.jpg?v=1571272861 900w,02-013_900x.jpg?v=1571272861 900w,,,Cap 800,02-013_900x.jpg?v=1571272861 900w,
043 Horse Silhouette Set,99-Special 043 Horse Silhouette Set,,"24 Units of IC-043 Horse Silhouette 5"" Round Coaster
12 Units of LC-043 Horse Silhouette 7"" Round Large Coaster
12 Units of MSPR-043 Horse Silhouette 10"" Round Trivet",,,,,,,1,$ 116.40,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/Shopify_ad05f129-fb7f-4458-9d1d-f8c80c4d6324_900x.png?v=1723214756 900w,Shopify_ad05f129-fb7f-4458-9d1d-f8c80c4d6324_900x.png?v=1723214756 900w,,,Cap 800,Shopify_ad05f129-fb7f-4458-9d1d-f8c80c4d6324_900x.png?v=1723214756 900w,
MSPR-040 Light Mushroom Trivet,80-040LM,,"10"" Round Printed Trivet with Light Mushroom Design 
100% Natural Jute
Sold Individually
Burgundy/Gray",,,,,,,1,$ 4.35,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/80-040LM_900x.jpg?v=1734800120 900w,80-040LM_900x.jpg?v=1734800120 900w,,,Cap 800,80-040LM_900x.jpg?v=1734800120 900w,
C-040 Burgundy/Gray Stair Tread,19-040,,"  8.25"" x 27"" Braided Stair Tread
1 Shape Available
Sold Individually
100% Natural Jute
Extremely Durable
Stair Tread or Small Table Runner",,,,,,,1,$ 6.01,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/products/19-040_900x.jpg?v=1571272862 900w,19-040_900x.jpg?v=1571272862 900w,,,Cap 800,19-040_900x.jpg?v=1571272862 900w,
IC-040 Light Mushroom Coaster,31-IC040LM,,"Round Hand Stenciled Coaster with Light Mushroom Design 
100% Natural Jute
2 Sizes Available 
Extremely Durable
Burgundy/Gray",,,,,,,1,$ 1.35,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/31-IC040LM_900x.jpg?v=1734801733 900w,31-IC040LM_900x.jpg?v=1734801733 900w,,,Cap 800,31-IC040LM_900x.jpg?v=1734801733 900w,
C-040 Burgundy/Gray Braided Rug,03-040,,"5 Sizes Available
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 29.04,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/products/03-040_900x.jpg?v=1571272878 900w,03-040_900x.jpg?v=1571272878 900w,,,Cap 800,03-040_900x.jpg?v=1571272878 900w,
OP-238 Cardinal,65-238C,,"20""x30"" Hand Stenciled Oval Patch Braided Rug
Artwork by Phyllis Stevens",,,,,,,1,$ 20.50,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/products/65-238C_900x.jpg?v=1578155100 900w,65-238C_900x.jpg?v=1578155100 900w,,,Cap 800,65-238C_900x.jpg?v=1578155100 900w,
OP-319 Welcome Barn Stars,65-319WBS,,"20""x30"" Hand Stenciled Oval Patch Braided Rug
Artwork by Ashlee Nobel",,,,,,,1,$ 20.50,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/products/65-319WBS_900x.jpg?v=1571272960 900w,65-319WBS_900x.jpg?v=1571272960 900w,,,Cap 800,65-319WBS_900x.jpg?v=1571272960 900w,
IC-419 Holiday Village Coaster,31-IC419HV,,"5"" Round Hand Stenciled Coaster with Holiday Village Design 
100% Natural Jute
Sold Individually 
Extremely Durable
Sage, Ivory and Blue 
Art by Sandy Clough",,,,,,,1,$ 1.35,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/products/31-IC419HV_900x.jpg?v=1672251967 900w,31-IC419HV_900x.jpg?v=1672251967 900w,,,Cap 800,31-IC419HV_900x.jpg?v=1672251967 900w,
"LC-419 Holiday Village House 7"" Large Coaster",98-79-419HV,,"7"" Round Hand Stenciled Coaster with Holiday Village House Design 
100% Natural Jute 
Extremely Durable",,,,,,,1,$ 2.73,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/thumbnail_IMG_1307_900x.jpg?v=1727888379 900w,thumbnail_IMG_1307_900x.jpg?v=1727888379 900w,,,Cap 800,thumbnail_IMG_1307_900x.jpg?v=1727888379 900w,
SCP-419 Holiday Village Trees Slice,32-419HVT,,"18""x29"" Hand Printed Slice Rug",,,,,,,1,$ 18.15,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/SCP-419-HolidayVillageTrees-18x29Slice-OnWood_900x.jpg?v=1703862708 900w,SCP-419-HolidayVillageTrees-18x29Slice-OnWood_900x.jpg?v=1703862708 900w,,,Cap 800,SCP-419-HolidayVillageTrees-18x29Slice-OnWood_900x.jpg?v=1703862708 900w,
OP-319 Pumpkin Candy Corn,65-319PCC,,"20""x30"" Hand Stenciled Oval Patch Braided Rug
Artwork by Susan Burd",,,,,,,1,$ 20.50,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/products/65-319PCC_900x.jpg?v=1571272874 900w,65-319PCC_900x.jpg?v=1571272874 900w,,,Cap 800,65-319PCC_900x.jpg?v=1571272874 900w,
CT-319 Burgundy/Mustard/Ivory,63-C319,,"14.5""x19.5"" Burgundy/Mustard/Ivory Jute Braided Cat Shaped Rug",,,,,,,1,$ 6.65,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/products/63-C319_900x.jpg?v=1571272867 900w,63-C319_900x.jpg?v=1571272867 900w,,,Cap 800,63-C319_900x.jpg?v=1571272867 900w,
IC-419 Frog Coaster,31-IC419F,,"5"" Round Hand Stenciled Coaster with Frog Design 
100% Natural Jute
Sold Individually 
Extremely Durable
Sage, Ivory and Blue 
Art by Harry W. Smith",,,,,,,1,$ 1.35,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/31-IC419F_900x.jpg?v=1734802385 900w,31-IC419F_900x.jpg?v=1734802385 900w,,,Cap 800,31-IC419F_900x.jpg?v=1734802385 900w,
C-319 Burgundy/Mustard/Ivory Braided Rug,13-319,,"14 Sizes Available
4 Shapes Available
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 45.54,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/products/13-319_900x.jpg?v=1571272864 900w,13-319_900x.jpg?v=1571272864 900w,,,Cap 800,13-319_900x.jpg?v=1571272864 900w,
"OP-419 Holiday Village Trees 13""x36""",68-419HVT,,"Hand Stenciled Oval Table Runner with Holiday Village Trees Design 
13""x36"" Oval 
Sold Individually 
100% Natural Jute
Sage, Ivory & Settlers Blue 
Art by Sandy Clough ",,,,,,,1,$ 15.00,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/products/68-419HVT_900x.jpg?v=1672346677 900w,68-419HVT_900x.jpg?v=1672346677 900w,,,Cap 800,68-419HVT_900x.jpg?v=1672346677 900w,
IC-419 Holiday Village Trees Coaster,31-IC419HVT,,"Round Hand Stenciled Coaster with Holiday Village Trees Design 
100% Natural Jute
2 Sizes Available 
Extremely Durable
Sage, Ivory and Blue 
Art by Sandy Clough",,,,,,,1,$ 1.35,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/31-IC419HVT2024_900x.jpg?v=1710780481 900w,31-IC419HVT2024_900x.jpg?v=1710780481 900w,,,Cap 800,31-IC419HVT2024_900x.jpg?v=1710780481 900w,
362 Blue Truck Set,99-Special 362 Blue Truck Set,,"6 Units of MSPR-362 Blue Truck 10"" Round Trivets
6 Units of PM-OP-362 Blue Truck 13""x19"" Oval Placemats
1 Unit of OP-362 Blue Truck 13""x36"" Oval Table Runner
1 Unit of OP-362 Blue Truck 20""x30"" Oval Rug",,,,,,,1,$ 104.18,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/Shopify_94ea4467-b53f-413b-8c45-07cbf6787127_900x.png?v=1731690220 900w,Shopify_94ea4467-b53f-413b-8c45-07cbf6787127_900x.png?v=1731690220 900w,,,Cap 800,Shopify_94ea4467-b53f-413b-8c45-07cbf6787127_900x.png?v=1731690220 900w,
OP-362 Blue Truck,65-362BT,,"20""x30"" Hand Stenciled Oval Patch Braided Rug",,,,,,,1,$ 20.50,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/products/65-362BT_2019_900x.jpg?v=1571272973 900w,65-362BT_2019_900x.jpg?v=1571272973 900w,,,Cap 800,65-362BT_2019_900x.jpg?v=1571272973 900w,
C-443 Blue/Gray/Ivory Braided Rug,02-443,,"9 Sizes Available
Sold Individually
100% Natural Jute
Extremely Durable",,,,,,,1,$ 61.60,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/02-443_900x.jpg?v=1703872773 900w,02-443_900x.jpg?v=1703872773 900w,,,Cap 800,02-443_900x.jpg?v=1703872773 900w,
IC-443 Nautical White Anchor Coaster,31-IC443NWA,,"5"" Round Hand Stenciled Coaster with Nautical White Anchor Design 
100% Natural Jute
Sold Individually 
Extremely Durable
Blue and Natural
Art by Phyllis Stevens",,,,,,,1,$ 1.35,,,,,1,Cap 400,Cap 160, //www.earthrugs.com/cdn/shop/files/31-IC443NWA_900x.jpg?v=1734802516 900w,31-IC443NWA_900x.jpg?v=1734802516 900w,,,Cap 800,31-IC443NWA_900x.jpg?v=1734802516 900w,
