BAKE303 Timothy in the Field,BAKE303-1216PBSP9,Brown Stain Frame,"This picture is called ""Timothy In The Field"". The print unframed measures 12x16 inches. The frame will add about one more inch per side. Beautiful print with multiple frame selections to choose from. This print has a bright blue sky with a brown and white cow named Timothy standing alone in the open field. Choose your lath frame color to customize your product. All frames have a vintage wire along the top of the frame for quick and easy wall hanging.",Brown Stain Frame,,,,,,2,99,,,,,2,JanMichael400,JanMichael160,https://cdn11.bigcommerce.com/s-wb4uepr7/images/stencil/500x659/products/26554/76111/BAKE303cc__62183.1704993735.jpg,BAKE303cc__62183.1704993735.jpg,,,JanMichael800,BAKE303cc__62183.1704993735.jpg
BAKE303 Timothy in the Field,BAKE303-1216PWWP9,Charcoal Wash Frame,"This picture is called ""Timothy In The Field"". The print unframed measures 12x16 inches. The frame will add about one more inch per side. Beautiful print with multiple frame selections to choose from. This print has a bright blue sky with a brown and white cow named Timothy standing alone in the open field. Choose your lath frame color to customize your product. All frames have a vintage wire along the top of the frame for quick and easy wall hanging.",Charcoal Wash Frame,,,,,,2,99,,,,,2,JanMichael400,JanMichael160,https://cdn11.bigcommerce.com/s-wb4uepr7/images/stencil/500x659/products/26554/76111/BAKE303cc__62183.1704993735.jpg,BAKE303cc__62183.1704993735.jpg,,,JanMichael800,BAKE303cc__62183.1704993735.jpg
BJ1363 Haunted Hayride,BJ1363-1216PBSP8,Brown Stain Frame,"This Billy Jacob picture is called ""Haunted Hayride"". The print unframed measures 12x16 inches. The frame will add about one more inch per side. Beautiful print with multiple frame selections to choose from. This picture takes place on a farm. A skeleton is driving a tractor that is taking some ghosts on a haunted hayride. The moon is full and bats fill the sky. A great picture for any home during fall. Choose your lath frame color to customize your product. All frames have a vintage wire along the top of the frame for quick and easy wall hanging.",Brown Stain Frame,,,,,,2,99,,,,,2,JanMichael400,JanMichael160,https://cdn11.bigcommerce.com/s-wb4uepr7/images/stencil/500x659/products/26564/76114/BJ1363cc__68706.1704993840.jpg,BJ1363cc__68706.1704993840.jpg,,,JanMichael800,BJ1363cc__68706.1704993840.jpg
BJ1363 Haunted Hayride,BJ1363-1216PWWP8,Charcoal Wash Frame,"This Billy Jacob picture is called ""Haunted Hayride"". The print unframed measures 12x16 inches. The frame will add about one more inch per side. Beautiful print with multiple frame selections to choose from. This picture takes place on a farm. A skeleton is driving a tractor that is taking some ghosts on a haunted hayride. The moon is full and bats fill the sky. A great picture for any home during fall. Choose your lath frame color to customize your product. All frames have a vintage wire along the top of the frame for quick and easy wall hanging.",Charcoal Wash Frame,,,,,,2,99,,,,,2,JanMichael400,JanMichael160,https://cdn11.bigcommerce.com/s-wb4uepr7/images/stencil/500x659/products/26564/76114/BJ1363cc__68706.1704993840.jpg,BJ1363cc__68706.1704993840.jpg,,,JanMichael800,BJ1363cc__68706.1704993840.jpg
BJ1366 Christmas At Grandma's House,BJ1366-1216PBSP3,Brown Stain Frame,"This Billy Jacobs picture is called ""Christmas at Grandma's House"". The print unframed measures 12x16 inches. The frame will add about one more inch per side. Beautiful print with multiple frame selections to choose from. This winter scene has a farmhouse with a large wreath. In the front yard is a snowman wearing a scarf and a tire swing hanging from a snow covered tree. Choose your lath frame color to customize your product. All frames have a vintage wire along the top of the frame for quick and easy wall hanging.",Brown Stain Frame,,,,,,2,99,,,,,2,JanMichael400,JanMichael160,https://cdn11.bigcommerce.com/s-wb4uepr7/images/stencil/500x659/products/26465/75434/BJ1366__76568.1703875421.jpg,BJ1366__76568.1703875421.jpg,,,JanMichael800,BJ1366__76568.1703875421.jpg
BJ1366 Christmas At Grandma's House,BJ1366-1216PWWP3,Charcoal Wash Frame,"This Billy Jacobs picture is called ""Christmas at Grandma's House"". The print unframed measures 12x16 inches. The frame will add about one more inch per side. Beautiful print with multiple frame selections to choose from. This winter scene has a farmhouse with a large wreath. In the front yard is a snowman wearing a scarf and a tire swing hanging from a snow covered tree. Choose your lath frame color to customize your product. All frames have a vintage wire along the top of the frame for quick and easy wall hanging.",Charcoal Wash Frame,,,,,,2,99,,,,,2,JanMichael400,JanMichael160,https://cdn11.bigcommerce.com/s-wb4uepr7/images/stencil/500x659/products/26465/75434/BJ1366__76568.1703875421.jpg,BJ1366__76568.1703875421.jpg,,,JanMichael800,BJ1366__76568.1703875421.jpg
BJXD832F Meet Again Someday,BJXD832F-1216PBSP9,Brown Stain Frame,"This picture is called ""Meet Again Someday"". The print unframed measures 12x16 inches. The frame will add about one more inch per side.  This print has an old fashioned small white church in the country with trees and farming scenery in the background.  The saying on the print reads ""If you could see me now, you wouldn't shed a tear. Though you may not understand why I'm no longer here. Remember my spirit, that's the real me. I'm still very much alive, oh if you could only see! I've beheld our Father's face. I've touched my Saviour's hand. The angels all rejoiced as I entered the Promised Land. Beyond the gates of pearl, I walk on golden streets. I've touched the walls of jasper dipped my foot in the crystal sea. The beauty is beyond words, nothing can compare. I've even seen your mansion; someday I will meet you there. Allow Jesus to be your guide, His word will show you the way. So, please, don't cry! We will meet again someday!"" Such a touching saying to comfort anyone who is grieving the loss of someone close to them or to have in remembrance of someone they love.  Beautiful print with multiple frame selections to choose from.  Choose your lath frame color to customize your product. All frames have a vintage wire along the top of the frame for quick and easy wall hanging.",Brown Stain Frame,,,,,,2,99,,,,,2,JanMichael400,JanMichael160,https://cdn11.bigcommerce.com/s-wb4uepr7/images/stencil/500x659/products/26584/75980/BJXD832.final__99290.1704984987.jpg,BJXD832.final__99290.1704984987.jpg,,,JanMichael800,BJXD832.final__99290.1704984987.jpg
BJXD832F Meet Again Someday,BJXD832F-1216PWWP9,Charcoal Wash Frame,"This picture is called ""Meet Again Someday"". The print unframed measures 12x16 inches. The frame will add about one more inch per side.  This print has an old fashioned small white church in the country with trees and farming scenery in the background.  The saying on the print reads ""If you could see me now, you wouldn't shed a tear. Though you may not understand why I'm no longer here. Remember my spirit, that's the real me. I'm still very much alive, oh if you could only see! I've beheld our Father's face. I've touched my Saviour's hand. The angels all rejoiced as I entered the Promised Land. Beyond the gates of pearl, I walk on golden streets. I've touched the walls of jasper dipped my foot in the crystal sea. The beauty is beyond words, nothing can compare. I've even seen your mansion; someday I will meet you there. Allow Jesus to be your guide, His word will show you the way. So, please, don't cry! We will meet again someday!"" Such a touching saying to comfort anyone who is grieving the loss of someone close to them or to have in remembrance of someone they love.  Beautiful print with multiple frame selections to choose from.  Choose your lath frame color to customize your product. All frames have a vintage wire along the top of the frame for quick and easy wall hanging.",Charcoal Wash Frame,,,,,,2,99,,,,,2,JanMichael400,JanMichael160,https://cdn11.bigcommerce.com/s-wb4uepr7/images/stencil/500x659/products/26584/75980/BJXD832.final__99290.1704984987.jpg,BJXD832.final__99290.1704984987.jpg,,,JanMichael800,BJXD832.final__99290.1704984987.jpg
ALP2230B God Our Father Block,BLK-ALP2230B,,,,,,,,,2,99,,,,,2,JanMichael400,JanMichael160,https://cdn11.bigcommerce.com/s-wb4uepr7/images/stencil/500x659/products/26094/76598/ALP2230_GOD_OUR_FATHER_PRAYER_REVISED_PL__89987.1707941209.jpg,ALP2230_GOD_OUR_FATHER_PRAYER_REVISED_PL__89987.1707941209.jpg,,,JanMichael800,ALP2230_GOD_OUR_FATHER_PRAYER_REVISED_PL__89987.1707941209.jpg
ALP2231B Thank You Block,BLK-ALP2231B,,"This block is called ""Thank You"" and says ""Thank you for the world so sweet. Thank you for the food we eat. Thank you for the birds that sing, thank you GOD for everything"" with a textured background. 4x10x1 size makes it perfect to display on table-top, shelf or mantle. Great inexpensive wholesale gift for your store's impulse buyers.",,,,,,,2,99,,,,,2,JanMichael400,JanMichael160,https://cdn11.bigcommerce.com/s-wb4uepr7/images/stencil/500x659/products/26788/75919/alp2231b__47374.1704896184.jpg,alp2231b__47374.1704896184.jpg,,,JanMichael800,alp2231b__47374.1704896184.jpg
