DEEP SEA PAINT CAN CANDLE - VINTAGE COLLECTION,DEEP SEA PAINT CAN CANDLE - VINTAGE COLLECTION,,"😍Our Deep Sea candle will bring the ocean right to you. A mix of citrus, violet, jasmine with hints of amber and sandalwood will have you reminiscing of the tides long after beach season is over.

🏄🏽‍♀️Surf's Up candles are all natural soy wax, no dyes, paraffin, lead, or petroleum content

💫Hand Poured in Small Batches using custom created scents

🔥Features a cotton wick to ensure a smooth, clean burn

🔹Made in the U.S.A.

Available sizes👇🏽

▪️ Pint Candles are 16oz with 80-100 hours burn time
▪️ 1/2 Pint Candles are 8oz with 40-50 hours burn time
▪️ 1/4 Pint Candles are 4oz with 20-25hours burn time",,,,,4 oz 1/4 Pint,,3,$12.00,,,,,3,Surfs400,Surfs160,https://www.surfsupcandle.com/cdn/shop/files/IMG_7100.jpg?v=1688410273&width=3024,IMG_7100.jpg?v=1688410273&width=3024,,,Surfs800,IMG_7100.jpg?v=1688410273&width=3024,
ISLAND MOON PAINT CAN CANDLE - VINTAGE COLLECTION,ISLAND MOON PAINT CAN CANDLE - VINTAGE COLLECTION,,"😍You will be transported seaside every time you smell Island Moon. A mix of fresh lemon and rosewater mixed with floral scents and hints of lavender, lily, and amber.

🏄🏽‍♀️Surf's Up candles are all natural soy wax, no dyes, paraffin, lead, or petroleum content

💫Hand Poured in Small Batches using custom created scents

🔥Features a cotton wick to ensure a smooth, clean burn

🔹Made in the U.S.A.

Available sizes👇🏽

▪️ Pint Candles are 16oz with 80-100 hours burn time
▪️ 1/2 Pint Candles are 8oz with 40-50 hours burn time
▪️ 1/4 Pint Candles are 4oz with 20-25hours burn time",,,,,16 oz Pint,,3,$26.00,,,,,3,Surfs400,Surfs160,https://www.surfsupcandle.com/cdn/shop/products/IMG_7344.jpg?v=1679668616&width=2962,IMG_7344.jpg?v=1679668616&width=2962,,,Surfs800,IMG_7344.jpg?v=1679668616&width=2962,
ISLAND MOON PAINT CAN CANDLE - VINTAGE COLLECTION,ISLAND MOON PAINT CAN CANDLE - VINTAGE COLLECTION,,"😍You will be transported seaside every time you smell Island Moon. A mix of fresh lemon and rosewater mixed with floral scents and hints of lavender, lily, and amber.

🏄🏽‍♀️Surf's Up candles are all natural soy wax, no dyes, paraffin, lead, or petroleum content

💫Hand Poured in Small Batches using custom created scents

🔥Features a cotton wick to ensure a smooth, clean burn

🔹Made in the U.S.A.

Available sizes👇🏽

▪️ Pint Candles are 16oz with 80-100 hours burn time
▪️ 1/2 Pint Candles are 8oz with 40-50 hours burn time
▪️ 1/4 Pint Candles are 4oz with 20-25hours burn time",,,,,8 oz 1/2 Pint,,3,$19.00,,,,,3,Surfs400,Surfs160,https://www.surfsupcandle.com/cdn/shop/products/IMG_7347_6e33161d-02d7-4e47-b0f4-7b3ba4fd7ba6.jpg?v=1679668616&width=2790,IMG_7347_6e33161d-02d7-4e47-b0f4-7b3ba4fd7ba6.jpg?v=1679668616&width=2790,,,Surfs800,IMG_7347_6e33161d-02d7-4e47-b0f4-7b3ba4fd7ba6.jpg?v=1679668616&width=2790,
ISLAND MOON PAINT CAN CANDLE - VINTAGE COLLECTION,ISLAND MOON PAINT CAN CANDLE - VINTAGE COLLECTION,,"😍You will be transported seaside every time you smell Island Moon. A mix of fresh lemon and rosewater mixed with floral scents and hints of lavender, lily, and amber.

🏄🏽‍♀️Surf's Up candles are all natural soy wax, no dyes, paraffin, lead, or petroleum content

💫Hand Poured in Small Batches using custom created scents

🔥Features a cotton wick to ensure a smooth, clean burn

🔹Made in the U.S.A.

Available sizes👇🏽

▪️ Pint Candles are 16oz with 80-100 hours burn time
▪️ 1/2 Pint Candles are 8oz with 40-50 hours burn time
▪️ 1/4 Pint Candles are 4oz with 20-25hours burn time",,,,,4 oz 1/4 Pint,,3,$12.00,,,,,3,Surfs400,Surfs160,https://www.surfsupcandle.com/cdn/shop/products/IMG_7346.jpg?v=1679668615&width=2610,IMG_7346.jpg?v=1679668615&width=2610,,,Surfs800,IMG_7346.jpg?v=1679668615&width=2610,
BERGAMOT TEA PAINT CAN CANDLE - VINTAGE COLLECTION,BERGAMOT TEA PAINT CAN CANDLE - VINTAGE COLLECTION,,"😍This scent is our perfect rendition on tea! Reminding you of the italian countryside this scent carries with it a sense of freshness highlighted by the fresh bergamot, rose, violet tea leaves, and dried lily.

🏄🏽‍♀️Surf's Up candles are all natural soy wax, no dyes, paraffin, lead, or petroleum content

💫Hand Poured in Small Batches using custom created scents

🔥Features a cotton wick to ensure a smooth, clean burn

🔹Made in the U.S.A.

Available sizes👇🏽

▪️ Pint Candles are 16oz with 80-100 hours burn time
▪️ 1/2 Pint Candles are 8oz with 40-50 hours burn time
▪️ 1/4 Pint Candles are 4oz with 20-25hours burn time",,,,,16 oz Pint,,3,$26.00,,,,,3,Surfs400,Surfs160,https://www.surfsupcandle.com/cdn/shop/products/IMG_7167.jpg?v=1679512793&width=2962,IMG_7167.jpg?v=1679512793&width=2962,,,Surfs800,IMG_7167.jpg?v=1679512793&width=2962,
BERGAMOT TEA PAINT CAN CANDLE - VINTAGE COLLECTION,BERGAMOT TEA PAINT CAN CANDLE - VINTAGE COLLECTION,,"😍This scent is our perfect rendition on tea! Reminding you of the italian countryside this scent carries with it a sense of freshness highlighted by the fresh bergamot, rose, violet tea leaves, and dried lily.

🏄🏽‍♀️Surf's Up candles are all natural soy wax, no dyes, paraffin, lead, or petroleum content

💫Hand Poured in Small Batches using custom created scents

🔥Features a cotton wick to ensure a smooth, clean burn

🔹Made in the U.S.A.

Available sizes👇🏽

▪️ Pint Candles are 16oz with 80-100 hours burn time
▪️ 1/2 Pint Candles are 8oz with 40-50 hours burn time
▪️ 1/4 Pint Candles are 4oz with 20-25hours burn time",,,,,8 oz 1/2 Pint,,3,$19.00,,,,,3,Surfs400,Surfs160,https://www.surfsupcandle.com/cdn/shop/products/IMG_7169.jpg?v=1679512816&width=2692,IMG_7169.jpg?v=1679512816&width=2692,,,Surfs800,IMG_7169.jpg?v=1679512816&width=2692,
BERGAMOT TEA PAINT CAN CANDLE - VINTAGE COLLECTION,BERGAMOT TEA PAINT CAN CANDLE - VINTAGE COLLECTION,,"😍This scent is our perfect rendition on tea! Reminding you of the italian countryside this scent carries with it a sense of freshness highlighted by the fresh bergamot, rose, violet tea leaves, and dried lily.

🏄🏽‍♀️Surf's Up candles are all natural soy wax, no dyes, paraffin, lead, or petroleum content

💫Hand Poured in Small Batches using custom created scents

🔥Features a cotton wick to ensure a smooth, clean burn

🔹Made in the U.S.A.

Available sizes👇🏽

▪️ Pint Candles are 16oz with 80-100 hours burn time
▪️ 1/2 Pint Candles are 8oz with 40-50 hours burn time
▪️ 1/4 Pint Candles are 4oz with 20-25hours burn time",,,,,4 oz 1/4 Pint,,3,$12.00,,,,,3,Surfs400,Surfs160,https://www.surfsupcandle.com/cdn/shop/products/IMG_7177.jpg?v=1679670207&width=2965,IMG_7177.jpg?v=1679670207&width=2965,,,Surfs800,IMG_7177.jpg?v=1679670207&width=2965,
ISLAND MOON MASON JAR CANDLE - ORIGINAL COLLECTION,ISLAND MOON MASON JAR CANDLE - ORIGINAL COLLECTION,,"😍You will be transported seaside every time you smell Island Moon. A mix of fresh lemon and rosewater mixed with floral scents and hints of lavender, lily, and amber.

🏄🏽‍♀️Surf's Up candles are all natural soy wax, no dyes, paraffin, lead, or petroleum content

💫Hand Poured in Small Batches using custom created scents

🔥Features a cotton wick to ensure a smooth, clean burn

🔹Made in the U.S.A.

Available sizes👇🏽

▪️ Jumbo: 26oz Reusable Mason Jar with an approximate 140 hour burn time
▪️ Large: 16oz Reusable Mason Jar with an approximate 80 hour burn time
▪️ Medium: 8oz Reusable Mason Jar with an approximate 60 hour burn time
▪️ Mini: 4oz Reusable Mason Jar with an approxiamate 20 hour burn time
▪️ Wax Melt: 2oz",,,,,26 oz Jumbo,,3,$36.00,,,,,3,Surfs400,Surfs160,https://www.surfsupcandle.com/cdn/shop/products/IMG_7031_535aad15-6bda-46e2-8987-9f6c1718087a.jpg?v=1679092232&width=2962,IMG_7031_535aad15-6bda-46e2-8987-9f6c1718087a.jpg?v=1679092232&width=2962,,,Surfs800,IMG_7031_535aad15-6bda-46e2-8987-9f6c1718087a.jpg?v=1679092232&width=2962,
ISLAND MOON MASON JAR CANDLE - ORIGINAL COLLECTION,ISLAND MOON MASON JAR CANDLE - ORIGINAL COLLECTION,,"😍You will be transported seaside every time you smell Island Moon. A mix of fresh lemon and rosewater mixed with floral scents and hints of lavender, lily, and amber.

🏄🏽‍♀️Surf's Up candles are all natural soy wax, no dyes, paraffin, lead, or petroleum content

💫Hand Poured in Small Batches using custom created scents

🔥Features a cotton wick to ensure a smooth, clean burn

🔹Made in the U.S.A.

Available sizes👇🏽

▪️ Jumbo: 26oz Reusable Mason Jar with an approximate 140 hour burn time
▪️ Large: 16oz Reusable Mason Jar with an approximate 80 hour burn time
▪️ Medium: 8oz Reusable Mason Jar with an approximate 60 hour burn time
▪️ Mini: 4oz Reusable Mason Jar with an approxiamate 20 hour burn time
▪️ Wax Melt: 2oz",,,,,16 oz Large,,3,$24.00,,,,,3,Surfs400,Surfs160,https://www.surfsupcandle.com/cdn/shop/products/IMG_7028.jpg?v=1679092249&width=2962,IMG_7028.jpg?v=1679092249&width=2962,,,Surfs800,IMG_7028.jpg?v=1679092249&width=2962,
ISLAND MOON MASON JAR CANDLE - ORIGINAL COLLECTION,ISLAND MOON MASON JAR CANDLE - ORIGINAL COLLECTION,,"😍You will be transported seaside every time you smell Island Moon. A mix of fresh lemon and rosewater mixed with floral scents and hints of lavender, lily, and amber.

🏄🏽‍♀️Surf's Up candles are all natural soy wax, no dyes, paraffin, lead, or petroleum content

💫Hand Poured in Small Batches using custom created scents

🔥Features a cotton wick to ensure a smooth, clean burn

🔹Made in the U.S.A.

Available sizes👇🏽

▪️ Jumbo: 26oz Reusable Mason Jar with an approximate 140 hour burn time
▪️ Large: 16oz Reusable Mason Jar with an approximate 80 hour burn time
▪️ Medium: 8oz Reusable Mason Jar with an approximate 60 hour burn time
▪️ Mini: 4oz Reusable Mason Jar with an approxiamate 20 hour burn time
▪️ Wax Melt: 2oz",,,,,8 oz Medium,,3,$18.00,,,,,3,Surfs400,Surfs160,https://www.surfsupcandle.com/cdn/shop/products/IMG_7029.jpg?v=1679092267&width=2962,IMG_7029.jpg?v=1679092267&width=2962,,,Surfs800,IMG_7029.jpg?v=1679092267&width=2962,
