Snowman Family White W/Timer T Lites,Item #,#10-8089,Snowman Family of 4 White. Includes Timer T-lites.,,,,,,,Minimum order: 1,$40.00 each,,,,,Minimum order: 1,VickieJeans400,VickieJeans160,https://www.vickiejeanscreations.com/admin/uploads/items/860.jpg,860.jpg,,,VickieJeans800,860.jpg
Warm Silicone Bulb,Item #01-0001,#10-8089,Warm silicone dipped bulb with a candelabra base (4 Watt).,,,,,,,Minimum order: 6,$2.50 each,,,,,Minimum order: 6,VickieJeans400,VickieJeans160,https://www.vickiejeanscreations.com/admin/uploads/items/131.jpg,131.jpg,,,VickieJeans800,131.jpg
4 Watt Warm Bulbs (12ct),Item #01-0001-12,#10-8089,12 Pack of 4 Watt Warm Silicone Bulbs. Buy a dozen and save - Price reduced from $1.95 to $1.83 each.,,,,,,,Minimum order: 1,$28.00 each,,,,,Minimum order: 1,VickieJeans400,VickieJeans160,https://www.vickiejeanscreations.com/admin/uploads/items/445.jpg,445.jpg,,,VickieJeans800,445.jpg
Large Flicker Small Base Clear Bulb,Item #01-00027-9,#10-8089,Large clear flicker silicone dipped bulb with a candelabra base. Bulb is also available as 5 Watt NON-Flicker.,,,,,,,Minimum order: 6,$3.50 each,,,,,Minimum order: 6,VickieJeans400,VickieJeans160,https://www.vickiejeanscreations.com/admin/uploads/items/904.jpg,904.jpg,,,VickieJeans800,904.jpg
Bright Red Bulb,Item #01-0004,#10-8089,Vibrant Bright Red 4 Watt Bulb with a Candelabra Base.,,,,,,,Minimum order: 6,$2.50 each,,,,,Minimum order: 6,VickieJeans400,VickieJeans160,https://www.vickiejeanscreations.com/admin/uploads/items/757.jpg,757.jpg,,,VickieJeans800,757.jpg
Blue Silicone Bulb,Item #01-0005,#10-8089,Blue silicone dipped bulb with a candelabra base (4 Watt).,,,,,,,Minimum order: 6,$2.50 each,,,,,Minimum order: 6,VickieJeans400,VickieJeans160,https://www.vickiejeanscreations.com/admin/uploads/items/140.jpg,140.jpg,,,VickieJeans800,140.jpg
Clear Silicone Bulb,Item #01-0006,#10-8089,Clear silicone dipped bulb with a candelabra base (4 Watt).,,,,,,,Minimum order: 6,$2.50 each,,,,,Minimum order: 6,VickieJeans400,VickieJeans160,https://www.vickiejeanscreations.com/admin/uploads/items/130.jpg,130.jpg,,,VickieJeans800,130.jpg
Clear Tiny Tim Bulb,Item #01-0006-11,#10-8089,3 Watt Clear Tiny Tim Silicone Bulb.,,,,,,,Minimum order: 6,$2.50 each,,,,,Minimum order: 6,VickieJeans400,VickieJeans160,https://www.vickiejeanscreations.com/admin/uploads/items/376.jpg,376.jpg,,,VickieJeans800,376.jpg
7.5 Watt Clear Bulb,Item #01-0006-7,#10-8089,7.5 Watt Clear Dipped Bulb with a Standard Base.,,,,,,,Minimum order: 6,$3.05 each,,,,,Minimum order: 6,VickieJeans400,VickieJeans160,https://www.vickiejeanscreations.com/admin/uploads/items/718.jpg,718.jpg,,,VickieJeans800,718.jpg
Cinnamon Silicone Bulb,Item #01-0007,#10-8089,Cinnamon scented silicone dipped bulb with a candelabra base (4 Watt).,,,,,,,Minimum order: 6,$2.50 each,,,,,Minimum order: 6,VickieJeans400,VickieJeans160,https://www.vickiejeanscreations.com/admin/uploads/items/136.jpg,136.jpg,,,VickieJeans800,136.jpg
4 Watt Fall (Cinnamon) Bulbs (12ct),Item #01-0007-12,#10-8089,12 Pack of 4 Watt Fall (Cinnamon) Silicone Bulbs. Buy a dozen and save - Price reduced from $1.95 to $1.83 each.,,,,,,,Minimum order: 1,$28.00 each,,,,,Minimum order: 1,VickieJeans400,VickieJeans160,https://www.vickiejeanscreations.com/admin/uploads/items/455.jpg,455.jpg,,,VickieJeans800,455.jpg
