b'ALWAYS KISS YOUR DOG GOODNIGHT BOOK STACK',b'22NK1194',,,In Stock,,,,,,,8.99,24,$8.29 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/22nk1194.jpg,22nk1194.jpg,https://www.dnsdesignsandmore.com/product/always-kiss-your-dog-goodnight-book-stack,,DNS800,22nk1194.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
b'ALWAYS TIME FOR WINE BARREL CORK COLLECTOR',b'22NK1176',,,In Stock,,,,,,,10.99,24,$10.19 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/22nk1176.jpg,22nk1176.jpg,https://www.dnsdesignsandmore.com/product/always-time-for-wine-barrel-cork-collector,,DNS800,22nk1176.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
b'AMERICAN STAR QUILT BLOCK BARN',b'NK280',,,In Stock,,,,,,,8,24,$7.20 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/nk280.jpg,nk280.jpg,https://www.dnsdesignsandmore.com/product/american-star-quilt-block-barn,,DNS800,nk280.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
b'AMERICANA BARN CANVAS',b'NK340',,,In Stock,,,,,,,4,24,$3.50 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/nk340.jpg,nk340.jpg,https://www.dnsdesignsandmore.com/product/americana-barn-canvas,,DNS800,nk340.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
b'AMISH STAR QUILT BLOCK BARN CANVAS',b'NK294',,,In Stock,,,,,,,8,24,$7.20 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/nk294.jpg,nk294.jpg,https://www.dnsdesignsandmore.com/product/amish-star-quilt-block-barn-canvas,,DNS800,nk294.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
b'APPLE HARVEST CANVAS',b'NK334',,,In Stock,,,,,,,4,24,$3.50 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/nk334.jpg,nk334.jpg,https://www.dnsdesignsandmore.com/product/apple-harvest-canvas,,DNS800,nk334.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
b'AUCTION BARN CANVAS',b'NK336',,,In Stock,,,,,,,4,24,$3.50 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/nk336.jpg,nk336.jpg,https://www.dnsdesignsandmore.com/product/auction-barn-canvas,,DNS800,nk336.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
"b""AUNT EMMA'S PLACE CANVAS""",b'NK178',,,In Stock,,,,,,,8,24,$7.20 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/nk178.jpg,nk178.jpg,https://www.dnsdesignsandmore.com/product/aunt-emmas-place-canvas,,DNS800,nk178.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
b'AUTUMN GATHERING/FAMILY WOOD SIGN',b'CMS068',,,In Stock,,,,,,,9.99,8,$8.99 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/cms068.jpg,cms068.jpg,https://www.dnsdesignsandmore.com/product/autumn-gatheringfamily-wood-sign,,DNS800,cms068.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
b'AUTUMN GOLD CANVAS',b'NK183',,,In Stock,,,,,,,8,24,$7.20 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/nk183.jpg,nk183.jpg,https://www.dnsdesignsandmore.com/product/autumn-gold-canvas,,DNS800,nk183.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
b'AUTUMN LASER ENGRAVED BLOCK SIGNS (3 ASSORTED) EACH',b'22NK1144',,,In Stock,,,,,,,4.39,48,$3.99 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/22nk1144.jpg,22nk1144.jpg,https://www.dnsdesignsandmore.com/product/autumn-laser-engraved-block-signs-3-assorted-each,,DNS800,22nk1144.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
b'AUTUMN LEAVES/AUTUMN BY THE SEAS BEACH BLOCKS (2 ASSORTED) EACH',b'NKK23256',,,In Stock,,,,,,,3.29,48,$2.99 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/nkk23256.jpg,nkk23256.jpg,https://www.dnsdesignsandmore.com/product/autumn-leavesautumn-by-the-seas-beach-blocks-2-assorted-each,,DNS800,nkk23256.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
b'AUTUMN MOON CANVAS',b'NK311',,,In Stock,,,,,,,8,24,$7.20 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/nk311.jpg,nk311.jpg,https://www.dnsdesignsandmore.com/product/autumn-moon-canvas,,DNS800,nk311.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
b'AUTUMN ON THE FARM CANVAS',b'NK333',,,In Stock,,,,,,,16,12,$14.50 ,,,,DNS400,DNS160,https://www.dnsdesignsandmore.com/products/nk333.jpg,nk333.jpg,https://www.dnsdesignsandmore.com/product/autumn-on-the-farm-canvas,,DNS800,nk333.jpg
,,,,,,,,,,,,,,,,,,,,,,,,
