Sitting Plush Santa Gnome w/Red Hat,ADC2017,(All) Christmas Products|Santas,,,,,,18inH,,6,5.85,12,5.4,24,4.95,6,brightideas400,brightideas160,adc2017.jpg,adc2017.jpg,,,brightideas800,adc2017.jpg
Lg Plush Santa Gnome w/Cream Hat,ADC2026,(All) Christmas Products|Santas,,,,,,20inH,,3,9.95,6,9.2,12,8.45,3,brightideas400,brightideas160,adc2026.jpg,adc2026.jpg,,,brightideas800,adc2026.jpg
Med Plush Santa Gnome w/Cream Hat,ADC2027,(All) Christmas Products|Santas,,,,,,11inH,,4,6.95,8,6.45,16,5.9,4,brightideas400,brightideas160,adc2027.jpg,adc2027.jpg,,,brightideas800,adc2027.jpg
Sm Plush Santa Gnome w/Cream Hat,ADC2028,(All) Christmas Products|Santas,,,,,,7inH,,12,2.85,24,2.65,48,2.4,12,brightideas400,brightideas160,adc2028.jpg,adc2028.jpg,,,brightideas800,adc2028.jpg
Cream Gnome w/ Grey Beard Wine Bottle Topper,ADC2029,(All) Christmas Products|Plush Decor Misc.,,,,,,13inH,,8,4.35,16,4,32,3.7,8,brightideas400,brightideas160,adc2029-500x500.jpg,adc2029-500x500.jpg,,,brightideas800,adc2029-500x500.jpg
Dangle Leg Plush Santa Gnome w/Cream Hat,ADC2030,(All) Christmas Products|Santas,,,,,,15inH,,3,11.35,6,10.5,12,9.65,3,brightideas400,brightideas160,adc2030.jpg,adc2030.jpg,,,brightideas800,adc2030.jpg
Lg Plush Santa Gnome w/Grey Hat,ADC2031,(All) Christmas Products|Santas,,,,,,20inH,,3,9.45,6,8.75,12,8.05,3,brightideas400,brightideas160,adc2031.jpg,adc2031.jpg,,,brightideas800,adc2031.jpg
Sm Plush Santa Gnome w/Grey Hat,ADC2033,(All) Christmas Products|Santas,,,,,,8inH,,12,3,24,2.78,48,2.55,12,brightideas400,brightideas160,adc2033.jpg,adc2033.jpg,,,brightideas800,adc2033.jpg
Plush Grey Hat Santa Gnome Bottle Topper,ADC2034,(All) Christmas Products|Santas,,,,,,12inH,,8,5,16,4.63,32,4.25,8,brightideas400,brightideas160,adc2034.jpg,adc2034.jpg,,,brightideas800,adc2034.jpg
Dangle Leg Plush Santa Gnome w/Grey Hat,ADC2035,(All) Christmas Products|Santas,,,,,,15inH,,3,11,6,10.18,12,9.35,3,brightideas400,brightideas160,adc2035.jpg,adc2035.jpg,,,brightideas800,adc2035.jpg
