LMN-TBCM
LMN-TBCP
LMN-TBLL
LMN-TBMM
LMN-LSCM2
LMN-LSCP2
LMN-LSLL2
LMN-LSMM2
LMN-LSCM8
LMN-LSCP8
LMN-LSLL8
LMN-LSMM8
