AFAB
AFAC
AFAC-S
AFAFC
AFBAP
AFBAY
AFBC
AFBC-S
AFBMS
AFBNB
AFBP
AFCA
AFCB
AFCBH
AFCC
AFCCRN
AFCGC
AFCO
AFCR
AFCS
AFCS-S
AFEC
AFFR
AFGB
AFHC
AFHMC
AFHSH
AFHV
AFLC
AFLD
AFLIL
AFLV
AFMA
AFMB
AFML
AFOB
AFOC
AFOT
AFPB
AFPC
AFPD
AFPEC
AFPF
AFPP
AFPS
AFSC
AFSJ
AFSN
AFSPP
AFTM
AFTV
AFVA
AFWH
AFWP
AFXM
2BPBLKSTARG
2BPBMS
2BPBURLYBLK
2BPBURLYCREAM
2BPBURLYRED
2BPCB
2BPCHICKEN
2BPCOW
2BPCREAMSTAR
2BPDKREDSTAR
2BPDONKEY
2BPGHOST
2BPGMAN
2BPGOAT
2BPGRUNGEBROWN
2BPGRUNGECREAM
2BPGRUNGERED
2BPHORSE
2BPJOL
2BPJOLG
2BPLIVE
2BPMUSTSTAR
2BPPIG
2BPPPSTAR
2BPRUSTICBLACK
2BPRUSTICBROWN
2BPRUSTICCREAM
2BPRUSTICRED
2BPSCARE
2BPSHEEP
2BPSNOWC
2BPSNOWP
2BPSNOWW
2BPSNSTAR
2BPTRACTOR
2BPWHSTAR
4BPBLKSTARG
4BPCHICKEN
4BPCOW
4BPDKREDSTAR
4BPDONKEY
4BPGMAN
4BPGOAT
4BPHORSE
4BPJOL
4BPMUSTSTAR
4BPPIG
4BPRUSTICBLACK
4BPRUSTICCREAM
4BPSHEEP
4BPSNSTAR
4BPTRACTOR
4BPWHSTAR
6BPBLKSTARG
6BPCB
6BPCHICKEN
6BPCOW
6BPDKREDSTAR
6BPDONKEY
6BPGMAN
6BPGOAT
6BPHORSE
6BPJOL
6BPMUSTSTAR
6BPPIG
6BPRUSTICBLACK
6BPRUSTICCREAM
6BPSHEEP
6BPSNSTAR
6BPTRACTOR
6BPWHSTAR
BRSNOWC
BRSNOWP
BRSNOWW
MRSNOWC
MRSNOWP
MRSNOWW
PRSNOWC
PRSNOWP
PRSNOWW
4BPBMS
4BPBURLYBLK
4BPBURLYCREAM
4BPBURLYRED
4BPCB
4BPCREAMSTAR
4BPGHOST
4BPGRUNGEBROWN
4BPGRUNGECREAM
4BPGRUNGERED
4BPJOLG
4BPLIVE
