Old Timer  - Round - 8ft round - Turquoise,0004TUR296,Camp|Round|8ft round|Rustic,"This rug’s styling is steeped in history, reminiscent of old trader and trader blankets this rug has a timeless appeal. The Exclusive EnduraStran construction ensures this rug will be around for generations to come.   MADE IN AMERICA!",,,,,8ft round,,1,$294.00,,,,,1,Dakota400,Dakota160,OldTimer- Turq 8ft Round.jpg,OldTimer- Turq 8ft Round.jpg,100% EnduraStran tm Nylon,,Dakota800,OldTimer- Turq 8ft Round.jpg,,,,,
Head Banger - Rectangle - 4x5 - Black,0005BLK200,Motor Head|Rectangle|4x5,"Make any room rock with this fun spirited ""Skull"" rug.  Mothers this rug is not too scary the skulls have hearts for noses.  Available in 6  sizes and 3 different colors. MADE IN AMERICA!",,,,,4x5,,1,$76.00,,,,,1,Dakota400,Dakota160,Head Banger black 5x8.jpg,Head Banger black 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Head Banger black 5x8.jpg,,,,,
Head Banger - Rectangle - 5x8 - Black,0005BLK201,Motor Head|Rectangle|5x8,"Make any room rock with this fun spirited ""Skull"" rug.  Mothers this rug is not too scary the skulls have hearts for noses.  Available in 6  sizes and 3 different colors. MADE IN AMERICA!",,,,,5x8,,1,$150.00,,,,,1,Dakota400,Dakota160,Head Banger black 5x8.jpg,Head Banger black 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Head Banger black 5x8.jpg,,,,,
Head Banger - Rectangle - 8x11 - Black,0005BLK202,Motor Head|Rectangle|8x11,"Make any room rock with this fun spirited ""Skull"" rug.  Mothers this rug is not too scary the skulls have hearts for noses.  Available in 6  sizes and 3 different colors. MADE IN AMERICA!",,,,,8x11,,1,$294.00,,,,,1,Dakota400,Dakota160,Head Banger black 5x8.jpg,Head Banger black 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Head Banger black 5x8.jpg,,,,,
Head Banger - Runner - 2x8 - Black,0005BLK217,Motor Head|Runner|2x8,"Make any room rock with this fun spirited ""Skull"" rug.  Mothers this rug is not too scary the skulls have hearts for noses.  Available in 6  sizes and 3 different colors. MADE IN AMERICA!",,,,,2x8,,1,$80.00,,,,,1,Dakota400,Dakota160,Head Banger- black 2x8.jpg,Head Banger- black 2x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Head Banger- black 2x8.jpg,,,,,
Head Banger - Scatter - 3x4 - Black,0005BLK234,Motor Head|Scatter|3x4,"Make any room rock with this fun spirited ""Skull"" rug.  Mothers this rug is not too scary the skulls have hearts for noses.  Available in 6  sizes and 3 different colors. MADE IN AMERICA!",,,,,3x4,,1,$49.00,,,,,1,Dakota400,Dakota160,Head Banger black 3x4.jpg,Head Banger black 3x4.jpg,100% EnduraStran tm Nylon,,Dakota800,Head Banger black 3x4.jpg,,,,,
Head Banger - Round - 8ft round - Black,0005BLK296,Motor Head|Round|8ft round,"Make any room rock with this fun spirited ""Skull"" rug.  Mothers this rug is not too scary the skulls have hearts for noses.  Available in 6  sizes and 3 different colors. MADE IN AMERICA!",,,,,8ft round,,1,$294.00,,,,,1,Dakota400,Dakota160,Head Banger -black 8ft round.jpg,Head Banger -black 8ft round.jpg,100% EnduraStran tm Nylon,,Dakota800,Head Banger -black 8ft round.jpg,,,,,
Head Banger - Rectangle - 4x5 - Natural,0005NAT200,Motor Head|Rectangle|4x5,"Make any room rock with this fun spirited ""Skull"" rug.  Mothers this rug is not too scary the skulls have hearts for noses.  Available in 6  sizes and 3 different colors. MADE IN AMERICA!",,,,,4x5,,1,$76.00,,,,,1,Dakota400,Dakota160,Head Banger- natural 5x8.jpg,Head Banger- natural 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Head Banger- natural 5x8.jpg,,,,,
Head Banger - Rectangle - 5x8 - Natural,0005NAT201,Motor Head|Rectangle|5x8,"Make any room rock with this fun spirited ""Skull"" rug.  Mothers this rug is not too scary the skulls have hearts for noses.  Available in 6  sizes and 3 different colors. MADE IN AMERICA!",,,,,5x8,,1,$150.00,,,,,1,Dakota400,Dakota160,Head Banger- natural 5x8.jpg,Head Banger- natural 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Head Banger- natural 5x8.jpg,,,,,
Head Banger - Rectangle - 8x11 - Natural,0005NAT202,Motor Head|Rectangle|8x11,"Make any room rock with this fun spirited ""Skull"" rug.  Mothers this rug is not too scary the skulls have hearts for noses.  Available in 6  sizes and 3 different colors. MADE IN AMERICA!",,,,,8x11,,1,$294.00,,,,,1,Dakota400,Dakota160,Head Banger- natural 5x8.jpg,Head Banger- natural 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Head Banger- natural 5x8.jpg,,,,,
