"GRAPEVINE AND BURLAP FLOWER, 16 X 16",4381,All KMI Products View,,Out of stock,,,,,,2,5.5,6,4.675,24,3.85,2,KMI400,KMI160,4381_54a326b376699.jpg,4381_54a326b376699.jpg,,,KMI800,4381_54a326b376699.jpg,,
"GRAPEVINE STAR, 16X16",4382,All KMI Products View,,Currently In stock,,,,,,2,5,6,4.25,24,3.5,2,KMI400,KMI160,4382_54a326d76a152.jpg,4382_54a326d76a152.jpg,,,KMI800,4382_54a326d76a152.jpg,,
"GRAPEVINE WINDOW BASKET, SET OF 3, 10X2.5X14.5, 12.5X3X17.5, 17X3X23",4383,All KMI Products View,,Currently In stock,,,,,,1,20,2,17,4,14,1,KMI400,KMI160,4383_54a327019ea84.jpg,4383_54a327019ea84.jpg,,,KMI800,4383_54a327019ea84.jpg,,
"WOOD FENCE WITH BURLAP AND STARS, 21 IN H X 12 IN W",4412,All KMI Products View,,Currently In stock,,,,,,2,3.5,6,2.975,24,2.45,2,KMI400,KMI160,4412_564370aa1c018.jpg,4412_564370aa1c018.jpg,,,KMI800,4412_564370aa1c018.jpg,,
"DAISY, MARIGOLD AND BERRY MIX DROP, 29IN, PINK-PURPLE-YELLOW",4269PI-PU-YE,All KMI Products View,,Out of stock,,,,29 Inches,,2,15.5,6,13.175,24,10.85,2,KMI400,KMI160,4269PI_PU_YE_4f0b4fc4ba904.jpg,4269PI_PU_YE_4f0b4fc4ba904.jpg,,,KMI800,4269PI_PU_YE_4f0b4fc4ba904.jpg,,
"DAISY, MARIGOLD AND BERRY MIX BOUQUET, 20IN, PINK-PURPLE-YELLOW",4270PI-PU-YE,All KMI Products View,,Currently In stock,,,,20 Inches,,2,7.5,6,6.375,36,5.25,2,KMI400,KMI160,4270PI_PU_YE_4f0b5013f27af.jpg,4270PI_PU_YE_4f0b5013f27af.jpg,,,KMI800,4270PI_PU_YE_4f0b5013f27af.jpg,,
"BURLAP MAGNOLIA SPRAY W, MIXED ACCENTS AND LEAVES, 20 IN, HW, BURGUNDY, MAGENTA, PURPLE",4410S BU-MG-PU,All KMI Products View,,Currently In stock,,,,,,6,3.5,12,2.975,60,2.45,6,KMI400,KMI160,4410S_BU_MG_PU_56436b47d3289.jpg,4410S_BU_MG_PU_56436b47d3289.jpg,,,KMI800,4410S_BU_MG_PU_56436b47d3289.jpg,,
"BURLAP MAGNOLIA SPRAY W, MIXED ACCENTS AND LEAVES, 20 IN, HW, PURPLE, MAGENTA, CREAM",4410S PU-MG-CR,All KMI Products View,,Out of stock,,,,,,6,3.5,12,2.975,60,2.45,6,KMI400,KMI160,4410S_PU_MG_CR_56436b621e6c7.jpg,4410S_PU_MG_CR_56436b621e6c7.jpg,,,KMI800,4410S_PU_MG_CR_56436b621e6c7.jpg,,
"BURLAP FLOWER SPRAY W, FORSYTHIA AND MIXED GREENERY, 24 IN, HW, BURGUNDY, PURPLE",4411S BU-PU,All KMI Products View,,Currently In stock,,,,,,6,4,12,3.4,72,2.8,6,KMI400,KMI160,4411S_BU_PU_56436fa9a3306.jpg,4411S_BU_PU_56436fa9a3306.jpg,,,KMI800,4411S_BU_PU_56436fa9a3306.jpg,,
"COTTON PLANT AND WILD FLOWER SPRAY, 24 IN, HW, PURPLE, PINK",4438S PU-PI,All KMI Products View,,Currently In stock,,,,,,2,5,6,4.25,60,3.5,2,KMI400,KMI160,4438S_PU_PI_582368cccc675.jpg,4438S_PU_PI_582368cccc675.jpg,,,KMI800,4438S_PU_PI_582368cccc675.jpg,,
"MIXED FLOWER SPRAY, 26 IN, HW, ORANGE, YELLOW, MIX",4440S OR-YE-MX,All KMI Products View,,Currently In stock,,,,,,2,5,6,4.25,60,3.5,2,KMI400,KMI160,4440S_OR_YE_MX_5823691d3868e.jpg,4440S_OR_YE_MX_5823691d3868e.jpg,,,KMI800,4440S_OR_YE_MX_5823691d3868e.jpg,,
"FORSYTHIA DROP, 29IN., YELLOW",4441D YE,All KMI Products View,,Currently In stock,,,,,,2,14.5,4,12.325,24,10.15,2,KMI400,KMI160,4441D_YE_5820cf2fc1e02.jpg,4441D_YE_5820cf2fc1e02.jpg,,,KMI800,4441D_YE_5820cf2fc1e02.jpg,,
"FORSYTHIA SPRAY, 27 IN., YELLOW",4441S YE,All KMI Products View,,Currently In stock,,,,,,2,3.5,6,2.975,60,2.45,2,KMI400,KMI160,4441S_YE_5820fd5bbcc4d.jpg,4441S_YE_5820fd5bbcc4d.jpg,,,KMI800,4441S_YE_5820fd5bbcc4d.jpg,,
"FORSYTHIA  AND FLOWER DROP, 29 IN., RED, YELLOW",4442D RE-YE,All KMI Products View,,Currently In stock,,,,,,2,14.5,4,12.325,24,10.15,2,KMI400,KMI160,4442D_RE_YE_5820d5c83bdd9.jpg,4442D_RE_YE_5820d5c83bdd9.jpg,,,KMI800,4442D_RE_YE_5820d5c83bdd9.jpg,,
"FORSYTHIA  AND FLOWER SPRAY, 27 IN., RED, YELLOW",4442S RE-YE,All KMI Products View,,Currently In stock,,,,,,2,3.5,6,2.975,60,2.45,2,KMI400,KMI160,4442S_RE_YE_5820fd7caf6ea.jpg,4442S_RE_YE_5820fd7caf6ea.jpg,,,KMI800,4442S_RE_YE_5820fd7caf6ea.jpg,,
"BURLAP FLOWER SPRAY, 24 IN., BROWN",4446S BR,All KMI Products View,,Currently In stock,,,,,,2,5,6,4.25,60,3.5,2,KMI400,KMI160,4446S_BR_5820fc095ef92.jpg,4446S_BR_5820fc095ef92.jpg,,,KMI800,4446S_BR_5820fc095ef92.jpg,,
"DAHLIA PICK, 11 IN., RED, ORANGE, YELLOW",4449P RE-OR-YE,All KMI Products View,,Currently In stock,,,,,,12,1.25,24,1.0625,240,0.875,12,KMI400,KMI160,4449P_RE_OR_YE_582371cd54da7.jpg,4449P_RE_OR_YE_582371cd54da7.jpg,,,KMI800,4449P_RE_OR_YE_582371cd54da7.jpg,,
