Magnesium Rooster Garden Statue,EN128262,(All) ZAER PRODUCTS|DECORATIVE ITEMS|HOME DECOR,"This rustic magnesium rooster statue looks charming everywhere - whether it's displayed on a plinth or table, nestled in a garden near some plants, or greeting your guests at the front door. He's skillfully crafted with certain attention to details and sturdy yet lightweight, making him easy to move around.  - Indoor/Outdoor - Year round use - Weather resistant - 100% quality magnesium - Antique, stone-like appearance - Hand painted with distressed grey finish - Intricate carved details - Freestanding - Packaged 2pcs/carton; MOQ: 2 ",,,,,8.3 x 13.0 x 15.0,,1.00,39.99,,,,,1.00,Zaer400,Zaer160,mn001437.jpg,mn001437.jpg,,,Zaer800,mn001437.jpg,
Small Oval Chalkboard Stand,EN128270,|(All) ZAER PRODUCTS|HOME DECOR|WALL DECOR,"Lead your customers in the right direction with this industrial grade standing chalkboard sign with an oval frame. This stand is single sided with intricate scroll details in an elegant gold finish. It stands upright on its own, and can easily fold up to be stored.  - Powder coated iron - Hand painted for an antique gold finish - Chalk can be used to write on blackboard  - Packaged 4pcs/carton  *chalk not included ",,,,,20.75 x 16.5 x 44.0,,1.00,42.00,,,,,1.00,Zaer400,Zaer160,mn001439.jpg,mn001439.jpg,,,Zaer800,mn001439.jpg,
Lesera 16.4 Feet Long 100 Count Twinkle Fairy Lights,LS071117,|(All) ZAER PRODUCTS|CHRISTMAS|SEASONAL,"Our Lesera Fairy Lights can transform any setting into something a bit more magical. Each set comes with 100 LED lights dispersed over 16.4 feet of wire, approximately one light every two inches. A small remote is included that can easily be used to change the settings, brightness, and blinking of the lights. Great for window displays, holidays, events, anything you can think of!  - Indoor/Outdoor - 100 LED lights - 16.4' long string - Includes remote to change settings & brightness - Requires 3-AA batteries (not included) - Available in SIX colors: Cold White, Blue, Green, Pink, Purple, and Soft White ",,,,,,,12.00,6.45,,,,,12.00,Zaer400,Zaer160,mn002800.jpg,mn002800.jpg,,,Zaer800,mn002800.jpg,
Set of 3 Small Iron Ladybug Garden Flat Stakes in 3 Assorted Colors,LS170321,|(All) ZAER PRODUCTS|GARDEN DECOR,"Adorn your garden with a Set of 3 Small Ladybug Iron Flat Stakes. Each is hand-painted with bright colors, sure to stand out against the typical landscape. They stand at approximately 2"" tall and although are made of sturdy iron, are lightweight and flat so they can fit almost anywhere, no matter how tiny your decorating space may be. Your luck is BOUND to change with these 3 beautiful babies.",,,,,14.0 x 0.1 x 24.0,,1.00,50.00,,,,,1.00,Zaer400,Zaer160,mn001453.jpg,mn001453.jpg,,,Zaer800,mn001453.jpg,
Set of 3 Large Iron Ladybug Flat Garden Stakes in 3 Assorted Colors,LS170322,|(All) ZAER PRODUCTS|GARDEN DECOR,"Everyone loves how cute a ladybug is, as well as the luck they're said to bring. So, who wouldn't want three giant brightly colored ladybugs joining them in their garden?  Our Set of 3 Large Iron Ladybug Flat Stakes are each hand-painted and add that bit of creativity and fun to any setting. They easily secure to the ground by two pointed stakes, keeping your ladybug standing straight and proud at approximately 3ft tall despite the wind and harsh weather. This piece is sure to make anyone smile!  - Indoor/Outdoor - Weather & rust resistant - Hand painted in bright vibrant colors - Glossy finish - Sturdy two prong stake",,,,,24.0 x 0.2 x 36.0,,1.00,115.00,,,,,1.00,Zaer400,Zaer160,mn001454.jpg,mn001454.jpg,,,Zaer800,mn001454.jpg,
Large Iron Frog Garden Flat Stake,LS170325,|(All) ZAER PRODUCTS|GARDEN DECOR,"Our Large Iron Frog Flat Stake is full of pep and wants to make your garden a bit more lively. Hand-painted and unique, just like his friend LS170323 Large Iron Turtle, this frog stands 3ft tall and loves to get a reaction, as you can tell by his curled up tongue poking out of his mouth. He's easily set in place by pushing the two stakes at his feet into the ground and he's not going anywhere.  - Outdoor safe - Weather and rust resistant - 100% powder coated iron - Hand painted - Packaged 6pcs per carton     *MOQ: 6 - Get an automatic 10% off ",,,,,26.0 x 0.5 x 36.0,,6.00,38.50,,,,,6.00,Zaer400,Zaer160,mn001458.jpg,mn001458.jpg,,,Zaer800,mn001458.jpg,
Small Iron Frog Garden Flat Stake,LS170326,|(All) ZAER PRODUCTS|GARDEN DECOR,"This mischievous little guy belongs hopping around your garden. With his captivating smile, our Small Iron Frog Garden Flat Stake is sure to steal your heart (and any random flies!).  Standing at approximately 26in. tall, this baby frog is hand-painted with a glossy finish that reflects in the sun, but built to withstand the elements. He's happy to make your home his which is easily done by using the two sturdy prongs at his feet to stake into the ground.   - Weather and rust resistant - Powder coated iron - Hand painted - Beautiful textures and details - Heavy duty prongs easily penetrate soft ground - Sturdy and durable ",,,,,19.0 x 0.4 x 26.0,,1.00,25.00,,,,,1.00,Zaer400,Zaer160,mn001460.jpg,mn001460.jpg,,,Zaer800,mn001460.jpg,
"""Valley Forge"" Three Piece Garden Furniture Set in Antique Bronze",LS819000-SET,|(All) ZAER PRODUCTS|GARDEN DECOR,"SAVE 10% WHEN YOU PURCHASE THE THREE PIECE ""VALLEY FORGE"" COLLECTION!  Create the outdoor living experience you've always dreamed of with the ""Valley Forge"" Collection. Meticulously crafted from powder coated iron and hand painted for a stunning Antique Bronze finish, each piece is made for functionality and beauty. The crisp straight lines and geometric shapes create a classic design that works well with a variety of styles and decorum. Order a single piece or purchase the entire set consisting of garden bench, arm chair, and garden table for the perfect outdoor seating area.    - Indoor/Outdoor - Year round use - Hand painted Antique Bronze finish - Ships in flat pack, disassembled - Sturdy, weighted, and durable - Includes seating for up to three (3) people - Partial assembly required - instructions & hardware included  Dimensions: LS819001 ""Valley Forge"" Garden Bench:     46.5"" L x 22"" W x 36.5"" H LS819002 ""Valley Forge"" Garden Arm Chair:     24.5"" L x 22"" W x 36.5"" H LS819003 ""Valley Forge"" Garden Table:     39.25"" L x 19.5"" W x 21.5"" H ",,,,,39.25 x 19.5 x 21.5,,1.00,316.75,,,,,1.00,Zaer400,Zaer160,mn003259.jpg,mn003259.jpg,,,Zaer800,mn003259.jpg,
"""Valley Forge"" Iron Garden Bench in Antique Bronze",LS819001-BZ,|(All) ZAER PRODUCTS|GARDEN DECOR,"Create the outdoor living experience you've always dreamed of with the ""Valley Forge"" Collection. Meticulously crafted from powder coated iron and hand painted for a stunning Antique Bronze finish, each piece is made for functionality and beauty. The crisp straight lines and geometric shapes create a classic design that works well with a variety of styles and decorum. Order a single piece or purchase the entire set consisting of garden bench, arm chair, and garden table for the perfect outdoor seating area.    - Indoor/Outdoor - Year round use - Hand painted Antique Bronze finish - Ships in flat pack, disassembled - Sturdy, weighted, and durable - Seats 2 adults comfortable, up to 600lbs - Partial assembly required - instructions & hardware included - CBM: .089 ",,,,,46.5 x 22.0 x 36.5,,1.00,151.15,,,,,1.00,Zaer400,Zaer160,mn003256.jpg,mn003256.jpg,,,Zaer800,mn003256.jpg,
"""Valley Forge"" Iron Garden Arm Chair in Antique Bronze",LS819002-BZ,|(All) ZAER PRODUCTS|GARDEN DECOR,"Create the outdoor living experience you've always dreamed of with the ""Valley Forge"" Collection. Meticulously crafted from powder coated iron and hand painted for a stunning Antique Bronze finish, each piece is made for functionality and beauty. The crisp straight lines and geometric shapes create a classic design that works well with a variety of styles and decorum. Order a single piece or purchase the entire set consisting of garden bench, arm chair, and garden table for the perfect outdoor seating area.    - Indoor/Outdoor - Year round use - Hand painted Antique Bronze finish - Ships in flat pack, disassembled - Sturdy, weighted, and durable - Seats one (1) person comfortably, up to 300lbs - Partial assembly required - instructions & hardware included - CBM: .055 ",,,,,24.5 x 22.0 x 36.5,,1.00,110.15,,,,,1.00,Zaer400,Zaer160,mn003257.jpg,mn003257.jpg,,,Zaer800,mn003257.jpg,
"""Valley Forge"" Iron Garden Table in Antique Bronze",LS819003-BZ,|(All) ZAER PRODUCTS|GARDEN DECOR,"Create the outdoor living experience you've always dreamed of with the ""Valley Forge"" Collection. Meticulously crafted from powder coated iron and hand painted for a stunning Antique Bronze finish, each piece is made for functionality and beauty. The crisp straight lines and geometric shapes create a classic design that works well with a variety of styles and decorum. Order a single piece or purchase the entire set consisting of garden bench, arm chair, and garden table for the perfect outdoor seating area.    - Indoor/Outdoor - Year round use - Hand painted Antique Bronze finish - Ships in flat pack, disassembled - Sturdy, weighted, and durable - Spacious enough for four (4) people to sit around - Partial assembly required - instructions & hardware included - Weight Capacity: 160lbs - CBM: .042 ",,,,,39.25 x 19.5 x 21.5,,1.00,90.65,,,,,1.00,Zaer400,Zaer160,mn003258.jpg,mn003258.jpg,,,Zaer800,mn003258.jpg,
Vintage Style 1920's Decorative Sewing Machine Box,RD104157,(All) ZAER PRODUCTS|DECORATIVE ITEMS|HOME DECOR,"Turn back time with our 1920's Inspired Decorative Sewing Machine Box. This beautiful piece is handcrafted from metal and wood, then distressed for that authentic vintage feel. The metal sewing machine is stationed atop a small wooden box, perfect for holding small knick-knacks, jewelry, needles and thread, whatever small items you wish!  - Hand painted for antique appearance - Made from MDF and metal - Powder coated iron - Wooden box lifts open for storage - Small hinge clasp - Packaged 6pcs/carton  *Sewing Machine is purely decorative - it does not actually function as a sewing machine ",,,,,9.06 x 3.74 x 9.27,,1.00,17.50,,,,,1.00,Zaer400,Zaer160,mn002917.jpg,mn002917.jpg,,,Zaer800,mn002917.jpg,
Vintage Style 1920's Decorative Sewing Machine Box,RD104642,(All) ZAER PRODUCTS|DECORATIVE ITEMS|HOME DECOR,"Turn back time with our 1920's Inspired Decorative Sewing Machine Box. This beautiful piece is handcrafted from metal and wood, then distressed for that authentic vintage feel. The metal sewing machine is stationed atop a small wooden box, perfect for holding small knick-knacks, jewelry, needles and thread, whatever small items you wish!  - Hand painted for antique appearance - Made from MDF and metal - Powder coated iron - Wooden box lifts open for storage - Small hinge clasp - 8pcs/carton  *Sewing Machine is purely decorative - it does not actually function as a sewing machine ",,,,,9.06 x 3.94 x 8.5,,1.00,17.50,,,,,1.00,Zaer400,Zaer160,mn002915.jpg,mn002915.jpg,,,Zaer800,mn002915.jpg,
Vintage Style 1920's Decorative Sewing Machine Box,RD104896,(All) ZAER PRODUCTS|DECORATIVE ITEMS|HOME DECOR,"Turn back time with our 1920's Inspired Decorative Sewing Machine Box. This beautiful piece is handcrafted from metal and wood, then distressed for that authentic vintage feel. The metal sewing machine is stationed atop a small wooden box, perfect for holding small knick-knacks, jewelry, needles and thread, whatever small items you wish!  - Hand painted for antique appearance - Made from MDF and metal - Powder coated iron - Wooden box lifts open for storage - Small hinge clasp - 12pcs/carton  *Sewing Machine is purely decorative - it does not actually function as a sewing machine ",,,,,9.06 x 3.74 x 9.5,,1.00,17.50,,,,,1.00,Zaer400,Zaer160,mn002916.jpg,mn002916.jpg,,,Zaer800,mn002916.jpg,
Metal Model Airplane Decor in Blue and Cream,RD204155-BL,(All) ZAER PRODUCTS|DECORATIVE ITEMS|HOME DECOR,"Show off your love of everything aerial with our decorative model airplanes. Each is hand painted for a vintage appearance and crafted from high quality durable iron.   - Indoor/Outdoor - Weather & rust resistant - Powder coated iron - Hand painted distressed finish - Intricate and realistic details - Style available in 3 colors: Blue/Cream(shown), Red/Cream, and Yellow/Cream - Packaged 6pcs/carton ",,,,,13.39 x 12.6 x 3.54,,1.00,18.25,,,,,1.00,Zaer400,Zaer160,mn002932.jpg,mn002932.jpg,,,Zaer800,mn002932.jpg,
