"6"" x 6"" Plaque Display
22”W x 67”H x 10”D
168 - 6”x6” plaques, 8 each of 21 designs
$5.00 each............................................................ $840.00",10027,(All) Heartwood Hollow Signs|,,,,,,,,1,840.00,,,,,1,Heartwood400,Heartwood160,10027 6x6 and 9x6 plaque display.jpg,10027 6x6 and 9x6 plaque display.jpg,,,Heartwood800,10027 6x6 and 9x6 plaque display.jpg,,,
"2' Plank Sign Display
24""W x 72""H
60 - 2' Plank Signs, 6 each of 10 designs
$10.00 each............................................................ $600.00",10032,(All) Heartwood Hollow Signs|,,,,,,,,,600.00,,,,,,Heartwood400,Heartwood160,10029 2' Plank Sign Display.jpg,10029 2' Plank Sign Display.jpg,,,Heartwood800,10029 2' Plank Sign Display.jpg,,,
"9"" x 6"" Plaque Display
22”W x 67”H x 10”D
112 - 9”x6” plaques, 8 each of 14 designs
$8.00 each............................................................ $896.00",10027A,(All) Heartwood Hollow Signs|,,,,,,,,,896.00,,,,,,Heartwood400,Heartwood160,6x9 Plaque Display.jpg,6x9 Plaque Display.jpg,,,Heartwood800,6x9 Plaque Display.jpg,,,
"Combo Plaque Display
22”W x 67”H x 10”D
Holds a combination of 6”x6” and 9”x6” plaques",10027B,(All) Heartwood Hollow Signs|,,,,,,,,,,,,,,,Heartwood400,Heartwood160,6x6 and 6x9 Plaque Display.jpg,6x6 and 6x9 Plaque Display.jpg,,,Heartwood800,6x6 and 6x9 Plaque Display.jpg,,,
"16” Christmas Sign Display
16""W x 36""H
48 - 16” Christmas Signs, 6 each of 8 designs
$6.00 each............................................................ $288.00",10029C,(All) Heartwood Hollow Signs|,,,,,,,,,288,,,,,,Heartwood400,Heartwood160,16_ Christmas Sign Display.jpg,16_ Christmas Sign Display.jpg,,,Heartwood800,16_ Christmas Sign Display.jpg,,,
"3' Plank Christmas Sign Display
36""W x 72""H
60 - 3' Plank Christmas Signs, 6 each of 10 designs
$12.50 each............................................................ $750.00",10028C,(All) Heartwood Hollow Signs|,,,,,,,,,750,,,,,,Heartwood400,Heartwood160,3' Plank Christmas Sign Display.jpg,3' Plank Christmas Sign Display.jpg,,,Heartwood800,3' Plank Christmas Sign Display.jpg,,,
In All Things,18743,(All) Heartwood Hollow Signs|Plaques|Gift Guide|,,Artist:Heartland Art Collection,,,,"18"" x 18”",,1,24.00,,,,,1,Heartwood400,Heartwood160,66743 In All Things.jpg,66743 In All Things.jpg,,,Heartwood800,66743 In All Things.jpg,,,
All Your Heart,18744,(All) Heartwood Hollow Signs|Plaques|Gift Guide|,,Artist:Heartland Art Collection,,,,"18"" x 18”",,1,24.00,,,,,1,Heartwood400,Heartwood160,66744 All Your Heart.jpg,66744 All Your Heart.jpg,,,Heartwood800,66744 All Your Heart.jpg,,,
Good Courage,18745,(All) Heartwood Hollow Signs|Plaques|Gift Guide|,,Artist:Heartland Art Collection,,,,18” x 18”,,1,24.00,,,,,1,Heartwood400,Heartwood160,66745 Good Courage.jpg,66745 Good Courage.jpg,,,Heartwood800,66745 Good Courage.jpg,,,
Only God,18746,(All) Heartwood Hollow Signs|Plaques|Gift Guide|,,Artist:Heartland Art Collection,,,,"18"" x 18""",,1,24.00,,,,,1,Heartwood400,Heartwood160,66746 Only God.jpg,66746 Only God.jpg,,,Heartwood800,66746 Only God.jpg,,,
