Product Name,Item Number,Store Categories,Detailed Product Description,Product Summary Overview,Size,minimum_quantity,Unit Price,minimum_quantityP2,tier_2_price,minimum_quantityP3,tier_3_price,multiple_of,Product Images,Quantity,MSRP,Sale Price,Ship Days,Is Active,Brand,Categories,Variations,Section,Sku,isImageAvailable,,
CHEERFUL WELCOME (SIGN),CHD101,(All) ACG View|ACG Giftware,"15.5""W x 6""H",,,2,6,,,,,2,chd101-cheerful-welcome.jpg,1,12,,4,1,A Cheerful Giver,Fall & Thanksgiving-Signs,,"Wall Decor, Signs & Art-Garden Signs",67462303101-9,1,,
WELCOME BIRD HOUSE (SIGN),CHD102,(All) ACG View|ACG Giftware,"7""W x 13.25""H",,,2,5,,,,,2,chd102-welcome-bird-house.jpg,1,10,,4,1,A Cheerful Giver,Garden & Outdoor-Birdhouses,,Outdoor Home-Birdhouses,67462303102-6,1,,
WELCOME PLAQUE WITH HOMESPUN (SIGN) ,CHD103,(All) ACG View|ACG Giftware,"4""W x 10.75""H",,,2,5,,,,,2,chd103-welcome-plaque.jpg,1,10,,4,1,A Cheerful Giver,Garden & Outdoor-Signs,,"Wall Decor, Signs & Art-Wood Plaques",67462303103-3,1,,
SNOWMAN FIGURINE WITH CHRISTMAS TREE W/ LED LIGHT ,CHD149,(All) ACG View|ACG Giftware,"5Hr Timer LED. Product Dimensions: 6.25""ùW x 10.25""ùH x 5.75""ùD",,,4,13.75,,,,,4,CHD149-Snowman.jpg,1,27.5,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303149-1,1,,
CHRISTMAS TREE-WHITE W/ LED LIGHT ,CHD150,(All) ACG View|ACG Giftware,,,,4,8,,,,,4,CHD150-White-Treee.jpg,1,16,,4,1,A Cheerful Giver,Christmas-Trees,,Home Decor,67462303150-7,1,,
CHRISTMAS TREE-GREEN W/ LED LIGHT,CHD151,(All) ACG View|ACG Giftware,,,,4,8,,,,,4,CHD151-Green-Tree.jpg,1,16,,4,1,A Cheerful Giver,Christmas-Trees,,Home Decor,67462303151-4,1,,
WILLIES FAMILY- LARGE,CHD152,(All) ACG View|ACG Giftware,,,,2,10,,,,,2,CHD152 & CHD186- Willies Family.jpg,1,20,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303152-1,1,,
WILLIES SNOWMAN- LARGE,CHD154,(All) ACG View|ACG Giftware,,,,2,10,,,,,2,CHD154 & CHD155- Willie Snowman.jpg,1,20,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303154-5,1,,
WILLIES SNOWMAN- SMALL,CHD155,(All) ACG View|ACG Giftware,,,,4,7.5,,,,,4,CHD154 & CHD155- Willie Snowman.jpg,1,15,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303155-2,1,,
TOBOGGANING WILLIES-LARGE,CHD156,(All) ACG View|ACG Giftware,,,,2,10,,,,,2,CHD156 Tobogganing Willies.jpg,1,20,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303156-9,1,,
TOBOGGANING WILLIES-SMALL,CHD157,(All) ACG View|ACG Giftware,,,,4,7.5,,,,,4,CHD156 Tobogganing Willies.jpg,1,15,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303157-6,1,,
WILLIE WINTER RIDE-LARGE,CHD158,(All) ACG View|ACG Giftware,,,"5.5""ùW x 8.5""ùH x 7.75""ùD",2,12,,,,,2,chd158-willie-winter-ride-lg.jpg,1,24,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303158-3,1,,
WILLIE WINTER RIDE-SMALL,CHD159,(All) ACG View|ACG Giftware,,,"3""ùW x 5""ùH x 5""ùD",4,8,,,,,4,chd159-willie-winter-ride-sm.jpg,1,16,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303159-0,1,,
WILLIE FRESH CUT-LARGE,CHD160,(All) ACG View|ACG Giftware,,,"8""ùW x 7""ùH x 3.75""ùD",2,9,,,,,2,chd160-willies-fresh-cut-lg.jpg,1,18,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303160-6,1,,
WILLIE FRESH CUT-SMALL,CHD161,(All) ACG View|ACG Giftware,,,"4.75""ùW x 5""ùH x 2.75""ùD",4,5.5,,,,,4,chd161-willies-fresh-cut-sm.jpg,1,11,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303161-3,1,,
SLEDDING WILLIE- LARGE,CHD162,(All) ACG View|ACG Giftware,,,,2,6.5,,,,,2,CHD162 & CHD163-Sledding Willie.jpg,1,13,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303162-0,1,,
SLEDDING WILLIE- SMALL ,CHD163,(All) ACG View|ACG Giftware,,,,4,4.25,,,,,4,CHD162 & CHD163-Sledding Willie.jpg,1,8.5,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303163-7,1,,
BOARDING WILLIE- LARGE,CHD164,(All) ACG View|ACG Giftware,,,"6.75""ùW x 7""ùH x 3.5""ùD",2,6.5,,,,,2,chd164-boarding-willie-lg.jpg,1,13,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303164-4,1,,
BOARDING WILLIE- SMALL ,CHD165,(All) ACG View|ACG Giftware,,,"4""ùW x 4.5""ùH x 1.75""ùD",4,4.25,,,,,4,chd165-boarding-willie-sm.jpg,1,8.5,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303165-1,1,,
SKIING WILLIE- LARGE,CHD166,(All) ACG View|ACG Giftware,,,,2,6.5,,,,,2,CHD166 & CHD167-Skiing Willie.jpg,1,13,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303166-8,1,,
SKIING WILLIE- SMALL ,CHD167,(All) ACG View|ACG Giftware,,,"4""ùW x 4.5""ùH x 2.25""ùD",4,4.25,,,,,4,chd167-skiing-willie-sm.jpg,1,8.5,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303167-5,1,,
