"12X26""Hanging Cedar Leaf Spray",3009-5,(All) Delton Closeouts|40-50% OFF Price|Christmas,,36% OFF,7.99,,,,,4,12.50,,,,,4,delton400,delton160,Item3009-5.jpg.jpg,Item3009-5.jpg.jpg,,,delton800,Item3009-5.jpg.jpg,,
"12X6.3""Rs Dream Rope Sign",4212-0,(All) Delton Closeouts|40-50% OFF Price|Dolls,,36% OFF,4.79,,,,,2,7.50,,,,,2,delton400,delton160,4212-0.jpg,4212-0.jpg,,,delton800,4212-0.jpg,,
"D 8.1""RS GINGERGREAD CHR TREE",5498-0,(All) Delton Closeouts|40-50% OFF Price|Christmas,,36% OFF,3.99,,,,,4,6.30,,,,,4,delton400,delton160,Item5498-0.jpg.jpg,Item5498-0.jpg.jpg,,,delton800,Item5498-0.jpg.jpg,,
6 Cm Zircon Chandelier Earrings,030024-00,(All) Delton Closeouts|40-50% OFF Price|Jewelry|,,37% OFF,10.49,,,,,2,16.75,,,,,2,delton400,delton160,Item030024-00.jpg.jpg,Item030024-00.jpg.jpg,,,delton800,Item030024-00.jpg.jpg,,
Zircon Loop Link Earrings,030034-11,(All) Delton Closeouts|40-50% OFF Price|Jewelry|,,37% OFF,7.99,,,,,2,12.75,,,,,2,delton400,delton160,Item030034-11.jpg.jpg,Item030034-11.jpg.jpg,,,delton800,Item030034-11.jpg.jpg,,
"12.2""Rs Standing Bunny,2 Asst",1052-6,(All) Delton Closeouts|40-50% OFF Price|Bunnies & Easter|,,37% OFF,2.89,,,,,6,4.60,,,,,6,delton400,delton160,Item1052-6.jpg.jpg,Item1052-6.jpg.jpg,,,delton800,Item1052-6.jpg.jpg,,
"14X6.5""Black Bat W/Smile",2155-1,(All) Delton Closeouts|40-50% OFF Price|Halloween,,37% OFF,1.99,,,,,6,3.20,,,,,6,delton400,delton160,2155-1.jpg,2155-1.jpg,,,delton800,2155-1.jpg,,
"11.8-13.8""Wood 2Pc Caddy Set",3080-6,(All) Delton Closeouts|40-50% OFF Price|Everyday Misc.,,37% OFF,16.49,,,,,1,26.40,,,,,1,delton400,delton160,Item3080-6.jpg.jpg,Item3080-6.jpg.jpg,,,delton800,Item3080-6.jpg.jpg,,
"12X6""GREEN/CARMINE JEWELRY ROLL, 4 ASST",6112-4,(All) Delton Closeouts|40-50% OFF Price|Everyday Misc.,,37% OFF,2.95,,,,,8,4.75,,,,,8,delton400,delton160,6112-4.jpg,6112-4.jpg,,,delton800,6112-4.jpg,,
"12X6""PINK/PURPLE JEWELRY ROLL, 4 ASST",6112-6,(All) Delton Closeouts|40-50% OFF Price|Everyday Misc.,,37% OFF,2.95,,,,,8,4.75,,,,,8,delton400,delton160,6112-6.jpg,6112-6.jpg,,,delton800,6112-6.jpg,,
"9""Sitting Polka Dot Cat, Pink",4114-9,(All) Delton Closeouts|40-50% OFF Price|Cats & Dogs,,38% OFF,3.99,,,,,3,6.50,,,,,3,delton400,delton160,Item4114-9.jpg.jpg,Item4114-9.jpg.jpg,,,delton800,Item4114-9.jpg.jpg,,
"Z 10.3X8""Hg Cty Message Brd,3A",6117-6,(All) Delton Closeouts|40-50% OFF Price|Everyday Misc.,,38% OFF,2.29,,,,,6,3.75,,,,,6,delton400,delton160,6117-6.jpg,6117-6.jpg,,,delton800,6117-6.jpg,,
"8X12""Pine Cone Basket W/Berry",3009-1,(All) Delton Closeouts|40-50% OFF Price|Dolls,,39% OFF,4.99,,,,,6,8.30,,,,,6,delton400,delton160,Item3009-1.jpg.jpg,Item3009-1.jpg.jpg,,,delton800,Item3009-1.jpg.jpg,,
"5.3-6.3""Metal 2Pcs Basket Set",3078-6,(All) Delton Closeouts|40-50% OFF Price|Everyday Misc.,,39% OFF,5.49,,,,,2,9.00,,,,,2,delton400,delton160,3078-6.jpg,3078-6.jpg,,,delton800,3078-6.jpg,,
"9.8""STANDING COUNTRY SHEEP",4007-0,(All) Delton Closeouts|40-50% OFF Price|Everyday Misc.,,39% OFF,2.89,,,,,2,4.75,,,,,2,delton400,delton160,4007-0.jpg,4007-0.jpg,,,delton800,4007-0.jpg,,
"9.8""STANDING COUNTRY COW",4007-2,(All) Delton Closeouts|40-50% OFF Price|Everyday Misc.,,39% OFF,2.89,,,,,2,4.75,,,,,2,delton400,delton160,4007-2.jpg,4007-2.jpg,,,delton800,4007-2.jpg,,
"9.8""STANDING COUNTRY CHICKEN",4007-8,(All) Delton Closeouts|40-50% OFF Price|Everyday Misc.,,39% OFF,2.89,,,,,2,4.75,,,,,2,delton400,delton160,4007-8.jpg,4007-8.jpg,,,delton800,4007-8.jpg,,
"20""Victorian Cats, 2 Asst",4103-0,(All) Delton Closeouts|40-50% OFF Price|Dolls,,39% OFF,5.49,,,,,4,9.00,,,,,4,delton400,delton160,Item4103-0.jpg.jpg,Item4103-0.jpg.jpg,,,delton800,Item4103-0.jpg.jpg,,
"6.5""Rs Girl Sneaker Bank,3Asst",4110-4,(All) Delton Closeouts|40-50% OFF Price|Dolls,,39% OFF,1.79,,,,,6,2.95,,,,,6,delton400,delton160,Item4110-4.jpg.jpg,Item4110-4.jpg.jpg,,,delton800,Item4110-4.jpg.jpg,,
"8.3""Hng Wht Angel W/Star,2Asst",4232-1,(All) Delton Closeouts|40-50% OFF Price|Cats & Dogs,,39% OFF,1.49,,,,,12,2.45,,,,,12,delton400,delton160,4232-1.jpg,4232-1.jpg,,,delton800,4232-1.jpg,,
"D20""STG RG STRIPE SNOWMAN,2AST",5460-4,(All) Delton Closeouts|40-50% OFF Price|Christmas,,39% OFF,6.99,,,,,6,11.50,,,,,6,delton400,delton160,Item5460-4.jpg.jpg,Item5460-4.jpg.jpg,,,delton800,Item5460-4.jpg.jpg,,
"D3.5""RS HOLLY ANGEL GIRLS,3AST",5494-6,(All) Delton Closeouts|40-50% OFF Price|Christmas,,39% OFF,1.99,,,,,6,3.30,,,,,6,delton400,delton160,Item5494-6.jpg.jpg,Item5494-6.jpg.jpg,,,delton800,Item5494-6.jpg.jpg,,
"Z 10""BOBBLE STYLE DOLLS,3 ASST",7247-0,(All) Delton Closeouts|40-50% OFF Price|Porcelain Dolls,,39% OFF,4.69,,,,,6,7.75,,,,,6,delton400,delton160,Item7247-0.jpg.jpg,Item7247-0.jpg.jpg,,,delton800,Item7247-0.jpg.jpg,,
"14""Pr'L Velvet Dress Doll,Prpl",7258-1,(All) Delton Closeouts|40-50% OFF Price|Porcelain Dolls,,39% OFF,10.99,,,,,2,18.25,,,,,2,delton400,delton160,Item7258-1.jpg.jpg,Item7258-1.jpg.jpg,,,delton800,Item7258-1.jpg.jpg,,
"6.9X4.7""Rs Football Helmets,2A",3074-9,(All) Delton Closeouts|40-50% OFF Price|Everyday Misc.,,40% OFF,5.99,,,,,4,10.15,,,,,4,delton400,delton160,3074-9.jpg,3074-9.jpg,,,delton800,3074-9.jpg,,
"6""Stripe Pj Chr Ornmts,2 Asst",5455-3,(All) Delton Closeouts|40-50% OFF Price|Christmas,,40% OFF,1.49,,,,,12,2.50,,,,,12,delton400,delton160,5455-3.jpg,5455-3.jpg,,,delton800,5455-3.jpg,,
"3.5X5.5""Rs Skiing Moose,2 Asst",5489-2,(All) Delton Closeouts|40-50% OFF Price|Christmas,,40% OFF,2.49,,,,,8,4.20,,,,,8,delton400,delton160,5489-2.jpg,5489-2.jpg,,,delton800,5489-2.jpg,,
"D 4X4.8""RS LED SANTA SCENE",5492-4,(All) Delton Closeouts|40-50% OFF Price|Christmas,,40% OFF,3.29,,,,,4,5.50,,,,,4,delton400,delton160,Item5492-4.jpg.jpg,Item5492-4.jpg.jpg,,,delton800,Item5492-4.jpg.jpg,,
"D9.3""RS ZIGZG BIRCH TREE W/BRD",5503-2,(All) Delton Closeouts|40-50% OFF Price|Christmas,,40% OFF,3.89,,,,,4,6.50,,,,,4,delton400,delton160,Item5503-2.jpg.jpg,Item5503-2.jpg.jpg,,,delton800,Item5503-2.jpg.jpg,,
