"HOOK ""8"" (48/cs)",FW1780,All Vip Int. Closeouts,,Closeout Price,1.192,,,,,12,2.98,,,,,12,VIP400,VIP160,FW1780_lg.jpg,FW1780_lg.jpg,,,VIP800,FW1780_lg.jpg,,
CERAMIC PLATE W/CUPCAKE (30/cs),MT1597,All Vip Int. Closeouts,,Closeout Price,1.592,,,7 x 31 x 8,,8,3.98,,,,,8,VIP400,VIP160,MT1597_lg.jpg,MT1597_lg.jpg,,,VIP800,MT1597_lg.jpg,,
MTL. WALL WINE RACK (16/cs),FW1655,All Vip Int. Closeouts,,Closeout Price,3.992,,,18 x 11 x 18,,4,9.98,,,,,4,VIP400,VIP160,FW1655_lg.jpg,FW1655_lg.jpg,,,VIP800,FW1655_lg.jpg,,
MTL. FRAME ROD COLLARED 3'  (8/cs),FH1464,All Vip Int. Closeouts,,Closeout Price,4.392,,,37.75 x 7.5 x 4,,2,10.98,,,,,2,VIP400,VIP160,FH1464_lg.jpg,FH1464_lg.jpg,,,VIP800,FH1464_lg.jpg,,
8X10 FRAME - CHOCOLATE  (6/cs),MT1026,All Vip Int. Closeouts,,Closeout Price,4.392,,,18.5 x 16 x 7,,2,10.98,,,,,2,VIP400,VIP160,MT1026_lg.jpg,MT1026_lg.jpg,,,VIP800,MT1026_lg.jpg,,
"WD. ""FAIRYTALE"" TAG (6/cs)",MT1717,All Vip Int. Closeouts,,Closeout Price,4.392,,,23.75 x 13.75 x 6.75,,2,10.98,,,,,2,VIP400,VIP160,MT1717_lg.jpg,MT1717_lg.jpg,,,VIP800,MT1717_lg.jpg,,
"WD.5"" HEART TAGS WITH ROPE SET/6  (40 sets/cs)",FZ1066,All Vip Int. Closeouts,,Closeout Price,5.592,,,12 x 12 x 14.5,,2,13.98,,,,,2,VIP400,VIP160,FZ1066_lg.jpg,FZ1066_lg.jpg,,,VIP800,FZ1066_lg.jpg,,
MTL. BOTTLE CAP 'LOVELY' RED (8/cs),MT1823,All Vip Int. Closeouts,,Closeout Price,6.392,,,18 x 18 x 18,,2,15.98,,,,,2,VIP400,VIP160,MT1823_lg.jpg,MT1823_lg.jpg,,,VIP800,MT1823_lg.jpg,,
MTL. PICTURE HLDR SM. (8/cs),MT2587,All Vip Int. Closeouts,,Closeout Price,6.792,,,14.2 x 9.4 x 18,,2,16.98,,,,,2,VIP400,VIP160,MT2587_lg.jpg,MT2587_lg.jpg,,,VIP800,MT2587_lg.jpg,,
"WD SIGN ""HOME"" (12/cs)",MT2851,All Vip Int. Closeouts,,Closeout Price,7.592,,,25 x 14 x 14,,2,18.98,,,,,2,VIP400,VIP160,MT2851_lg.jpg,MT2851_lg.jpg,,,VIP800,MT2851_lg.jpg,,
MTL. 3 PLATE RACK VERT. ,FH1134,All Vip Int. Closeouts,,Closeout Price,8.792,,,,,2,21.98,,,,,2,VIP400,VIP160,FH1134_lg.jpg,FH1134_lg.jpg,,,VIP800,FH1134_lg.jpg,,
CI. PIG BOOKEND SET (4 sets/cs),FW1836,All Vip Int. Closeouts,,Closeout Price,8.792,,,,,2,21.98,,,,,2,VIP400,VIP160,FW1836_lg.jpg,FW1836_lg.jpg,,,VIP800,FW1836_lg.jpg,,
MTL. RHOMBUS SHAPED DECOR SET/3 (4 sets/cs),BY1111,All Vip Int. Closeouts,,Closeout Price,10.392,,,,,2,25.98,,,,,2,VIP400,VIP160,BY1111_lg.jpg,BY1111_lg.jpg,,,VIP800,BY1111_lg.jpg,,
MTL. RND. TOP BOXES SET/2 (2/cs),FH1700,All Vip Int. Closeouts,,Closeout Price,11.992,,,15 x 15.4 x 7.9,,2,29.98,,,,,2,VIP400,VIP160,FH1700_lg.jpg,FH1700_lg.jpg,,,VIP800,FH1700_lg.jpg,,
WD. HOME SIGN (4/cs),MT1777,All Vip Int. Closeouts,,Closeout Price,11.992,,,29 x 70 x 29,,2,29.98,,,,,2,VIP400,VIP160,MT1777_lg.jpg,MT1777_lg.jpg,,,VIP800,MT1777_lg.jpg,,
"MTL. SIGN ""MAIN STREET"" (6/cs)",MT2560,All Vip Int. Closeouts,,Closeout Price,11.992,,,9.65 x 4.72 x 43.11,,2,29.98,,,,,2,VIP400,VIP160,MT2560_lg.jpg,MT2560_lg.jpg,,,VIP800,MT2560_lg.jpg,,
"MTL. SIGN ""SUPER MARKET"" (6/cs)",MT2606,All Vip Int. Closeouts,,Closeout Price,13.992,,,43.1 x 11.4 x 4.7,,2,34.98,,,,,2,VIP400,VIP160,MT2606_lg.jpg,MT2606_lg.jpg,,,VIP800,MT2606_lg.jpg,,
MTL. TABLE CLOCK (4/cs),MT2776,All Vip Int. Closeouts,,Closeout Price,15.592,,,21 x 18 x 20,,2,38.98,,,,,2,VIP400,VIP160,MT2776_lg.jpg,MT2776_lg.jpg,,,VIP800,MT2776_lg.jpg,,
WD. B/W WALL ART   (4/CS),MT1441,All Vip Int. Closeouts,,Closeout Price,15.992,,,26.5 x 32 x 8,,2,39.98,,,,,2,VIP400,VIP160,MT1441_lg.jpg,MT1441_lg.jpg,,,VIP800,MT1441_lg.jpg,,
MTL. WALL MOUNT POT RACK (1/cs),FW1536,All Vip Int. Closeouts,,Closeout Price,23.992,,,13.5 x 36.5 x 2,,2,59.98,,,,,2,VIP400,VIP160,FW1536_lg.jpg,FW1536_lg.jpg,,,VIP800,FW1536_lg.jpg,,
"MTL. NEON ""SERVICE"" SIGN (1/cs)",MT2608,All Vip Int. Closeouts,,Closeout Price,69.992,,,14.6 x 35.4 x 9,,2,174.98,,,,,2,VIP400,VIP160,MT2608_lg.jpg,MT2608_lg.jpg,,,VIP800,MT2608_lg.jpg,,
MTL. SHELF (1/cs),IH1217,All Vip Int. Closeouts,,Closeout Price,84.392,,,30.7 x 66.1 x 4.3,,2,210.98,,,,,2,VIP400,VIP160,IH1217_lg.jpg,IH1217_lg.jpg,,,VIP800,IH1217_lg.jpg,,
SHELF (1/cs),EA1556,All Vip Int. Closeouts,,Closeout Price,166.392,,,7 x 53 x 51,,2,415.98,,,,,2,VIP400,VIP160,EA1556_lg.jpg,EA1556_lg.jpg,,,VIP800,EA1556_lg.jpg,,
"MTL. EASEL 8"" (24/cs)",FH1139,All Vip Int. Closeouts,,Closeout Price,1.192,,,8 x 17 x 14,,12,2.98,,,,,12,VIP400,VIP160,FH1139_lg.jpg,FH1139_lg.jpg,,,VIP800,FH1139_lg.jpg,,
,MC1017,All Vip Int. Closeouts,,Closeout Price,4.49,,,,,4,8.98,,,,,,VIP400,VIP160,MC1017_lg.jpg,MC1017_lg.jpg,,,VIP800,MC1017_lg.jpg,,
|MTL. BON APPETIT SIGN  (16/cs)|,MT1878,All Vip Int. Closeouts,,Closeout Price,4.49,,,,,4,8.98,,,,,,VIP400,VIP160,MT1878_lg.jpg,MT1878_lg.jpg,,,VIP800,MT1878_lg.jpg,,
"WD. SIGN ""EAT"" (16/cs)",MT2432,All Vip Int. Closeouts,,Closeout Price,4.792,,,8 x 14.5 x 23.5,,2,11.98,,,,,2,VIP400,VIP160,MT2432_lg.jpg,MT2432_lg.jpg,,,VIP800,MT2432_lg.jpg,,
MTL. FRAME ROD FANCY 3',FH1462,All Vip Int. Closeouts,,Closeout Price,5.192,,,37 x 10 x 6,,2,12.98,,,,,2,VIP400,VIP160,FH1462_lg.jpg,FH1462_lg.jpg,,,VIP800,FH1462_lg.jpg,,
|BARNWOOD PICTURE FRAME (12/cs)|,IH1104,All Vip Int. Closeouts,,Closeout Price,6.49,,,,,2,12.98,,,,,,VIP400,VIP160,IH1104_lg.jpg,IH1104_lg.jpg,,,VIP800,IH1104_lg.jpg,,
