Christmas Advent Calendar-Paper-ABC's of Christmas,12501,(All) Lighthouse Products|Christmas,"ABC's of Christmas Advent calendar, each letter leads you verse-by-verse to Christ's birth.",,,,,"12"" x 12""",,12,3,,,,,12,Lighthouse400,Lighthouse160,12501.jpg,12501.jpg,Paper  -  Scripture Reference: Various,,Lighthouse800,12501.jpg,
Christmas Ornament-Glass-Clear/White-Heart-Reflecting God's Love-Jesus,12571,(All) Lighthouse Products|Christmas,"Clear front with title, printed Scripture inside, glitter back, ribbon to hang",,,,,"3 1/2"" x 3 1/2""",,3,5,,,,,3,Lighthouse400,Lighthouse160,12571.jpg,12571.jpg,Glass  -  Scripture Reference: Luke 2:10-11,,Lighthouse800,12571.jpg,
Christmas Ornament-Glass-Clear/White-Heart-Reflecting God's Love-Believe,12572,(All) Lighthouse Products|Christmas,"Clear front with title, printed Scripture inside, glitter back, ribbon to hang",,,,,"3 1/2"" x 3 1/2""",,3,5,,,,,3,Lighthouse400,Lighthouse160,12572.jpg,12572.jpg,Glass  -  Scripture Reference: John 3:16,,Lighthouse800,12572.jpg,
Christmas Ornament-Glass-Clear/White-Heart-Reflecting God's Love-Hope,12573,(All) Lighthouse Products|Christmas,"Clear front with title, printed Scripture inside, glitter back, ribbon to hang",,,,,"3 1/2"" x 3 1/2""",,3,5,,,,,3,Lighthouse400,Lighthouse160,12573.jpg,12573.jpg,Glass  -  Scripture Reference: Rom 15:13,,Lighthouse800,12573.jpg,
Christmas Ornament-Glass-Clear/White-Heart-Reflecting God's Love-Peace,12574,(All) Lighthouse Products|Christmas,"Clear front with title, printed Scripture inside, glitter back, ribbon to hang",,,,,"3 1/2"" x 3 1/2""",,3,5,,,,,3,Lighthouse400,Lighthouse160,12574.jpg,12574.jpg,Glass  -  Scripture Reference: Isaiah 9:6,,Lighthouse800,12574.jpg,
Christmas Ornament-Metal-Carol-Hark The Harold Angels Sing,12614,(All) Lighthouse Products|Christmas,,,,,,"Product Size: 5"" x 5""",,3,4,,,,,3,Lighthouse400,Lighthouse160,12614.jpg,12614.jpg,Verse: Luke 2:13-14,,Lighthouse800,12614.jpg,
Photo Ornament-Ceramic-For This Child I Prayed,12880,(All) Lighthouse Products|Christmas,,,,,,"Product Size: 3"" x 3 1/2""",,3,5.995,,,,,3,Lighthouse400,Lighthouse160,12880.jpg,12880.jpg,Verse: 1 Samuel 1:27,,Lighthouse800,12880.jpg,
Christmas Silhouette-MDF-Angel-Good News,12333,(All) Lighthouse Products|Christmas,"Printed image and Scripture, metallic details, glitter highlights, stand.",,,,,"Product Size: 17 1/2"" x 20 1/4""",,1,19.995,,,,,1,Lighthouse400,Lighthouse160,12333.jpg,12333.jpg,MDF  -  Scripture Reference: Luke 2:10,,Lighthouse800,12333.jpg,
Christmas Silhouette-MDF-Angel-Glory to God,12334,(All) Lighthouse Products|Christmas,"Printed image and Scripture, metallic details, glitter highlights, stand.",,,,,"Product Size: 12"" x 17 1/2""",,1,17.495,,,,,1,Lighthouse400,Lighthouse160,12334.jpg,12334.jpg,MDF  -  Scripture Reference: Luke 2:14,,Lighthouse800,12334.jpg,
Christmas Cross-Sculpture-Wall/Desktop-Resin-Away In A Manger,12695,(All) Lighthouse Products|Christmas,"Engraved Scripture, velvet easel back with wall-hanging option.",,,,,"Product Size: 10"" x 6 3/4""",,1,12.495,,,,,1,Lighthouse400,Lighthouse160,12695.jpg,12695.jpg,Resin  -  Scripture Reference: Luke 2:10-11,,Lighthouse800,12695.jpg,
Christmas Cross-Desktop-Small-Resin-A Savior Is Born,12697,(All) Lighthouse Products|Christmas,"Engraved Scripture, velvet easel back with wall-hanging option.",,,,,"Product Size: 6 1/2"" x 4 1/4""",,1,4.995,,,,,1,Lighthouse400,Lighthouse160,12697.jpg,12697.jpg,Resin  -  Scripture Reference: Luke 2:11,,Lighthouse800,12697.jpg,
Christmas Cookie Cutter Set-Metal-Flat Pkg-Nativity Story Shapes w/Devotional Booklet,77323,(All) Lighthouse Products|Christmas,"Twelve cookie cutters in nativity story shapes, devotional notes that talk about the meaning of each cutter, cookie recipe included.",,,,,,,1,8.495,,,,,1,Lighthouse400,Lighthouse160,77323.jpg,77323.jpg,Stailness steel  -  Scripture Reference: Various,,Lighthouse800,77323.jpg,
