TRIPLE RING SPHERE - BRASS,2122-14,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns|Cast Metal Material,"A collection of intriguing sculptural forms, some primitive some contemporary and all sure to add visual intrigue to a bookshelf or side table. Cast of aluminum and plated in brass or bronze.",In stock,26.3,,,"length: 10.75 in
width: 10.75 in
height: 10.75 in
cube: 0.00 cbm
weight: 2.40 lb
size (us): 9.5"" diameter
material: cast metal",,1,35,,,,,1,HomArt400,HomArt160,2122-14.jpg,2122-14.jpg,,,HomArt800,2122-14.jpg
"HANS BOX, NICKEL - LRG",2180-18,(All) HomArt Products|(Sale) September Markdowns|Cast Metal Material,These origami-esque boxes offer a dual purpose of exquisite form and fine function. Cast of aluminum and plated in nickel.,In stock,15.8,,,"length: 8 in
width: 8 in
height: 3 in
weight: 2 lb
material: nickel",,2,21,,,,,2,HomArt400,HomArt160,2180-18.jpg,2180-18.jpg,,,HomArt800,2180-18.jpg
LIV FACETED VASE - NICKEL,2316-14,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns|Cast Metal Material,Our Faceted Liv Metal Vases fuse the decadent architectural vibe of the 1930s with a clean-lined modern feel. Nickel plated cast aluminum offers just the right amount of shine.,In stock,9.8,,,"length: 2.50 in
width: 3 in
height: 6.75 in
cube: 0.00 cbm
weight: 1.30 lb
size (us): 2.5x3x6.75
material: cast metal",,2,13,,,,,2,HomArt400,HomArt160,2316-14.jpg,2316-14.jpg,,,HomArt800,2316-14.jpg
LIV FACETED VASE - BRONZE,2317-19,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns|Cast Metal Material,Our Faceted Liv Metal Vases fuse the decadent architectural vibe of the 1930s with a clean-lined modern feel. Bronze plated cast aluminum.,In stock,10.5,,,"length: 4 in
width: 3.50 in
height: 5.75 in
cube: 0.00 cbm
weight: 1 lb
size (us): 4x4x5.5
material: cast metal",,2,14,,,,,2,HomArt400,HomArt160,2317-19.jpg,2317-19.jpg,,,HomArt800,2317-19.jpg
LIV FACETED VASE - BRASS,2318-14,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns|Cast Metal Material,Our Faceted Liv Metal Vases fuse the decadent architectural vibe of the 1930s with a clean-lined modern feel. Brass plated cast aluminum offers just the right amount of shine.,In stock,9.4,,,"length: 4.25 in
width: 4.25 in
height: 4.50 in
cube: 0.00 cbm
weight: 1 lb
size (us): 4.25x4.25x4.5
material: cast metal",,2,12.5,,,,,2,HomArt400,HomArt160,2318-14.jpg,2318-14.jpg,,,HomArt800,2318-14.jpg
"Perry Organic Oval Bowl, Nickel - Sm",2398-5,(All) HomArt Products|(Sale) September Markdowns|Cast Metal Material|Urban,Cast of aluminum and plated in nickel the organic shape of this low oval bowl is fit to flaunt anything from ornamental objects to fanciful fruit.,In stock,13.5,,,12.0 x 8.0 x 2.0,,2,18,,,,,2,HomArt400,HomArt160,2398-5.jpg,2398-5.jpg,6.46964E+11,,HomArt800,2398-5.jpg
"Perry Organic Oval Bowl, Nickel - Lrg",2399-5,(All) HomArt Products|(Sale) September Markdowns|Cast Metal Material|Urban,Cast of aluminum and plated in nickel the organic shape of this low oval bowl is fit to flaunt anything from ornamental objects to fanciful fruit.,In stock,16.5,,,13.0 x 10.0 x 1.5,,2,22,,,,,2,HomArt400,HomArt160,2399-5.jpg,2399-5.jpg,6.46964E+11,,HomArt800,2399-5.jpg
"Croft Vase, Brass - Sm",2400-14,(All) HomArt Products|(Sale) September Markdowns|Cast Metal Material|Urban,"A modern shape with a slight crumple for texture, this vase make a modern statement whether left unadorned or displaying a simple bouquet or stem. Cast of aluminum and plated in brass.",In stock,16.5,,,5.5 x 4.0 x 4.0,,2,22,,,,,2,HomArt400,HomArt160,2400-14.jpg,2400-14.jpg,6.46964E+11,,HomArt800,2400-14.jpg
"Croft Vase, Brass - Med",2401-14,(All) HomArt Products|(Sale) September Markdowns|Cast Metal Material|Urban,"A modern shape with a slight crumple for texture, this vase make a modern statement whether left unadorned or displaying a simple bouquet or stem. Cast of aluminum and plated in brass.",In stock,21,,,6.0 x 5.0 x 5.0,,2,28,,,,,2,HomArt400,HomArt160,2401-14.jpg,2401-14.jpg,6.46964E+11,,HomArt800,2401-14.jpg
"Croft Vase, Brass - Lrg",2402-14,(All) HomArt Products|(Sale) September Markdowns|Cast Metal Material|Urban,"A modern shape with a slight crumple for texture, this vase make a modern statement whether left unadorned or displaying a simple bouquet or stem. Cast of aluminum and plated in brass.",In stock,27,,,8.5 x 6.0 x 6.0,,2,36,,,,,2,HomArt400,HomArt160,2402-14.jpg,2402-14.jpg,6.46964E+11,,HomArt800,2402-14.jpg
