Faux Pine Dangle Garland,C15047,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),5,,,50in x 72in x 1in,,4,10,8,8,24,6,4,specialtimports400,specialtimports160,C15047.JPG,C15047.JPG,,,specialtimports800,C15047.JPG
Sm. Shiny Galvanized Bow,C17331,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),4.75,,,17.5in x 15in x 3in,,2,9.5,6,7.6,24,5.7,2,specialtimports400,specialtimports160,C17331.JPG,C17331.JPG,,,specialtimports800,C17331.JPG
Lg. Shiny Galvanized Bow,C17332,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),6.25,,,18.5in x 20in x 4in,,2,12.5,6,10,24,7.5,2,specialtimports400,specialtimports160,C17332.JPG,C17332.JPG,,,specialtimports800,C17332.JPG
Cer Snwmn S/P S/2,C17391,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),1.25,2,,3.5in x 1.5in x 1.5in,,12,2.5,24,2,72,1.5,12,specialtimports400,specialtimports160,C17391.JPG,C17391.JPG,,,specialtimports800,C17391.JPG
Cer Christmas Tree S/P S/2,C17405,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),1.25,2,,,,12,2.5,24,2,72,1.5,12,specialtimports400,specialtimports160,C17405.jpg,C17405.jpg,,,specialtimports800,C17405.jpg
Resin Mini Nativity 2 Asst.,C17575,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),2,,,4in x 4.25in x 2in,,8,4,16,3.2,48,2.4,8,specialtimports400,specialtimports160,C17575.JPG,C17575.JPG,,,specialtimports800,C17575.JPG
Resin Dog w/Santa Hat Orn. 6Asst,C17629,(All) Special T Imports View|50% OFF Closeouts|Christmas|Ornaments|Santas and Snowmen,,In stock & shipping (checked Jul 02),1.25,,,4in x 2.25in x 3in,,12,2.5,36,2,144,1.5,12,specialtimports400,specialtimports160,C17629.JPG,C17629.JPG,,,specialtimports800,C17629.JPG
Resin Cat w/Santa Hat Orn.. 4 Asst.,C17630,(All) Special T Imports View|50% OFF Closeouts|Christmas|Ornaments|Santas and Snowmen,,In stock & shipping (checked Jul 02),1.25,,,3.5in x 3in x 3in,,12,2.5,36,2,144,1.5,12,specialtimports400,specialtimports160,C17630.JPG,C17630.JPG,,,specialtimports800,C17630.JPG
LED Acrylic Mini Candy Cane 10 lights,C18019,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),3,,,1in x 56in x 0.25in,,6,6,12,4.8,48,3.6,6,specialtimports400,specialtimports160,C18019.jpg,C18019.jpg,,,specialtimports800,C18019.jpg
Plush Forest Owl Button Legs Shelf Sitter 2 Asst,C18032,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),4,,,11in x 8in x 3in,,4,8,8,6.4,36,4.8,4,specialtimports400,specialtimports160,C18032.jpg,C18032.jpg,,,specialtimports800,C18032.jpg
Sm Resin Melting Snowman 4 Asst,C18063,(All) Special T Imports View|50% OFF Closeouts|Christmas|Santas and Snowmen,,In stock & shipping (checked Jul 02),1.75,,,3.5in x 4in x 2.5in,,4,3.5,16,2.8,64,2.1,4,specialtimports400,specialtimports160,C18063.jpg,C18063.jpg,,,specialtimports800,C18063.jpg
Resin Snowman Pine Shelfsitter 3 Asst,C18075,(All) Special T Imports View|50% OFF Closeouts|Christmas|Santas and Snowmen,,In stock & shipping (checked Jul 02),2,,,7in x 2.75in x 2.25in,,6,4,18,3.2,72,2.4,6,specialtimports400,specialtimports160,C18075.jpg,C18075.jpg,,,specialtimports800,C18075.jpg
Resin Snowman Woodsy Shelfsitter 3 Asst,C18083,(All) Special T Imports View|50% OFF Closeouts|Christmas|Santas and Snowmen,,In stock & shipping (checked Jul 02),2,,,4.75in x 3in x 2.25in,,6,4,18,3.2,54,2.4,6,specialtimports400,specialtimports160,C18083.jpg,C18083.jpg,,,specialtimports800,C18083.jpg
Resin Owl Shelfsitter 3 Asst,C18094,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),1.75,,,3.75in x 3in x 2.5in,,12,3.5,24,2.8,72,2.1,12,specialtimports400,specialtimports160,C18094.jpg,C18094.jpg,,,specialtimports800,C18094.jpg
Resin Holiday Birds On Branch 2 Asst,C18110,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),3.25,,,3.5in x 7.5in x 3in,,4,6.5,12,5.2,48,3.9,4,specialtimports400,specialtimports160,C18110.jpg,C18110.jpg,,,specialtimports800,C18110.jpg
Resin Holiday Birds on Mailbox 2 Asst,C18112,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),4.75,,,9.25in x 4.25in x 3in,,2,9.5,8,7.6,32,5.7,2,specialtimports400,specialtimports160,C18112.jpg,C18112.jpg,,,specialtimports800,C18112.jpg
Resin Cardinal Musical 4 Asst,C18118,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),2,,,5in x 3.25in x 2.25in,,4,4,16,3.2,64,2.4,4,specialtimports400,specialtimports160,C18118.jpg,C18118.jpg,,,specialtimports800,C18118.jpg
Sm Resin LED House Orn 4 Asst,C18129,(All) Special T Imports View|50% OFF Closeouts|Christmas,,In stock & shipping (checked Jul 02),1.75,,,3.25in x 2.25in x 2.25in,,12,3.5,24,2.8,108,2.1,12,specialtimports400,specialtimports160,C18129.jpg,C18129.jpg,,,specialtimports800,C18129.jpg
