PILLOW VASE,70101,Black on Black - Native,Black on Black - A contemporary rendition inspired by the classic Santa Clara pottery.,,,,,11 x 4 x 11 in,,1,43.00,,,,,1,cedarmesa400,cedarmesa160,70101.jpg,70101.jpg,,,cedarmesa800,70101.jpg
6 1/2 Turtle Box,70104,Black on Black - Native,,,,,,,,1,17.50,,,,,1,cedarmesa400,cedarmesa160,70104_l.jpg,70104_l.jpg,,,cedarmesa800,70104_l.jpg
12 Inch Turtle Box,70105,Black on Black - Native,,,,,,,,1,34.00,,,,,1,cedarmesa400,cedarmesa160,70105_l.jpg,70105_l.jpg,,,cedarmesa800,70105_l.jpg
Small Bear       ,70106,Black on Black - Native,"Black on Black Bear Figure - A contemporary rendition inspired by the classic Santa Clara pottery. Learn about the?·<a href=""http://www.cmpottery.com/bear"">Bear Figure</a>.",,,,,5.5 x 2 x 3.5 in,,1,10.50,,,,,1,cedarmesa400,cedarmesa160,70106.jpg,70106.jpg,,,cedarmesa800,70106.jpg
Large Bear       ,70107,Black on Black - Native,"Black on Black Bear Figure - A contemporary rendition inspired by the classic Santa Clara pottery.?·<span>Learn about the?·</span><a href=""http://www.cmpottery.com/bear"">Bear Figure</a><span>.</span>",,,,,12 x 2.5 x 7.5 in,,1,28.00,,,,,1,cedarmesa400,cedarmesa160,70107.jpg,70107.jpg,,,cedarmesa800,70107.jpg
3 1/2 x 6 Bud Vase,70108,Black on Black - Native,,,,,,,,1,11.00,,,,,1,cedarmesa400,cedarmesa160,70108_l.jpg,70108_l.jpg,,,cedarmesa800,70108_l.jpg
19 Inch Coyote,70120,Black on Black - Native,,,,,,,,1,44.00,,,,,1,cedarmesa400,cedarmesa160,70120_l.jpg,70120_l.jpg,,,cedarmesa800,70120_l.jpg
SEED BOWL,69007,Calling the Spirits,<span>For more than a thousand years the flute has provided the Native Americans a beautiful way to communicate through music. The artists at Cedar Mesa Pottery are proud to bring you their tribute to the flute.</span></p>,,,,,5.5 x 5.5 x 4.5 in,,1,14.00,,,,,1,cedarmesa400,cedarmesa160,69007.jpg,69007.jpg,,,cedarmesa800,69007.jpg
WESTWATER VASE,69015,Calling the Spirits,<span>For more than a thousand years the flute has provided the Native Americans a beautiful way to communicate through music. The artists at Cedar Mesa Pottery are proud to bring you their tribute to the flute.</span></p>,,,,,4 x 4 x 5.5 in,,1,14.00,,,,,1,cedarmesa400,cedarmesa160,69015.jpg,69015.jpg,,,cedarmesa800,69015.jpg
BRUSHY BASIN JAR,69021,Calling the Spirits,<span>For more than a thousand years the flute has provided the Native Americans a beautiful way to communicate through music. The artists at Cedar Mesa Pottery are proud to bring you their tribute to the flute.</span></p>,,,,,4.5 x 4.5 x 5.5 in,,1,14.00,,,,,1,cedarmesa400,cedarmesa160,69021.jpg,69021.jpg,,,cedarmesa800,69021.jpg
WEDDING VASE,69025,Calling the Spirits,<p>Wedding Vases are not glazed.</p></div>,,,,,5.5 x 5 x 8 in,,1,24.00,,,,,1,cedarmesa400,cedarmesa160,69025.jpg,69025.jpg,,,cedarmesa800,69025.jpg
BALL VASE,69031,Calling the Spirits,<span>For more than a thousand years the flute has provided the Native Americans a beautiful way to communicate through music. The artists at Cedar Mesa Pottery are proud to bring you their tribute to the flute.</span></p>,,,,,4.5 x 4.5 x 7.5 in,,1,15.00,,,,,1,cedarmesa400,cedarmesa160,69031.jpg,69031.jpg,,,cedarmesa800,69031.jpg
Ginger Jar,69033,Calling the Spirits,"<span>For more than a thousand years the flute has provided the Native Americans a beautiful way to communicate through music.?·</span><span>This story is of the shaman isolating himself in the mountains to communicate with the spirits of the animals, asking for their assistance for his people.</span></p>",,,,,6 x 6 x 10 in,,1,27.00,,,,,1,cedarmesa400,cedarmesa160,69033.jpg,69033.jpg,,,cedarmesa800,69033.jpg
