"16"" Amber Forest Wreath",166072,(All) Fall|Wreath,"Bursting with a bounty of preserved maple leaves in an exuberant amber color, our handcrafted wreath celebrates the season. It’s a warm welcome to your home, hung on a door, above a buffet or in your favorite nook. In addition to the maple leaves, clusters of flax, acorns and pine cones are displayed on the woven base. A loop of cream ribbon makes hanging so simple.",,,,,"16"" x 16"" x 3""",,3,25.2,,,,,3,FT400,FT160,166072.jpg,166072.jpg,,,FT800,166072.jpg,,,
"18"" Amber Forest Wreath",186072,(All) Fall|Wreath,"Designed with a bounty of preserved maple leaves in an exuberant amber color, our 18"" handcrafted wreath celebrates the season with style. It’s a warm welcome to your home, hung on a door or wall. Clusters of flax, acorns and pine cones are lavishly displayed on the woven base. Arrives ready to hang.",,,,,"18"" x 18"" x 4""",,3,28.8,,,,,3,FT400,FT160,186072.jpg,186072.jpg,,,FT800,186072.jpg,,,
"22"" Amber Forest Wreath",226072,(All) Fall|Wreath,"This wreath is celebrates the season with a bounty of preserved maple leaves in an exuberant amber color. The 22"" handcrafted design is stylish and unexpected. It’s a warm welcome to your home, hung on a door or wall. Clusters of flax, acorns and pine cones are lavishly displayed on the woven base. Arrives ready to hang.",,,,,"22"" x 22"" x 5""",,3,33.6,,,,,3,FT400,FT160,226072.jpg,226072.jpg,,,FT800,226072.jpg,,,
"16"" Artichoke Glow Wreath",168901,(All) Fall|Wreath,Designed with natural artichokes grown at our farm nestled on a bed of preserved maple leaves in a honey yellow color.,,,,,"16"" x 16"" x 4""",,3,22.8,,,,,3,FT400,FT160,168901.jpg,168901.jpg,,,FT800,168901.jpg,,,
"22"" Artichoke Glow Wreath",228901,(All) Fall|Wreath,Designed with natural artichokes grown at our farm nestled on a bed of preserved maple leaves in a honey yellow color.,,,,,"22"" x  22"" x 4""",,3,33.6,,,,,3,FT400,FT160,228901.jpg,228901.jpg,,,FT800,228901.jpg,,,
Gold Artichoke Bowl Filler,051286,(All) Fall,"Easy-to-arrange in bowl or basket, our preserved artichokes have been brushed with a touch of gold. Perfect to design a low-lying centerpiece or for holiday decorating.",,,,,"11"" x 5""",,4,10.8,,,,,4,FT400,FT160,051286.jpg,051286.jpg,,,FT800,051286.jpg,,,
Copper Artichoke Bowl Filler,050307,(All) Fall,"Easy-to-arrange in bowl or basket, our natural artichokes have been brushed with a touch of copper. Perfect to design a low-lying centerpiece or for holiday decorating.",,,,,"11"" x 5""",,4,10.8,,,,,4,FT400,FT160,050307.jpg,050307.jpg,,,FT800,050307.jpg,,,
Sun kissed Artichoke Bowl Filler,052120,(All) Fall,"Easy-to-arrange in bowl or basket, our bleached artichokes are perfect to design a low-lying centerpiece or for holiday decorating.",,,,,"11"" x 5""",,4,10.8,,,,,4,FT400,FT160,052120.jpg,052120.jpg,,,FT800,052120.jpg,,,
Green Artichoke Bowl Filler,052121,(All) Fall,"Easy-to-arrange in bowl or basket, our preserved artichokes have been brushed with a touch of green. Perfect to design a low-lying centerpiece or for holiday decorating.",,,,,"11"" x 5""",,4,10.8,,,,,4,FT400,FT160,052121.jpg,052121.jpg,,,FT800,052121.jpg,,,
Gold Pinecones and Artichokes Bowl Filler,052122,(All) Fall,"Easy-to-arrange in a glass bowl or woven basket, our preserved artichokes and pine cones have been brushed with a gold sheen. Perfect for wedding or holiday decorating.",,,,,"11"" x 5""",,4,10.8,,,,,4,FT400,FT160,052122.jpg,052122.jpg,,,FT800,052122.jpg,,,
"8"" Artichoke Wreath",105535,(All) Fall|Wreath,Natural sage green colored Artichokes with bay leaf in between each with a raffia bow and hanger.,,,,,"8"" x 8"" x 3""",,3,18,,,,,3,FT400,FT160,105535.jpg,105535.jpg,,,FT800,105535.jpg,,,
"12"" Artichoke Wreath",125535,(All) Fall|Wreath,Natural sage green colored Artichokes with bay leaf in between each with a raffia bow and hanger.,,,,,"12"" x 12"" x 3""",,3,26.4,,,,,3,FT400,FT160,125535.jpg,125535.jpg,,,FT800,125535.jpg,,,
Sunkissed Artichoke Wreath,099680,(All) Fall|Wreath,Sun Kissed Artichokes with corn husk leaves in between each.,,,,,"10"" x 10""x 3""",,3,21.6,,,,,3,FT400,FT160,099680.jpg,099680.jpg,,,FT800,099680.jpg,,,
Sunkissed Artichoke Wreath,139680,(All) Fall|Wreath,Sun Kissed Artichokes with corn husk leaves in between each.,,,,,"12"" x 12"" x 3""",,3,27.6,,,,,3,FT400,FT160,139680.jpg,139680.jpg,,,FT800,139680.jpg,,,
Champagne Artichoke Bowl Filler,059680,(All) Fall,"Easy-to-arrange in a glass bowl or woven basket, our preserved artichokes have been brushed with a champagne sheen. Perfect for wedding or holiday decorating.",,,,,"11"" x 5""",,4,10.8,,,,,4,FT400,FT160,059680.jpg,059680.jpg,,,FT800,059680.jpg,,,
"18"" Autumn Celebration wreath",181138,(All) Fall|Wreath,A divine backdrop of naturally dried salal leaves provides the perfect setting for our preserved treasures. We've hand selected fiery orange strawflowers to cluster around the wreath and then finished the autumn look with a bouquet of wheat trimmed with the sunburst-shaped flowers. We love how it celebrates the season.,,,,,"18 ""x 18 ""x 4""",,3,31.2,,,,,3,FT400,FT160,181138.jpg,181138.jpg,,,FT800,181138.jpg,,,
