Product Name,Item Number,Miscellaneous,Detailed Product Description,Product Summary Overview,Size,minimum_quantity,Unit Price,minimum_quantityP2,tier_2_price,minimum_quantityP3,tier_3_price,multiple_of,Product Images,Quantity,MSRP,Sale Price,Ship Days,Is Active,Brand,Categories,Variations,Section,Sku,isImageAvailable,,
Product Name,Item Number,Miscellaneous,Detailed Product Description,Product Summary Overview,Size,minimum_quantity,Unit Price,minimum_quantityP2,tier_2_price,minimum_quantityP3,tier_3_price,multiple_of,Product Images,Quantity,MSRP,Sale Price,Ship Days,Is Active,Brand,Categories,Variations,Section,Sku,isImageAvailable,,
Twin Solid Black Bed Skirt,OH-104 TS-BL,(All) Market Street Wholesale|Bedding,"Beautifully compliments Country, Cabin, Primitive, and Rustic Decor Styles!
100% Cotton
Measures 39x75x16""
Hand made - High End Quality - Perfectly compliments our Black and Tan Jamestown and Colonial Star Quilt sets. - Designed & Manufactured exclusively by Olivia's Heartland",,,1,15.00,,,,,1,solid_black_bed_skirt_b21e7a32-2331-4d21-b1c3-49e72d18a1c8_1024x1024.jpg,1,30,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871052,1,,
California King Solid Tan Bed Skirt,OH-105 CKS-T,(All) Market Street Wholesale|Bedding,"Beautifully compliments Country, Cabin, Primitive, and Rustic Decor Styles!
100% Cotton
Measures 72x84x16""
Hand made - High End Quality - Perfectly compliments our Burgundy and Tan Jamestown and Colonial Star Quilt sets. - Designed & Manufactured exclusively by Olivia's Heartland",,,1,23.00,,,,,1,solid_tan_bed_skirt_1024x1024.jpg,1,46,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871053,1,,
King Solid Tan Bed Skirt,OH-105 KS-T,(All) Market Street Wholesale|Bedding,"Beautifully compliments Country, Cabin, Primitive, and Rustic Decor Styles!
100% Cotton
Measures 72x80x16""""
Hand made - High End Quality - Perfectly compliments our Burgundy and Tan Jamestown and Colonial Star Quilt sets. - Designed & Manufactured exclusively by Olivia's Heartland",,,1,20.00,,,,,1,solid_tan_bed_skirt_b4828c1f-b652-4cfb-9e4f-8faba9076f5b_1024x1024.jpg,1,40,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871054,1,,
Queen Solid Tan Bed Skirt,OH-105 QS-T,(All) Market Street Wholesale|Bedding,"Beautifully compliments Country, Cabin, Primitive, and Rustic Decor Styles!
100% Cotton
Queen measures 60x80x16""
Hand made - High End Quality - Perfectly compliments our Burgundy and Tan Jamestown and Colonial Star Quilt sets. - Designed & Manufactured exclusively by Olivia's Heartland",,,1,17.50,,,,,1,solid_tan_bed_skirt_172307d1-bec0-4f9e-b297-d2433ab13042_1024x1024.jpg,1,35,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871055,1,,
Twin Solid Tan Bed Skirt,OH-105 TS-T,(All) Market Street Wholesale|Bedding,"Beautifully compliments Country, Cabin, Primitive, and Rustic Decor Styles!
100% Cotton
Measures 39x75x16""
Hand made - High End Quality - Perfectly compliments our Burgundy and Tan Jamestown and Colonial Star Quilt sets. - Designed & Manufactured exclusively by Olivia's Heartland",,,1,15.00,,,,,1,solid_tan_bed_skirt_d88210dd-9980-4897-ada8-003befc60a4c_1024x1024.jpg,1,30,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871056,1,,
California King Solid Burgundy Bed Skirt,OH-106 CKS-BUR,(All) Market Street Wholesale|Bedding,"Beautifully compliments Country, Cabin, Primitive, and Rustic Decor Styles!
100% Cotton
Measures 72x84x16""
Hand made - High End Quality - Perfectly compliments our Burgundy and Tan Jamestown and Colonial Star Quilt sets. - Designed & Manufactured exclusively by Olivia's Heartland",,,1,23.00,,,,,1,solid_burgundy_bed_skirt_1024x1024.jpg,1,46,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871057,1,,
King Solid Burgundy Bed Skirt,OH-106 KS-BUR,(All) Market Street Wholesale|Bedding,"Beautifully compliments Country, Cabin, Primitive, and Rustic Decor Styles!
100% Cotton
Measures 72x80x16""
Hand made - High End Quality - Perfectly compliments our Burgundy and Tan Jamestown and Colonial Star Quilt sets. - Designed & Manufactured exclusively by Olivia's Heartland",,,1,20.00,,,,,1,solid_burgundy_bed_skirt_0f101e4f-0169-4458-8d80-f8a9361a0b7f_1024x1024.jpg,1,40,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871058,1,,
Queen Solid Burgundy Bed Skirt,OH-106 QS-BUR,(All) Market Street Wholesale|Bedding,"Beautifully compliments Country, Cabin, Primitive, and Rustic Decor Styles!
100% Cotton
Measures 60x80x16""
Hand made - High End Quality - Perfectly compliments our Burgundy and Tan Jamestown and Colonial Star Quilt sets. - Designed & Manufactured exclusively by Olivia's Heartland",,,1,17.50,,,,,1,solid_burgundy_bed_skirt_84a144e2-330d-43d5-af36-e529abd8fe3e_1024x1024.jpg,1,35,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871059,1,,
Twin Solid Burgundy Bed Skirt,OH-106 TS-BUR,(All) Market Street Wholesale|Bedding,"Beautifully compliments Country, Cabin, Primitive, and Rustic Decor Styles!
100% Cotton
Measures 39x75x16""
Hand made - High End Quality - Perfectly compliments our Burgundy and Tan Jamestown and Colonial Star Quilt sets. - Designed & Manufactured exclusively by Olivia's Heartland",,,1,15.00,,,,,1,solid_burgundy_bed_skirt_cb92a902-1d59-4bcb-85c6-bec330fd111a_1024x1024.jpg,1,30,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871060,1,,
Burgundy and Tan Checkered Panel - Set of 2,OH-108 PNL,(All) Market Street Wholesale|Bedding,"Beautifully compliments Country, Cabin, Primitive, and Rustic Decor Styles!
100% Cotton
84x40""
One Pair
Hand made - High End Quality - Perfectly compliments our Burgundy and Tan Jamestown and Colonial Star Quilt sets. - Designed & Manufactured exclusively by Olivia's Heartland",,,1,22.50,,,,,1,Burgundy_and_Tan_Checkered_Panel_1024x1024.jpg,1,45,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871061,1,,
Deluxe Burlap Natural Tan King Bed Skirt,OH-110 KS,(All) Market Street Wholesale|Bedding,"Top Quality ""Olivia's Heartland"" Brand Cotton Soft Burlap is a high grade material 30% thicker than other manufacturers, with reinforced stiching
Our Burlap King Bed Skirt has split corners and is finished with fringes along the bottom
Measures 78x80"" with a 16"" drop",,,1,24.00,,,,,1,Burlap_Bedskirt_1024x1024.jpg,1,48,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871062,1,,
Deluxe Burlap Natural Tan Queen Bed Skirt,OH-110 QS,(All) Market Street Wholesale|Bedding,"Top Quality ""Olivia's Heartland"" Brand Cotton Soft Burlap is a high grade material 30% thicker than other manufacturers, with reinforced stiching
Our Burlap Queen Bed Skirt has split corners and is finished with fringes along the bottom
Measures 60x80"" with a 16"" drop",,,1,22.00,,,,,1,Burlap_Bedskirt_1fe241e9-ae11-4a2c-8f82-3f9abee2dc91_1024x1024.jpg,1,44,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871063,1,,
"Deluxe Burlap Natural Tan Tier - 36""L",OH-110 TRL,(All) Market Street Wholesale|Bedding,"Top Quality ""Olivia's Heartland"" Brand Cotton Soft Burlap is a high grade material 30% thicker than other manufacturers, with reinforced stiching
Our Burlap Tiers come as a pair, one for each side of a single window
Each swag measures 36"" wide and 36"" long with a 3 1/4"" rod pocket
Includes Tiers (bottom pieces) only, Swag sold separately",,,1,11.00,,,,,1,IHF-349_TRS_f8721374-6998-479d-985a-6a225c9e0cbf_1024x1024.jpg,1,22,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871064,1,,
Deluxe Burlap Natural Tan Twin Bed Skirt,OH-110 TS,(All) Market Street Wholesale|Bedding,"Top Quality ""Olivia's Heartland"" Brand Cotton Soft Burlap is a high grade material 30% thicker than other manufacturers, with reinforced stiching
Our Burlap Twin Bed Skirt has split corners and is finished with fringes along the bottom
Measures 39x76"" with a 16"" drop",,,1,18.00,,,,,1,Burlap_Bedskirt_22a21841-1551-4af8-b8be-037059e2f825_1024x1024.jpg,1,36,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871065,1,,
"17x17"" Pillow Filler",OH EVE 1717,(All) Market Street Wholesale|Bedding,"17x17"" filler for 16"" square pillows
Polyester Filled
Now 50% Fuller
Machine wash gentle cycle. Air dry.
  SKU: VH-16451",,,1,5.5,,,,,1,pillow_filler__11600.1504817890.jpg,1,11,,2,1,Market Street Wholesale,"Farmhouse Home-Bedding, Throws & more",,Bedding and Home-Bed Skirts,316871066,1,,
