"GRAIN SACK - CREAM/BLACK TOWEL 17""X24""",A18T,(All) Pine Creek Products|Sack,,,,,,"17'X24"" ",,2,3.5,,,,,2,PineCreek400,PineCreek160,A18.jpg,A18.jpg,,,PineCreek800,A18.jpg,
"Farmhouse Check Towel Black/White 14""X24"" ",AQ22BWKT,(All) Pine Creek Products|Sack,"14""X24"" min 2",,,,,"14""X24"" ",,2,3.5,,,,,2,PineCreek400,PineCreek160,FARMHOUSE CHECK AQ22BW WEB.jpg,FARMHOUSE CHECK AQ22BW WEB.jpg,,,PineCreek800,FARMHOUSE CHECK AQ22BW WEB.jpg,
Woven Night Star Tote,BG1792,(All) Pine Creek Products|Totes & Handbags,"DESCRIPTION
16""W X 13""H X 6.5"" gusset min 2",,,,,"16""W X 13""H X 6.5"" gusset ",,2,27.5,,,,,2,PineCreek400,PineCreek160,BG1792 web.jpg,BG1792 web.jpg,,,PineCreek800,BG1792 web.jpg,
Woven Coral Reef Tote ,BG1793,(All) Pine Creek Products|Totes & Handbags,"DESCRIPTION
16""W X 13""H X 6.5"" GUSSET MIN 2",,,,,"16""W X 13""H X 6.5"" GUSSET ",,2,27.5,,,,,2,PineCreek400,PineCreek160,BG1793 WEB.jpg,BG1793 WEB.jpg,,,PineCreek800,BG1793 WEB.jpg,
Woven Blue Ocean Tote,BG1795,(All) Pine Creek Products|Totes & Handbags,"DESCRIPTION
16""W X 13""H X 6.5"" GUSSET MIN 2",,,,,"16""W X 13""H X 6.5"" GUSSET ",,2,27.5,,,,,2,PineCreek400,PineCreek160,BG1795 web.jpg,BG1795 web.jpg,,,PineCreek800,BG1795 web.jpg,
Woven Autumn Sunset Tote,BG1796,(All) Pine Creek Products|Totes & Handbags,"DESCRIPTION
16""W X 13""H X 6.5"" GUSSET MIN 2",,,,,"16""W X 13""H X 6.5"" GUSSET ",,2,27.5,,,,,2,PineCreek400,PineCreek160,BG1796 web.jpg,BG1796 web.jpg,,,PineCreek800,BG1796 web.jpg,
Woven Night Star Crossbody,BG1797,(All) Pine Creek Products|Totes & Handbags,"DESCRIPTION
8.5""W X 6.75""H MIN 2",,,,,"8.5""W X 6.75""H ",,2,11.5,,,,,2,PineCreek400,PineCreek160,BG1797 web.jpg,BG1797 web.jpg,,,PineCreek800,BG1797 web.jpg,
Woven Coral Reef Crossbody ,BG1798,(All) Pine Creek Products|Totes & Handbags,"DESCRIPTION
8.5""W X 6.75""H MIN 2",,,,,"8.5""W X 6.75""H ",,2,11.5,,,,,2,PineCreek400,PineCreek160,BF1798 WEB.jpg,BF1798 WEB.jpg,,,PineCreek800,BF1798 WEB.jpg,
Woven Summer Breeze Crossbody,BG1799,(All) Pine Creek Products|Totes & Handbags,"DESCRIPTION
8.5""W X 6.75""H MIN 2",,,,,"8.5""W X 6.75""H ",,2,11.5,,,,,2,PineCreek400,PineCreek160,BG1799 WEB.jpg,BG1799 WEB.jpg,,,PineCreek800,BG1799 WEB.jpg,
Woven Blue Ocean Crossbody ,BG1800,(All) Pine Creek Products|Totes & Handbags,"DESCRIPTION
8.5""W X 6.75"" H MIN 2",,,,,"8.5""W X 6.75"" H ",,2,11.5,,,,,2,PineCreek400,PineCreek160,BG1800 web.jpg,BG1800 web.jpg,,,PineCreek800,BG1800 web.jpg,
Woven Autumn Sunset Crossbody,BG1801,(All) Pine Creek Products|Totes & Handbags,"DESCRIPTION
8.5""W X 6.75""H MIN 2",,,,,"8.5""W X 6.75""H ",,2,11.5,,,,,2,PineCreek400,PineCreek160,BG1801 web.jpg,BG1801 web.jpg,,,PineCreek800,BG1801 web.jpg,
