LONG WOOD TOOL BOX,HX08054,(All) PD Home Items,,Currently In Stock,,,,4.5 X 6.5 X 23.5,,4,9,,,,,4,PDHome400,PDHome160,HX08054-2.jpg,HX08054-2.jpg,,,PDHome800,HX08054-2.jpg
ANTIQUE BIRD CLOCK,HX13Z002,(All) PD Home Items,,Currently In Stock,,,,6.25 X 5 X 8.35,,6,12,,,,,6,PDHome400,PDHome160,HX13Z002-2.jpg,HX13Z002-2.jpg,,,PDHome800,HX13Z002-2.jpg
RED OVAL CLOCK,HX13Z003,(All) PD Home Items,,Currently In Stock,,,,23 X 38.5 X 3.35,,1,63,,,,,1,PDHome400,PDHome160,HX13Z003-2.jpg,HX13Z003-2.jpg,,,PDHome800,HX13Z003-2.jpg
B & W DOUBLE HOOK,HX35594R,(All) PD Home Items,,Currently In Stock,,,,11.5 X 8.5 X 11,,8,7.5,,,,,8,PDHome400,PDHome160,HX35594R-2.jpg,HX35594R-2.jpg,,,PDHome800,HX35594R-2.jpg
4 ASST. WORD ORNAMENTS,KLY1259058,(All) PD Home Items,,Currently In Stock,,,,8 x 14 x 0.375,,12,4.5,,,,,12,PDHome400,PDHome160,KLY1259058.jpg,KLY1259058.jpg,,,PDHome800,KLY1259058.jpg
RED STRIPE PLACEMENT,ME12332-PM,(All) PD Home Items,,Currently In Stock,,,,13 X .15 X 19,,12,1.8,,,,,12,PDHome400,PDHome160,ME12332-PM-2.jpg,ME12332-PM-2.jpg,,,PDHome800,ME12332-PM-2.jpg
HX01071 - LARGE FANCY CORBEL,HX01071,(All) PD Home Items|(Newest) Additions,Large Fancy Corbel,Currently In Stock,,,,,,4,27,,,,,4,PDHome400,PDHome160,HX01071-2.jpg,HX01071-2.jpg,,,PDHome800,HX01071-2.jpg
HX02093 - FLOOR LAMP WITH TABLE,HX02093,(All) PD Home Items|(Newest) Additions,Floor Lamp with Table,Currently In Stock,,,,,,1,135,,,,,1,PDHome400,PDHome160,HX02093-2.jpg,HX02093-2.jpg,,,PDHome800,HX02093-2.jpg
PATH SIGN VASE,HX07119,(All) PD Home Items|(Newest) Additions,,Currently In Stock,,,,13.25 X 2.60 X 8,,4,7.5,,,,,4,PDHome400,PDHome160,HX07119-2.jpg,HX07119-2.jpg,,,PDHome800,HX07119-2.jpg
TOGETHER SIGN VASE,HX07124,(All) PD Home Items|(Newest) Additions,Together Sign Vase,Currently In Stock,,,,13.25 X 2.6 X 8,,4,7.5,,,,,4,PDHome400,PDHome160,HX07124-2.jpg,HX07124-2.jpg,,,PDHome800,HX07124-2.jpg
4 BOTTLE VASE WITH TIN,HX08178,(All) PD Home Items|(Newest) Additions,,Currently In Stock,,,,14 X 9.75 X 4,,4,13.5,,,,,4,PDHome400,PDHome160,HX08178-2.jpg,HX08178-2.jpg,,,PDHome800,HX08178-2.jpg
HX08185 - WHITE TUB SOAP DISH,HX08185,(All) PD Home Items|(Newest) Additions,White Tub Soap Dish,Currently In Stock,,,,,,24,3,,,,,24,PDHome400,PDHome160,HX08185-2.jpg,HX08185-2.jpg,,,PDHome800,HX08185-2.jpg
HX08189 - DOUBLE RUSTIC VASE,HX08189,(All) PD Home Items|(Newest) Additions,,Currently In Stock,,,,,,4,11.25,,,,,4,PDHome400,PDHome160,HX08189-2.jpg,HX08189-2.jpg,,,PDHome800,HX08189-2.jpg
"26"" TIN FEATHER WREATH",HX14045,(All) PD Home Items|(Newest) Additions,,Currently In Stock,,,,26 X 4.75 X 26,,1,45,,,,,1,PDHome400,PDHome160,HX14045-2.jpg,HX14045-2.jpg,,,PDHome800,HX14045-2.jpg
S/2 ART TRAY,HX14050,(All) PD Home Items|(Newest) Additions,,Currently In Stock,,,,14.56 X 1.97(L) 12.99 X1.97(S),,4,21,,,,,4,PDHome400,PDHome160,HX14050-2.jpg,HX14050-2.jpg,,,PDHome800,HX14050-2.jpg
HX35977 - OLD BLACK TIN STAND,HX35977,(All) PD Home Items|(Newest) Additions,,Currently In Stock,,,,,,4,13.5,,,,,4,PDHome400,PDHome160,HX35977-2.jpg,HX35977-2.jpg,,,PDHome800,HX35977-2.jpg
