COKE - Victorian Red Dress,#1054,(ALL) TIN SIGNS|Food & Beverage,,,,,,"12.5""WX16""H",,1,6.85,,,,,1,desperate400,desperate160,D1054 COKE Victorian Red Dress.jpg,D1054 COKE Victorian Red Dress.jpg,,,desperate800,D1054 COKE Victorian Red Dress.jpg,
COKE - Yes - White Bathing Sui,#1056,(ALL) TIN SIGNS|Food & Beverage,,,,,,"12.5""WX16""H",,1,6.85,,,,,1,desperate400,desperate160,D1056 COKE Yes - White Bathing Suit.jpg,D1056 COKE Yes - White Bathing Suit.jpg,,,desperate800,D1056 COKE Yes - White Bathing Suit.jpg,
Jim Beam - White Label,#1061,(ALL) TIN SIGNS|Liquor & Tobacco,,,,,,"12.5""WX16""H",,1,6.85,,,,,1,desperate400,desperate160,D1061 Jim Beam White Label.jpg,D1061 Jim Beam White Label.jpg,,,desperate800,D1061 Jim Beam White Label.jpg,
Ford Racing Parking,#1062,(ALL) TIN SIGNS|Automotive,,,,,,"12.5""WX16""H",,1,6.85,,,,,1,desperate400,desperate160,D1062 Ford Racing Parking.jpg,D1062 Ford Racing Parking.jpg,,,desperate800,D1062 Ford Racing Parking.jpg,
Jim Beam - Black label,#1066,(ALL) TIN SIGNS|Liquor & Tobacco,,,,,,"12.5""WX16""H",,1,6.85,,,,,1,desperate400,desperate160,D1066 JIM BEAM Black Label.jpg,D1066 JIM BEAM Black Label.jpg,,,desperate800,D1066 JIM BEAM Black Label.jpg,
COKE - Round 30's Bottle & Log,#1069,(ALL) TIN SIGNS|Food & Beverage,,,,,,"11.75"" dia.",,1,6.85,,,,,1,desperate400,desperate160,D1069 COKE Round 30's Bottle & Logo.jpg,D1069 COKE Round 30's Bottle & Logo.jpg,,,desperate800,D1069 COKE Round 30's Bottle & Logo.jpg,
COKE - Round Keg Label,#1070,(ALL) TIN SIGNS|Food & Beverage,,,,,,"11.75"" dia.",,1,6.85,,,,,1,desperate400,desperate160,D1070 COKE Round Keg Label.jpg,D1070 COKE Round Keg Label.jpg,,,desperate800,D1070 COKE Round Keg Label.jpg,
Chevy Round Genuine Parts,#1072,(ALL) TIN SIGNS|Automotive,,,,,,"11.75"" Dia.",,1,6.85,,,,,1,desperate400,desperate160,D1072 Chevy Round Genuine Parts.jpg,D1072 Chevy Round Genuine Parts.jpg,,,desperate800,D1072 Chevy Round Genuine Parts.jpg,
COKE - 50th Annv. Bathers,#1073,(ALL) TIN SIGNS|Food & Beverage,,,,,,"8.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1073 COKE - 50th Annv Bathers.jpg,D1073 COKE - 50th Annv Bathers.jpg,,,desperate800,D1073 COKE - 50th Annv Bathers.jpg,
COKE - 1900's  5 Cent,#1074,(ALL) TIN SIGNS|Food & Beverage,,,,,,"16""W x 8.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1074 COKE - 1900 5 cent.jpg,D1074 COKE - 1900 5 cent.jpg,,,desperate800,D1074 COKE - 1900 5 cent.jpg,
Stooges Fire Dept.,#1081,(ALL) TIN SIGNS|Hollywood & TV,,,,,,"16""W x 12.5""h",,1,6.85,,,,,1,desperate400,desperate160,D1081 Stooges - Fire Dept.jpg,D1081 Stooges - Fire Dept.jpg,,,desperate800,D1081 Stooges - Fire Dept.jpg,
FORD - Classic Mustang,#1122,(ALL) TIN SIGNS|Automotive,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1122 Ford - Classic Mustang.jpg,D1122 Ford - Classic Mustang.jpg,,,desperate800,D1122 Ford - Classic Mustang.jpg,
SW - Surfin' USA,#1124,(ALL) TIN SIGNS|Surfing,,,,,,"16""W x 12.5""h",,1,6.85,,,,,1,desperate400,desperate160,D1124 Westmoreland - Surfin USA.jpg,D1124 Westmoreland - Surfin USA.jpg,,,desperate800,D1124 Westmoreland - Surfin USA.jpg,
