MTL. TABLE CLOCK,BC1012,2022 Year End Sale|All Vip Int. Products|Clocks (All),This small clock is a perfect way to add a rustic look to your home without doing too much.  The rustic base with the simple face make it easy to incorporate into your room.,,12,,,7 x 5 x 3,,4,14.98,,,,,4,VIP400,VIP160,bc1012_lg.jpg,bc1012_lg.jpg,7.82906E+11,,VIP800,bc1012_lg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTL. LAMP,BC1021,2022 Year End Sale|All Vip Int. Products|Lamps & Lanterns,"This lamp is so unique. It has a metal base to use as a table or desk lamp. The unique metal shade looks great paired with a vintage style light bulb. This would be great in an office, bedroom, or den.",,27.6,,,6.75 x 19.75 x 7.5,,2,45.98,,,,,2,VIP400,VIP160,bc1021_lg.jpg,bc1021_lg.jpg,7.82906E+11,,VIP800,bc1021_lg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD. CLOCK,BC1022,2022 Year End Sale|All Vip Int. Products|Clocks (All),"This small wall clock is the perfect size for any room of the house. The wood face and minimalist numbers, give it a modern feel. This would be perfect in an office, kitchen, bedroom, or den.",,15.4,,,16.5 x 16.5 x 2.75,,4,21.98,,,,,4,VIP400,VIP160,bc1022_lg.jpg,bc1022_lg.jpg,7.82906E+11,,VIP800,bc1022_lg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WD. WALL CLOCK,BC1031,2022 Year End Sale|All Vip Int. Products|Clocks (All),A twist on a farmhouse favorite with the brown shiplap. This wall clock will add sophistication to any home. ,,30.1,,,26 X 25 X 3,,2,42.98,,,,,2,VIP400,VIP160,bc1031_lg.jpg,bc1031_lg.jpg,7.82906E+11,,VIP800,bc1031_lg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTL. RECIPE HLDR,BY1058,2022 Year End Sale|All Vip Int. Products|Metal Decor,"This recipe holder is unique and whimsical. The shape is made to look like a vintage grater. The small clip at the top, makes it easy to display a recipe as you are cooking or baking. The easel stand makes it sturdy.",,8.4,,,16 x 12 x 8,,6,11.98,,,,,6,VIP400,VIP160,by1058_lg.jpg,by1058_lg.jpg,7.82906E+11,,VIP800,by1058_lg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MTL. ""MR. & MRS."" SET/3",BY1063,2022 Year End Sale|All Vip Int. Products|Signs & Word Art,"Add some playfulness to everyday life with our ""Mr. & Mrs."" painted metal plates. A wonderful addition to any wedding decor or as an accent in your master bathroom. Hanging hardware not included.",,4,,,,,4,15.98,,,,,4,VIP400,VIP160,by1063_lg.jpg,by1063_lg.jpg,7.83E+11,,VIP800,by1063_lg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MTL. SIGN ""FRESH PRODUCE""",BY1098,2022 Year End Sale|All Vip Int. Products|Signs & Word Art,Fresh Produce makes a lovely statement in a kitchen or Garden. The corrugated metal finish on this Produce sign adds a unique look. This will stand out in any d?cor. It looks like a real vintage find.,,40,,,,,2,49.98,,,,,2,VIP400,VIP160,by1098_lg.jpg,by1098_lg.jpg,7.83E+11,,VIP800,by1098_lg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTL. DRINK BUCKETS SET/2,BY1129,2022 Year End Sale|All Vip Int. Products,"Having a party?? Well these little buckets are perfect for your next gathering to ensure that your guests know where to get the ""Cold Drinks""",,58.4,,,,,2,72.98,,,,,2,VIP400,VIP160,by1129_lg.jpg,by1129_lg.jpg,7.83E+11,,VIP800,by1129_lg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTL. WALL PLANTERS SET/2,BY1130,2022 Year End Sale|All Vip Int. Products|Planters,"These house shaped galvanized metal planters are right on trend.  They look great hung on a wall or sitting on a table or shelf.  Use indoors or out.   
This set of house planters will add charm to your life.  Hang on the wall or fence. Fill them with flowers, greens, or succulents for a stunning feature. Use them in the home for a fun look too!",,49.6,,,,,2,61.98,,,,,2,VIP400,VIP160,by1130_lg.jpg,by1130_lg.jpg,7.83E+11,,VIP800,by1130_lg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTL. FRAMED MIRROR,BY1175,2022 Year End Sale|All Vip Int. Products|Mirror (All),This mirror is so unique. The rectangular mirror is perfectly accented by the metal frame. This mirror is made to look like a window frame.,,37.8,,,16 x 24 x 1.25,,2,62.98,,,,,2,VIP400,VIP160,by1175_lg.jpg,by1175_lg.jpg,7.82906E+11,,VIP800,by1175_lg.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
