Sunflower - 20”x20”,101-L-2020,(All) Darren Gygi Canvas Art|Harvest|Fall|Flower,The first painting in the Darren Gygi Home Collection and still the number one seller of them all!  This striking yellow flower is a perfect piece for home decor artwork all year round.  Display it in the kitchen. bedroom. bathroom. or anywhere else.  Bring some sunshine into your life with the Sunflower.,,,,,20”x20”,,1,38.75,,,,,1,gygi400,gygi160,1-Gygi-Sunflower1.jpg,1-Gygi-Sunflower1.jpg,"Fine Art Canvas, Alder Wood",,gygi800,1-Gygi-Sunflower1.jpg
Sunflower - 14”x14”,101-M-1414,(All) Darren Gygi Canvas Art|Harvest|Fall|Flower,"The first painting in the Darren Gygi Home Collection and still the number one seller of them all!  This striking yellow flower is a perfect piece for home decor artwork all year round.  Display it in the kitchen, bedroom, bathroom, or anywhere else.  Bring some sunshine into your life with the Sunflower.",,,,,14”x14”,,1,25.75,,,,,1,gygi400,gygi160,1-Gygi-Sunflower1.jpg,1-Gygi-Sunflower1.jpg,"Fine Art Canvas, Alder Wood",,gygi800,1-Gygi-Sunflower1.jpg
Sunflower - 9”x9”,101-S-0909,(All) Darren Gygi Canvas Art|Harvest|Fall|Flower,"The first painting in the Darren Gygi Home Collection and still the number one seller of them all!  This striking yellow flower is a perfect piece for home decor artwork all year round.  Display it in the kitchen, bedroom, bathroom, or anywhere else.  Bring some sunshine into your life with the Sunflower.",,,,,9”x9”,,1,13.75,,,,,1,gygi400,gygi160,1-Gygi-Sunflower1.jpg,1-Gygi-Sunflower1.jpg,"Fine Art Canvas, Alder Wood",,gygi800,1-Gygi-Sunflower1.jpg
5 x 5 inch gallery-wrapped giclee Sunflower,101-Z-0505,(All) Darren Gygi Canvas Art|Harvest|Fall|Flower,,,,,,5 x 5 ,,1,6.75,,,,,1,gygi400,gygi160,1-Gygi-Sunflower.jpg,1-Gygi-Sunflower.jpg,,,gygi800,1-Gygi-Sunflower.jpg
Pumpkin - 20”x20”,102-L-2020,(All) Darren Gygi Canvas Art|Harvest|Fall|Kitchen,"A rich, warm, orange piece to usher in the fall: the Pumpkin.  Whether you’re decorating for Halloween, Thanksgiving, or just autumn in general, this iconic artwork is simple, stunning, and a “must-have” piece within the Darren Gygi Home Collection",,,,,20”x20”,,1,38.75,,,,,1,gygi400,gygi160,1-Gygi-Pumpkin1.jpg,1-Gygi-Pumpkin1.jpg,"Fine Art Canvas, Alder Wood",,gygi800,1-Gygi-Pumpkin1.jpg
Pumpkin - 14”x14”,102-M-1414,(All) Darren Gygi Canvas Art|Harvest|Fall|Kitchen,"A rich, warm, orange piece to usher in the fall: the Pumpkin.  Whether you’re decorating for Halloween, Thanksgiving, or just autumn in general, this iconic artwork is simple, stunning, and a “must-have” piece within the Darren Gygi Home Collection",,,,,14”x14”,,1,25.75,,,,,1,gygi400,gygi160,1-Gygi-Pumpkin1.jpg,1-Gygi-Pumpkin1.jpg,"Fine Art Canvas, Alder Wood",,gygi800,1-Gygi-Pumpkin1.jpg
Pumpkin - 9”x9”,102-S-0909,(All) Darren Gygi Canvas Art|Harvest|Fall|Kitchen,"A rich, warm, orange piece to usher in the fall: the Pumpkin.  Whether you’re decorating for Halloween, Thanksgiving, or just autumn in general, this iconic artwork is simple, stunning, and a “must-have” piece within the Darren Gygi Home Collection",,,,,9”x9”,,1,13.75,,,,,1,gygi400,gygi160,1-Gygi-Pumpkin1.jpg,1-Gygi-Pumpkin1.jpg,"Fine Art Canvas, Alder Wood",,gygi800,1-Gygi-Pumpkin1.jpg
5 x 5 inch gallery-wrapped giclee Pumpkin,102-Z-0505,(All) Darren Gygi Canvas Art|Harvest|Fall|Kitchen,,,,,,5 x 5 ,,1,6.75,,,,,1,gygi400,gygi160,1-Gygi-Pumpkin.jpg,1-Gygi-Pumpkin.jpg,,,gygi800,1-Gygi-Pumpkin.jpg
Apple - 20”x20”,103-L-2020,(All) Darren Gygi Canvas Art|Harvest|Fall|Kitchen|Fruit,"You can almost feel the crispness of fall in the air when you see the Apple for the first time.  In fact, its vivid red and green skin looks good enough to bite.  A great home decor piece for autumn or anytime of year, this painting also makes a clever gift for that deserving grade school teacher.",,,,,20”x20”,,1,38.75,,,,,1,gygi400,gygi160,1-Gygi-Apple1.jpg,1-Gygi-Apple1.jpg,"Fine Art Canvas, Alder Wood",,gygi800,1-Gygi-Apple1.jpg
Apple - 14”x14”,103-M-1414,(All) Darren Gygi Canvas Art|Harvest|Fall|Kitchen|Fruit,"You can almost feel the crispness of fall in the air when you see the Apple for the first time.  In fact, its vivid red and green skin looks good enough to bite.  A great home decor piece for autumn or anytime of year, this painting also makes a clever gift for that deserving grade school teacher.",,,,,14”x14”,,1,25.75,,,,,1,gygi400,gygi160,1-Gygi-Apple1.jpg,1-Gygi-Apple1.jpg,"Fine Art Canvas, Alder Wood",,gygi800,1-Gygi-Apple1.jpg
Apple - 9”x9”,103-S-0909,(All) Darren Gygi Canvas Art|Harvest|Fall|Kitchen|Fruit,"You can almost feel the crispness of fall in the air when you see the Apple for the first time.  In fact, its vivid red and green skin looks good enough to bite.  A great home decor piece for autumn or anytime of year, this painting also makes a clever gift for that deserving grade school teacher.",,,,,9”x9”,,1,13.75,,,,,1,gygi400,gygi160,1-Gygi-Apple1.jpg,1-Gygi-Apple1.jpg,"Fine Art Canvas, Alder Wood",,gygi800,1-Gygi-Apple1.jpg
5 x 5 inch gallery-wrapped giclee Apple,103-Z-0505,(All) Darren Gygi Canvas Art|Harvest|Fall|Kitchen|Fruit,,,,,,5 x 5 ,,1,6.75,,,,,1,gygi400,gygi160,1-Gygi-Apple.jpg,1-Gygi-Apple.jpg,,,gygi800,1-Gygi-Apple.jpg
Indian Corn - 20”x20”,104-L-2020,(All) Darren Gygi Canvas Art|Harvest|Fall,Celebrate the autumn with a Native American symbol of the harvest––the Indian Corn.  This piece of artwork beautifully captures that Indian summer season with its rich gold and brown colors.,,,,,20”x20”,,1,38.75,,,,,1,gygi400,gygi160,1-Gygi-IndianCorn1.jpg,1-Gygi-IndianCorn1.jpg,"Fine Art Canvas, Alder Wood",,gygi800,1-Gygi-IndianCorn1.jpg
Indian Corn - 14”x14”,104-M-1414,(All) Darren Gygi Canvas Art|Harvest|Fall,Celebrate the autumn with a Native American symbol of the harvest––the Indian Corn.  This piece of artwork beautifully captures that Indian summer season with its rich gold and brown colors.,,,,,14”x14”,,1,25.75,,,,,1,gygi400,gygi160,1-Gygi-IndianCorn1.jpg,1-Gygi-IndianCorn1.jpg,"Fine Art Canvas, Alder Wood",,gygi800,1-Gygi-IndianCorn1.jpg
Indian Corn - 9”x9”,104-S-0909,(All) Darren Gygi Canvas Art|Harvest|Fall,Celebrate the autumn with a Native American symbol of the harvest––the Indian Corn.  This piece of artwork beautifully captures that Indian summer season with its rich gold and brown colors.,,,,,9”x9”,,1,13.75,,,,,1,gygi400,gygi160,1-Gygi-IndianCorn1.jpg,1-Gygi-IndianCorn1.jpg,"Fine Art Canvas, Alder Wood",,gygi800,1-Gygi-IndianCorn1.jpg
5 x 5 inch gallery-wrapped giclee Indian Corn,104-Z-0505,(All) Darren Gygi Canvas Art|Harvest|Fall,,,,,,5 x 5 ,,1,6.75,,,,,1,gygi400,gygi160,74-Corn.jpg,74-Corn.jpg,,,gygi800,74-Corn.jpg
Pear - 20”x20”,105-L-2020,(All) Darren Gygi Canvas Art|Fruit|Kitchen,"Few foods yell “gourmet” more than a green, juicy pear. Perfect for the kitchen, but great in many other locations, this Pear is simple, straightforward, and stirring.",,,,,20”x20”,,1,38.75,,,,,1,gygi400,gygi160,2-Gygi-Pear.jpg,2-Gygi-Pear.jpg,"Fine Art Canvas, Alder Wood",,gygi800,2-Gygi-Pear.jpg
