Treasures of the Sea I,G175,(All) Artistic Reflections Products,Photograph of beautiful seashells as you would see them lying in the bottom of the ocean. By artist Susan Jackson. Protected with glass.,,,,,"20x8 - Inside, 24x12 - Outside",,1,23,,,,,1,NorthAmerican400,NorthAmerican160,G175-2T.jpg,G175-2T.jpg,,,NorthAmerican800,G175-2T.jpg,,
Treasures of the Sea II,G176,(All) Artistic Reflections Products,Photograph of beautiful seashells as you would see them lying in the bottom of the ocean. By artist Susan Jackson. Protected with glass.,,,,,"20x8 - Inside, 24x12 - Outside",,1,23,,,,,1,NorthAmerican400,NorthAmerican160,G176-2T.jpg,G176-2T.jpg,,,NorthAmerican800,G176-2T.jpg,,
Bicycle I,GN220,(All) Artistic Reflections Products,Remember  your old bicycle! Vintage yellow bike with basket of wine and bread on the back by artist Gwendolyn Babbitt.  It is hand embellished to provide the appearance of an original oil painting.,,,,,"11x14 - Inside, 14x17 - Outside",,1,16.00,,,,,1,NorthAmerican400,NorthAmerican160,GN220-2T.jpg,GN220-2T.jpg,,,NorthAmerican800,GN220-2T.jpg,,
Bicycle II,GN221,(All) Artistic Reflections Products,Remember  your old bicycle! Vintage yellow bike with basket of flowers in the front by artist Gwendolyn Babbitt.  It is hand embellished to provide the appearance of an original oil painting.,,,,,"11x14 - Inside, 14x17 - Outside",,1,16.00,,,,,1,NorthAmerican400,NorthAmerican160,GN221-2T.jpg,GN221-2T.jpg,,,NorthAmerican800,GN221-2T.jpg,,
Berks Co. Sunrise,P517,(All) Artistic Reflections Products,The classic farming landscape with windmill and a grazing horse. Rustic brown frame.  It is hand embellished to provide the appearance of an original oil painting.,,,,,"12x16 - Inside, 15x19 - Outside",,1,21.00,,,,,1,NorthAmerican400,NorthAmerican160,P517-2T.jpg,P517-2T.jpg,,,NorthAmerican800,P517-2T.jpg,,
Amazing Grace,P518,(All) Artistic Reflections Products,Beautiful country church. By renowned artist Billy Jacobs.  It is hand embellished to provide the appearance of an original oil painting.,,,,,"20x14 - Inside, 23x17 - Outside",,1,26.00,,,,,1,NorthAmerican400,NorthAmerican160,P518-2T.jpg,P518-2T.jpg,,,NorthAmerican800,P518-2T.jpg,,
Holstein,P520,(All) Artistic Reflections Products,Holstein by the red barn. By renowned artist Billy Jacobs.  It is hand embellished to provide the appearance of an original oil painting.,,,,,"18x14 - Inside, 21x17 - Outside",,1,25.00,,,,,1,NorthAmerican400,NorthAmerican160,P520-2T.jpg,P520-2T.jpg,,,NorthAmerican800,P520-2T.jpg,,
New Mexico Flag Tote Bag,BAGFLAGNM,(All) Artistic Reflections Products,We are so pleased to offer these canvas totes with our custom designs.  Each bag is 14x15x4.  Printed in our facility in Minnesota.  2 bags per style please.  You can do this bag with any design including store logo or organization logo at no additional charge with a 12 piece minimum order.,,,,,"GLASS SIZE: 14x15x4, FRAME SIZE: 14x15x4",,3,6.00,,,,,3,NorthAmerican400,NorthAmerican160,BAGFLAGNM-2T.jpg,BAGFLAGNM-2T.jpg,,,NorthAmerican800,BAGFLAGNM-2T.jpg,,
Wyoming Flag Tote Bag,BAGFLAGWY,(All) Artistic Reflections Products,We are so pleased to offer these canvas totes with our custom designs.  Each bag is 14x15x4.  Printed in our facility in Minnesota.  You can do this bag with any state map and add the state name or your city at no additional charge with a 12 piece minimum order.,,,,,"GLASS SIZE: 14x15x4, FRAME SIZE: 14x15x4",,12,6.00,,,,,12,NorthAmerican400,NorthAmerican160,BAGFLAGWY-2T.jpg,BAGFLAGWY-2T.jpg,,,NorthAmerican800,BAGFLAGWY-2T.jpg,,
State Designs - Tote Bag,BAGState2,(All) Artistic Reflections Products,We are so pleased to offer these canvas totes with our custom designs.  Each bag is 14x15x4.  Printed in our facility in Minnesota.  You can do this bag with any state map and add the state name or your city at no additional charge with a 12 piece minimum order.,,,,,"GLASS SIZE: 14x15x4, FRAME SIZE: 14x15x4",,6,6.00,,,,,6,NorthAmerican400,NorthAmerican160,BAGState2-2T.jpg,BAGState2-2T.jpg,,,NorthAmerican800,BAGState2-2T.jpg,,
Simple Study I,G177,(All) Artistic Reflections Products,14x14 floral water color bouquet by Carol Robinson,,,,,"GLASS SIZE: 12x12, FRAME SIZE: 14x14",,1,15.00,,,,,1,NorthAmerican400,NorthAmerican160,G177-1.jpg,G177-1.jpg,,,NorthAmerican800,G177-1.jpg,,
Simple Study Ii,G178,(All) Artistic Reflections Products,14x14 floral water color bouquet by Carol Robinson,,,,,"GLASS SIZE: 12x12, FRAME SIZE: 14x14",,1,15.00,,,,,1,NorthAmerican400,NorthAmerican160,G178-2T.jpg,G178-2T.jpg,,,NorthAmerican800,G178-2T.jpg,G178-2T.jpg,
Simple Study Iii,G179,(All) Artistic Reflections Products,14x14 floral water color bouquet by Carol Robinson,,,,,"GLASS SIZE: 12x12, FRAME SIZE: 14x14",,1,15.00,,,,,1,NorthAmerican400,NorthAmerican160,G179-2T.jpg,G179-2T.jpg,,,NorthAmerican800,G179-2T.jpg,G179-2T.jpg,
Simple Study Iv,G180,(All) Artistic Reflections Products,14x14 floral water color bouquet by Carol Robinson,,,,,"GLASS SIZE: 12x12, FRAME SIZE: 14x14",,1,15.00,,,,,1,NorthAmerican400,NorthAmerican160,G180-1.jpg,G180-1.jpg,,,NorthAmerican800,G180-1.jpg,,
Bug Alphabet Ii,GN228,(All) Artistic Reflections Products,14x14 Whimsical alphabet with insects by Stephane Marrpt,,,,,"GLASS SIZE: 12x12, FRAME SIZE: 14x14",,1,17.00,,,,,1,NorthAmerican400,NorthAmerican160,GN228-1.jpg,GN228-1.jpg,,,NorthAmerican800,GN228-1.jpg,,
Snow,J226,(All) Artistic Reflections Products,A delightful country Christmas print by Margie McGinnis.  It is texture coated and includes glitter sparkles to capture the appearance of freshly falling snow.,,,,,14x14,,1,19.00,,,,,1,NorthAmerican400,NorthAmerican160,J226.jpg,J226.jpg,"Artist - Musser, Michele  * - Finish - Textured",,NorthAmerican800,J226.jpg,,
Believe,J227,(All) Artistic Reflections Products,A delightful country Christmas print by Margie McGinnis.  It is texture coated and includes glitter sparkles to capture the appearance of freshly falling snow.,,,,,14x14,,1,19.00,,,,,1,NorthAmerican400,NorthAmerican160,J227.jpg,J227.jpg,"Artist - Musser, Michele  * - Finish - Textured",,NorthAmerican800,J227.jpg,,
