5,0,5,-,6,8,2,3,5
5,0,5,-,6,8,2,1,1
5,0,5,-,6,7,2,6,0
5,0,5,-,6,7,2,5,6
5,0,5,-,6,8,2,3,4
5,1,2,-,6,8,4,5,6
5,1,2,-,6,8,4,5,7
5,0,5,-,6,8,0,0,0,J,S
5,0,5,-,6,9,0,0,0,J,S
5,0,5,-,6,9,0,0,1,J,S
5,0,5,-,6,7,0,1,0,J,S
5,0,5,-,6,7,0,0,9,J,S
5,0,5,-,6,9,2,6,8
3,0,6,-,6,8,3,4,3
3,1,8,-,6,9,4,2,0
5,0,5,-,6,9,2,3,8
5,0,5,-,6,7,0,0,8,J,S
5,0,5,-,6,8,2,3,2
3,1,8,-,6,9,4,3,5
3,1,8,-,6,9,4,3,8
5,0,5,-,5,6,5,4,9
3,0,6,-,6,3,1,6,1,B,P,I
5,0,5,-,6,7,2,6,3
3,1,8,-,6,7,3,3,8
5,0,5,-,6,8,2,2,4
3,1,8,-,6,8,3,7,3
0,1,-,9,0,0,5,7
5,0,5,-,6,9,2,6,9
3,1,8,-,6,9,4,1,5
1,1,-,9,5,4,5,1
5,0,5,-,6,7,2,6,2
5,0,5,-,6,6,0,7,7
5,0,5,-,6,7,2,7,1
5,0,5,-,6,7,2,6,1
5,0,5,-,6,7,2,5,8
5,0,5,-,6,7,2,5,7
