5,4,5,1,-,8
5,4,6,3,-,9
5,4,6,5,-,5
5,4,6,3,-,8
5,4,4,3,-,1
5,4,5,2,-,0
5,3,3,6,-,8
3,0,1,0,-,0
5,4,5,2,-,9
5,4,6,2,-,8
5,4,6,2,-,6
5,4,5,2,-,8
4,1,5,4,-,4
5,4,6,2,-,9
4,1,5,4,-,3
5,4,6,1,-,9
5,4,6,1,-,6
5,4,6,2,-,3
5,3,3,7,-,3
5,4,6,5,-,0
5,4,6,5,-,3
3,0,0,8,-,5
2,3,7,2,-,0
3,0,1,0,-,1
5,4,5,3,-,3
5,4,6,1,-,1
5,4,6,1,-,0
5,4,5,3,-,6
5,3,3,8,-,3
5,4,9,4,-,0
5,5,0,0,-,4
8,1,3,5,-,0
8,1,3,5,-,8
2,3,7,2,-,6
5,4,9,4,-,3
3,0,0,8,-,0
5,4,9,9,-,8
5,5,0,0,-,0
5,4,9,9,-,0
4,2,3,1,-,4
4,2,3,1,-,2
4,2,3,1,-,0
4,2,3,1,-,1
3,0,0,8,-,1
5,4,9,9,-,1
8,1,3,2,-,0
8,1,3,2,-,8
3,0,0,8,-,4
5,4,9,9,-,3
0,2,0,0,3,6,-,0,0
3,0,0,8,-,2
2,3,7,4,-,1
2,3,7,4,-,0
5,5,0,6,-,1
3,0,0,8,-,3
5,4,6,3,-,5
5,4,6,3,-,0
5,4,6,3,-,6
5,4,4,5,-,6
0,3,0,0,3,1,-,1,0
0,3,0,0,3,0,-,1,0
0,3,0,0,3,2,-,1,0
0,3,0,0,2,5,-,1,1
0,3,0,0,2,9,-,1,0
0,3,0,0,2,6,-,1,1
0,3,0,0,2,7,-,1,1
0,3,0,0,3,4,-,1,1
0,3,0,0,2,8,-,1,1
0,3,0,0,3,6,-,1,1
0,3,0,0,3,5,-,1,1
0,3,0,0,3,3,-,1,1
