3,1,0,3,6,A,-,F,U
1,3,5,1,9,A
5,3,1,3,4,B,-,R,D
5,2,9,7,3,A
5,2,9,2,6,A
1,3,6,9,0,A,-,C,R
5,2,9,7,3,B
5,3,1,0,6,A
5,3,1,0,6,B
5,2,9,7,3,C
5,3,1,2,8,A
1,3,8,4,5,A
5,1,9,0,1,A,-,G,R,L,T
5,3,1,2,8,B
1,3,8,6,3,A
5,3,1,0,6,D
4,0,7,5,2,D,-,W,H
4,0,8,7,3,B,-,O,R,B,R
1,3,0,0,1,B
5,3,1,2,8,C
1,3,8,4,5,B
1,3,7,8,3,A
5,3,1,3,4,A,-,R,D
1,3,6,0,4,A
1,4,4,4,6,D
1,4,4,4,6,A
1,4,4,4,6,C
1,4,4,5,2,C
5,2,7,3,1,B
5,2,7,3,1,A
1,3,9,4,8,A
1,4,2,7,3,A
1,4,2,3,8,A
1,4,2,0,6,A
1,4,5,9,9,D
1,4,5,9,9,C
1,3,9,3,9,D
1,3,9,3,9,E
1,3,9,3,9,F
1,4,4,4,6,B
1,3,5,5,3,F
1,3,5,5,3,G
4,0,9,1,7,B
1,2,3,7,6,D
1,3,5,3,6,E
1,3,5,5,1,F
1,4,5,1,6,A
2,0,3,2,4,B
2,0,3,2,4,A
1,4,4,7,7,B,-,R,D
2,0,3,2,2,A,-,B,K
2,0,3,2,2,A,-,G,Y
2,0,3,1,9,B
1,4,5,8,6,B,-,C,I,N,S,W,R,L
1,4,6,0,0,A
1,3,2,6,3,C
1,0,7,2,7,F,-,B,R
1,0,7,2,7,F,-,G,R
1,3,0,9,6,D
2,0,3,2,5,A
1,4,5,7,7,A
1,4,5,7,8,A
1,4,5,7,9,A
1,4,5,8,0,A
1,4,5,8,1,A
1,4,5,7,6,A
1,3,1,3,9,H
2,0,3,2,1,A
1,2,3,7,5,B,-,W,H,B,L
2,0,3,2,0,A
1,2,3,7,5,A,-,W,H,B,L
1,2,1,8,8,C
1,1,4,1,0,C
1,0,1,6,7,C
1,2,4,1,3,C
1,2,2,0,7,F
2,0,3,1,8,A
2,0,3,1,9,A
2,0,3,1,9,C
2,0,3,1,7,A
2,0,3,1,9,D
5,3,3,6,4,A
