"CLEARANCE 18-23"" Waffle Extending Leg Snowman, 2 Asst",5594-4,,Regular Price $12.50,,8.89,,,,,6.00,12.50,,,,,6.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item5594-4.jpg.jpg,Item5594-4.jpg.jpg,,,delton800,Item5594-4.jpg.jpg
"CLEARANCE 3.5"" Porcelain Cup/Saucer In Gift Box, Partridge",8135-1,,Regular Price $8.56,,5.99,,,,,4.00,8.56,,,,,4.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item8135-1.jpg.jpg,Item8135-1.jpg.jpg,,,delton800,Item8135-1.jpg.jpg
"10"" Porcelain Red Sweater Doll",7251-8,, ,,,,,,,4.00,5.95,12.00,5.55,,,4.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item7251-8.jpg.jpg,Item7251-8.jpg.jpg,,,delton800,Item7251-8.jpg.jpg
"12 x 6"" Pink/Purple Embroidered Jewelry Roll, 4 Asst",6112-6,, ,,,,,,,4.00,2.50,12.00,2.25,,,4.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item6112-6.jpg.jpg,Item6112-6.jpg.jpg,,,delton800,Item6112-6.jpg.jpg
"14"" Apple Dumplin Unicorn Doll",4264-1,, ,,,,,,,2.00,11.35,6.00,10.75,,,2.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item4264-1.jpg.jpg,Item4264-1.jpg.jpg,,,delton800,Item4264-1.jpg.jpg
CLEARANCE 43 cm Silver Pl Trpzd Chip Necklace,010054-11,,Regular Price $7.75,,4.99,,,,,5.00,7.75,,,,,5.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item010054-11.jpg.jpg,Item010054-11.jpg.jpg,,,delton800,Item010054-11.jpg.jpg
"CLEARANCE Porcelain Mug-Coaster-Spoon Set In Gift Box, Pale Rose",8129-0,,Regular Price $8.40,,5.89,,,,,4.00,8.40,,,,,4.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item8129-0.jpg.jpg,Item8129-0.jpg.jpg,,,delton800,Item8129-0.jpg.jpg
"005:CLEARANCE 10 x 10"" Waffle Snowman Family",5593-0,,Regular Price $12.00,,8.49,,,,,6.00,12.00,,,,,6.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item5593-0.jpg.jpg,Item5593-0.jpg.jpg,,,delton800,Item5593-0.jpg.jpg
"14"" Buffalo Plaid Snowman Stump, 2 Asst",5724-8,, ,,,,,,,4.00,8.85,12.00,8.00,,,4.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item5724-8.jpg.jpg,Item5724-8.jpg.jpg,,,delton800,Item5724-8.jpg.jpg
"Doll Stand for Doll 15"" - 27""",3005-0,, ,,,,,,,2.00,1.65,24.00,1.52,,,2.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item3005-0.jpg.jpg,Item3005-0.jpg.jpg,,,delton800,Item3005-0.jpg.jpg
"Porcelain Tea Set in Basket, Pansy",8146-7,, ,,,,,,,2.00,20.88,8.00,19.80,,,2.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item8146-7.jpg.jpg,Item8146-7.jpg.jpg,,,delton800,Item8146-7.jpg.jpg
"4.2"" Porcelain Large Milk Mug, Pink Peony",8153-6,, ,,,,,,,2.00,7.25,6.00,6.60,,,2.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item8153-6.jpg.jpg,Item8153-6.jpg.jpg,,,delton800,Item8153-6.jpg.jpg
"CLEARANCE 17"" Waffle Sitting Bead Leg Moose",5592-8,,Regular Price $7.65,,5.49,,,,,6.00,7.65,,,,,6.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item5592-8.jpg.jpg,Item5592-8.jpg.jpg,,,delton800,Item5592-8.jpg.jpg
"CLEARANCE 8"" Porcelain 2-Plate Set In Gift Box, Butterfly",8123-4,,Regular Price $9.98,,6.99,,,,,4.00,9.98,,,,,4.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item8123-4REV.jpg.jpg,Item8123-4REV.jpg.jpg,,,delton800,Item8123-4REV.jpg.jpg
"Doll Stand for Doll 12"" - 15""",3003-0,, ,,,,,,,2.00,1.50,24.00,1.38,,,2.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item3003-0.jpg.jpg,Item3003-0.jpg.jpg,,,delton800,Item3003-0.jpg.jpg
"14"" Apple Dumplin Pink Garden",4264-3,, ,,,,,,,2.00,11.35,6.00,10.75,,,2.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item4264-3.jpg.jpg,Item4264-3.jpg.jpg,,,delton800,Item4264-3.jpg.jpg
"CLEARANCE 2.8"" Porcelain Tea Cup/Saucer, English Rose",8092-6,,Regular Price $7.50,,5.49,,,,,4.00,7.50,,,,,4.00,delton400,delton160,https://delton.cameoez.com/images/imgLarge/Item8092-6.jpg.jpg,Item8092-6.jpg.jpg,,,delton800,Item8092-6.jpg.jpg
