Cowgirl 1/2 Lb Chocolate Sampler,143,"Can't decide whether you want the Truffles or the Solid Chocolate Daisies? Now you can sample both in our 1/2 Lb gift box. Comes with a 1/4 Lb assortment of truffles and a 1/4 lb assortment of Solid Chocolate Daisies all tied up with a bow, gift card and western style button. Choose Spicy and Mild, all Spicy or all Mild.",1,$20.00,"['<Select One>', 'Spicy Assorted', 'Spicy and Mild Assorted', 'Mild Assorted']",https://www.cowgirlchocolates.com/products/143.jpg
Cowgirl 1/2 Lb Chocolate Sampler,143,"Can't decide whether you want the Truffles or the Solid Chocolate Daisies? Now you can sample both in our 1/2 Lb gift box. Comes with a 1/4 Lb assortment of truffles and a 1/4 lb assortment of Solid Chocolate Daisies all tied up with a bow, gift card and western style button. Choose Spicy and Mild, all Spicy or all Mild.",1,$20.00,"['<Select One>', 'Spicy Assorted', 'Spicy and Mild Assorted', 'Mild Assorted']",https://www.cowgirlchocolates.com/products/143.jpg
Cowgirl Holiday Wrap Truffle Box,32,"Our Holiday Wrap Gift Box...Your favorite truffles custom gift wrapped in our gorgeous gold metallic or green gift wrap. Available in a 1/3 pound, 1/2 pound or 1 pound size. Each box is tied off with a ribbon and our signature logo gift card and one of our decorative western buttons.",1,$14.95,"['<Select One>', '1/3 lb (12 pieces) $14.95', '1/2 lb (19 pieces)\n- Add $5.00', '1 lb (38 pieces)\n- Add $21.05', '<Select One>', 'Spicy Assorted', 'Spicy Double Dark', 'Spicy Hazelnut Milk', 'Spicy Raspberry Dark', 'Spicy Cappuccino', 'Mild Assorted', 'Mild Double Dark', 'Mild Milk Chocolate', 'Mild Raspberry Lemonade', 'Mild Ivory Orange', 'Spicy Mild Assorted', 'Truffle Sampler w/Caramels', '<Select One>', 'Green on Gold', 'Green on Green']",https://www.cowgirlchocolates.com/products/32.jpg
Cowgirl Holiday Wrap Truffle Box,32,"Our Holiday Wrap Gift Box...Your favorite truffles custom gift wrapped in our gorgeous gold metallic or green gift wrap. Available in a 1/3 pound, 1/2 pound or 1 pound size. Each box is tied off with a ribbon and our signature logo gift card and one of our decorative western buttons.",1,$14.95,"['<Select One>', '1/3 lb (12 pieces) $14.95', '1/2 lb (19 pieces)\n- Add $5.00', '1 lb (38 pieces)\n- Add $21.05', '<Select One>', 'Spicy Assorted', 'Spicy Double Dark', 'Spicy Hazelnut Milk', 'Spicy Raspberry Dark', 'Spicy Cappuccino', 'Mild Assorted', 'Mild Double Dark', 'Mild Milk Chocolate', 'Mild Raspberry Lemonade', 'Mild Ivory Orange', 'Spicy Mild Assorted', 'Truffle Sampler w/Caramels', '<Select One>', 'Green on Gold', 'Green on Green']",https://www.cowgirlchocolates.com/products/32.jpg
Cowgirl 1/4 pound Gift Box,109,"9 truffles in our signature red gift box with black grosgrain ribbon, western style button and gift card.",1,$10.95,"['<Select One>', 'Spicy Assorted', 'Spicy Double Dark', 'Spicy Hazelnut Milk', 'Spicy Raspberry Dark', 'Spicy Cappuccino', 'Mild Assorted', 'Mild Double Dark', 'Mild Milk Chocolate', 'Mild Raspberry Lemonade', 'Mild Ivory Orange', 'Spicy Mild Assorted', 'Truffle Sampler w/Caramels']",https://www.cowgirlchocolates.com/products/109.jpg
Cowgirl 1/4 pound Gift Box,109,"9 truffles in our signature red gift box with black grosgrain ribbon, western style button and gift card.",1,$10.95,"['<Select One>', 'Spicy Assorted', 'Spicy Double Dark', 'Spicy Hazelnut Milk', 'Spicy Raspberry Dark', 'Spicy Cappuccino', 'Mild Assorted', 'Mild Double Dark', 'Mild Milk Chocolate', 'Mild Raspberry Lemonade', 'Mild Ivory Orange', 'Spicy Mild Assorted', 'Truffle Sampler w/Caramels']",https://www.cowgirlchocolates.com/products/109.jpg
Cowgirl 2 Piece Gift Box,104,"2 truffles in a small red gift box with grosgrain ribbon. A simple but elegant party favor.

Looking for wedding Favors? We can help. Click here...",1,$3.00,"['<Select One>', 'Spicy Assorted', 'Spicy and Mild Assorted', 'Mild Assorted']",https://www.cowgirlchocolates.com/products/104.jpg
Cowgirl 2 Piece Gift Box,104,"2 truffles in a small red gift box with grosgrain ribbon. A simple but elegant party favor.

Looking for wedding Favors? We can help. Click here...",1,$3.00,"['<Select One>', 'Spicy Assorted', 'Spicy and Mild Assorted', 'Mild Assorted']",https://www.cowgirlchocolates.com/products/104.jpg
Cowgirl 1/2 pound Gift Box,93,Assorted Truffles in a kraft corrugated cutout box with polka dot grosgrain ribbon and gift card.,1,$17.50,"['<Select One>', 'Spicy Assorted', 'Spicy and Mild Assorted', 'Mild Assorted']",https://www.cowgirlchocolates.com/products/93.jpg
Cowgirl 1/2 pound Gift Box,93,Assorted Truffles in a kraft corrugated cutout box with polka dot grosgrain ribbon and gift card.,1,$17.50,"['<Select One>', 'Spicy Assorted', 'Spicy and Mild Assorted', 'Mild Assorted']",https://www.cowgirlchocolates.com/products/93.jpg
