"Blue Glass Lampshade 10"" Drum",0DBJ0007,"Blue Glass Lampshade 10"" Drum","10"" Drum","Our Tea Dyed Blue Glass lampshade is made of cotton. This lampshade is a 10"". Our lampshades are self bias trimmed and side stitched down the body. Our 10"" shade measures top - 4"", bottom 10"", height 8"".",,,,,,,2,$15.25 ,,,,,,Raghu400,Raghu160,https://www.hcbyraghu.com/images/2018/0DBJ0007.jpg,0DBJ0007.jpg,,,Raghu800,0DBJ0007.jpg
"Old Crow Lampshade 10"" Drum",0DBJ0010,"Old Crow Lampshade 10"" Drum","10"" Drum","Our Tea Dyed Old Crow lampshade is made of cotton. This lampshade is a 10"". Our lampshades are self bias trimmed and side stitched down the body. Our 10"" shade measures top - 4"", bottom 10"", height 8"".",,,,,,,2,$15.25 ,,,,,,Raghu400,Raghu160,https://www.hcbyraghu.com/images/2018/0DBJ0010.jpg,0DBJ0010.jpg,,,Raghu800,0DBJ0010.jpg
"Heritage House Check Lampshade 10"" Regular Clip Black",0R100011,"Heritage House Check Lampshade 10"" Regular Clip Black","10"" Regular Clip","Our Black Heritage House Check lampshade is made of cotton. This is a 10"" shade. Our lampshades are self bias trimmed and side stitched down the body. Our 10"" shade measures 4"" across the top, 10"" at the bottom and 8"" high.",,,,,,,2,$11.50 ,,,,,,Raghu400,Raghu160,https://www.hcbyraghu.com/images/2018/0R100011.jpg,0R100011.jpg,,,Raghu800,0R100011.jpg
"Heritage House Check Lampshade 10"" Regular Clip Barn Red",0R100017,"Heritage House Check Lampshade 10"" Regular Clip Barn Red","10"" Regular Clip","Our Barn Red Heritage House Check lampshade is made of cotton. This is a 10"" shade. Our lampshades are self bias trimmed and side stitched down the body. Our 10"" shade measures 4"" across the top, 10"" at the bottom and 8"" high.",,,,,,,2,$11.50 ,,,,,,Raghu400,Raghu160,https://www.hcbyraghu.com/images/2018/0R100017.jpg,0R100017.jpg,,,Raghu800,0R100017.jpg
"Pineapple Town Lampshade 10"" Regular Clip Mocha",0R101033,"Pineapple Town Lampshade 10"" Regular Clip Mocha","10"" Regular Clip","Our Mocha - Black Pineapple Town lampshade is made of cotton. This lampshade is a 10"". Our lampshades are self bias trimmed and side stitched down the body. Our 10"" shade measures top - 4"", bottom 10"", height 8"".",,,,,,,2,$12.00 ,,,,,,Raghu400,Raghu160,https://www.hcbyraghu.com/images/2018/0R101033.jpg,0R101033.jpg,,,Raghu800,0R101033.jpg
"Lover's Knot Jacquard Lampshade 10"" Regular Clip",0R130011,"Lover's Knot Jacquard Lampshade 10"" Regular Clip","10"" Regular Clip","Our Black Lover's Knot Jacquard lampshade is a jacquard. This is a 10"" shade. Our lampshades are self bias trimmed and side stitched down the body. Our 10"" shade measures 4"" across the top, 10"" at the bottom and 8"" high.",,,,,,,2,$13.70 ,,,,,,Raghu400,Raghu160,https://www.hcbyraghu.com/images/2018/0R130011.jpg,0R130011.jpg,,,Raghu800,0R130011.jpg
"Summerville Lampshade 10"" Regular Clip Colonial Blue-Osenburg",0R168014,"Summerville Lampshade 10"" Regular Clip Colonial Blue-Osenburg","10"" Regular Clip","Our Colonial Blue-Osenburg Summerville lampshade is made of cotton. Our lampshades are self bias trimmed and side stitched down the body. Our 10 inche shade measures top - 9 Inches, bottom 10 Inches, height 8 Inches",,,,,,,2,$11.50 ,,,,,,Raghu400,Raghu160,https://www.hcbyraghu.com/images/2018/0R168014.jpg,0R168014.jpg,,,Raghu800,0R168014.jpg
"Summerville Pewter-Cream 10"" Clip Shade",0R168065,"Summerville Pewter-Cream 10"" Clip Shade","10"" Regular Clip","Our 10"" shade measures 4"" across the top, 10"" at the bottom and 8"" high.",,,,,,,2,$11.50 ,,,,,,Raghu400,Raghu160,https://www.hcbyraghu.com/images/2018/0R168065.jpg,0R168065.jpg,,,Raghu800,0R168065.jpg
"Bradford Oat Lampshade 10"" Regular Clip",0R180023,"Bradford Oat Lampshade 10"" Regular Clip","10"" Regular Clip","The Oat Bradford Oat Lampshade is made of cotton. Size is 10"" shade. Our lampshades are self bias trimmed and side stitched down the body. Our 10"". regular clip shade is 4"". across the top , 10"" at the botton and 8"" high.",,,,,,,2,$11.50 ,,,,,,Raghu400,Raghu160,https://www.hcbyraghu.com/images/2018/0R180023.jpg,0R180023.jpg,,,Raghu800,0R180023.jpg
"Burlap Stripe Lampshade 10"" Regular Clip Black",0R190011,"Burlap Stripe Lampshade 10"" Regular Clip Black","10"" Regular Clip","The Burlap Stripe Lampshade is made of cotton. This is a 10"" shade. Our lampshades are self bias trimmed and side stitched down the body. Our 10"" shade measures 4"" across the top, 10"" at the bottom and 8"" high.",,,,,,,2,$11.75 ,,,,,,Raghu400,Raghu160,https://www.hcbyraghu.com/images/2018/0R190011.jpg,0R190011.jpg,,,Raghu800,0R190011.jpg
