"13X13X21""H METAL 3-D MORAVIAN STAR CUT OUT W/ROPE HANGER RED 6/24 EA LIST PRICE: $7.75 EA $7.75 MIN 6 EA $6.98 MIN 12 EA $6.20 MIN 24 EA",CHA409,Back to A Holly Jolly Christmas,,Out of Stock,,,,,,6,$7.75 ,12,$6.98 ,24,$6.20 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA409.JPG,CHA409.JPG,6.09016E+11,,DCI800,CHA409.JPG
"11.5X11.5X18.5""H METAL 3-D MORAVIAN STAR CUT OUT W/ROPE HANGER GALVANIZED 6/24 EA LIST PRICE: $6.25 EA $6.25 MIN 6 EA $5.63 MIN 12 EA $5.00 MIN 24 EA",CHA410,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$6.25 ,12,$5.63 ,24,$5.00 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA410.JPG,CHA410.JPG,6.09016E+11,,DCI800,CHA410.JPG
"9X9X15.5""H METAL 3-D MORAVIAN STAR CUT OUT W/ROPE HANGER WHITE 6/24 EA LIST PRICE: $4.50 EA $4.50 MIN 6 EA $4.05 MIN 12 EA $3.60 MIN 24 EA",CHA411,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$4.50 ,12,$4.05 ,24,$3.60 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA411.JPG,CHA411.JPG,6.09016E+11,,DCI800,CHA411.JPG
"14.5X14.5X20""H METAL 3-D METAL SNOWFLAKE W/ROPE HANGER RED 6/24 EA LIST PRICE: $7.75 EA $7.75 MIN 6 EA $6.98 MIN 12 EA $6.20 MIN 24 EA",CHA412,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$7.75 ,12,$6.98 ,24,$6.20 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA412.JPG,CHA412.JPG,6.09016E+11,,DCI800,CHA412.JPG
10.5X10.5X14:H METAL 3-D METAL SNOWFLAKE W/ROPE HANGER GALVANIZED 6/24 EA LIST PRICE: $6.25 EA $6.25 MIN 6 EA $5.63 MIN 12 EA $5.00 MIN 24 EA,CHA413,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$6.25 ,12,$5.63 ,24,$5.00 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA413.JPG,CHA413.JPG,6.09016E+11,,DCI800,CHA413.JPG
"9X9X12""H METAL 3-D METAL SNOWFLAKE W/ROPE HANGER WHITE 6/24 EA LIST PRICE: $4.50 EA $4.50 MIN 6 EA $4.05 MIN 12 EA $3.60 MIN 24 EA",CHA414,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$4.50 ,12,$4.05 ,24,$3.60 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA414.JPG,CHA414.JPG,6.09016E+11,,DCI800,CHA414.JPG
"34X0.5X7""H METAL MERRY BANNER RED/GALVANIZED 6/12 EA LIST PRICE: $8.25 EA $8.25 MIN 12 EA $7.43 MIN 24 EA $6.60 MIN 48 EA",CHA416,Back to A Holly Jolly Christmas,,In Stock,,,,,,12,$8.25 ,24,$7.43 ,48,$6.60 ,12,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA416.JPG,CHA416.JPG,6.09016E+11,,DCI800,CHA416.JPG
"66X1X9""H METAL HOHOHO BANNER RED/WHITE 4/8 EA LIST PRICE: $13.75 EA $13.75 MIN 8 EA $12.38 MIN 16 EA $11.00 MIN 32 EA",CHA418,Back to A Holly Jolly Christmas,,In Stock,,,,,,8,$13.75 ,16,$12.38 ,32,$11.00 ,8,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA418.JPG,CHA418.JPG,6.09016E+11,,DCI800,CHA418.JPG
"7X7X9""H METAL JINGLE BELL W/ROPE HANGER GALVANIZED 0/8 EA LIST PRICE: $8.45 EA $8.45 MIN 8 EA $7.61 MIN 16 EA $6.76 MIN 32 EA",CHA419,Back to A Holly Jolly Christmas,,In Stock,,,,,,8,$8.45 ,16,$7.61 ,32,$6.76 ,8,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA419.JPG,CHA419.JPG,6.09016E+11,,DCI800,CHA419.JPG
"7X7X9""H METAL JINGLE BELL W/ROPE HANGER RED 0/8 EA LIST PRICE: $8.45 EA $8.45 MIN 8 EA $7.61 MIN 16 EA $6.76 MIN 32 EA",CHA420,Back to A Holly Jolly Christmas,,In Stock,,,,,,8,$8.45 ,16,$7.61 ,32,$6.76 ,8,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA420.JPG,CHA420.JPG,6.09016E+11,,DCI800,CHA420.JPG
"7X7X9""H METAL JINGLE BELL W/ROPE HANGER WHITE 0/8 EA LIST PRICE: $8.45 EA $8.45 MIN 8 EA $7.61 MIN 16 EA $6.76 MIN 32 EA",CHA421,Back to A Holly Jolly Christmas,,Out of Stock,,,,,,8,$8.45 ,16,$7.61 ,32,$6.76 ,8,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA421.JPG,CHA421.JPG,6.09016E+11,,DCI800,CHA421.JPG
"9X9X11.5""H METAL JINGLE BELL W/ROPE HANGER GALVANIZED 0/4 EA LIST PRICE: $11.50 EA $11.50 MIN 4 EA $10.35 MIN 8 EA $9.20 MIN 16 EA",CHA422,Back to A Holly Jolly Christmas,,Out of Stock,,,,,,4,$11.50 ,8,$10.35 ,16,$9.20 ,4,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA422.JPG,CHA422.JPG,6.09016E+11,,DCI800,CHA422.JPG
"9X9X11.5""H METAL JINGLE BELL W/ROPE HANGER RED 0/4 EA LIST PRICE: $11.50 EA $11.50 MIN 4 EA $10.35 MIN 8 EA $9.20 MIN 16 EA",CHA423,Back to A Holly Jolly Christmas,,In Stock,,,,,,4,$11.50 ,8,$10.35 ,16,$9.20 ,4,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA423.JPG,CHA423.JPG,6.09016E+11,,DCI800,CHA423.JPG
"9X9X11.5""H METAL JINGLE BELL W/ROPE HANGER WHITE 0/4 EA LIST PRICE: $11.50 EA $11.50 MIN 4 EA $10.35 MIN 8 EA $9.20 MIN 16 EA",CHA424,Back to A Holly Jolly Christmas,,In Stock,,,,,,4,$11.50 ,8,$10.35 ,16,$9.20 ,4,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA424.JPG,CHA424.JPG,6.09016E+11,,DCI800,CHA424.JPG
"8.5X2X23.5""H METAL RED CANDY CANE W/GALVANIZED RIBBON BOW 0/6 EA LIST PRICE: $9.25 EA $9.25 MIN 6 EA $8.33 MIN 12 EA $7.40 MIN 24 EA",CHA425,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$9.25 ,12,$8.33 ,24,$7.40 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CHA425.JPG,CHA425.JPG,6.09016E+11,,DCI800,CHA425.JPG
