Twin Pack Wax Melts,2PWM,"  Home > 2 Pack Wax Melts >

  Twin Pack Wax Melts","Here is a great way to buy your wax melts while you save money.  Two wax melts for the low price of $6.99 and as always these wax melts includes free first class shipping.

CLICK HERE TO PICK YOUR SCENTS",1,Our Price: $8.50,http://cdn3.volusion.com/dctgu.wdpxo/v/vspfiles/photos/2PWM-2.jpg?1432698112,"Wax Melt 1:
Apple Spice
Bamboo
Bayberry
Blue Spruce
Blueberry Cobbler
Caramelize Praline
Christmas Hearth
Christmas Tree
Clean Cotton
Cranberry Marmalade
Gingerbread House
Hazelnut Coffee
Hearts and Flowers
Honey Suckle Jasmine
Juniper Breeze
Lavender Vanilla
Lilac
Love Spell
Macintosh Apple
Plumberry
Plumeria
Pumpkin Souffle
Rose
Strawberry
Sun Ripened Raspberry
Very Vanilla
  
Wax Melt 2:
Apple Spice
Bamboo
Bayberry
Blue Spruce
Blueberry Cobbler
Caramelize Praline
Christmas Hearth
Christmas Tree
Clean Cotton
Cranberry Marmalade
Gingerbread House
Hazelnut Coffee
Hearts and Flowers
Honey Suckle Jasmine
Juniper Breeze
Lavender Vanilla
Lilac
Love Spell
Macintosh Apple
Plumberry
Plumeria
Pumpkin Souffle
Rose
Strawberry
Sun Ripened Raspberry
Very Vanilla
  "
3 Pack Wax Melts,3PWM,"  Home >

  3 Pack Wax Melts",Here is a great way to buy your wax melts while you save money.  Three wax melts for the low price of $11.99 and as always these wax melts includes free first class shipping.,1,Our Price: $13.50,http://cdn3.volusion.com/dctgu.wdpxo/v/vspfiles/photos/3PWM-2.jpg?1432698112,"Wax Melt 1:
Apple Spice
Bamboo
Bayberry
Blue Spruce
Blueberry Cobbler
Caramelize Praline
Christmas Hearth
Christmas Tree
Clean Cotton
Cranberry Marmalade
Gingerbread House
Hazelnut Coffee
Hearts and Flowers
Honey Suckle Jasmine
Juniper Breeze
Lavender Vanilla
Lilac
Love Spell
Macintosh Apple
Plumberry
Plumeria
Pumpkin Souffle
Rose
Strawberry
Sun Ripened Raspberry
Very Vanilla
  
Wax Melt 2:
Apple Spice
Bamboo
Bayberry
Blue Spruce
Blueberry Cobbler
Caramelize Praline
Christmas Hearth
Christmas Tree
Clean Cotton
Cranberry Marmalade
Gingerbread House
Hazelnut Coffee
Hearts and Flowers
Honey Suckle Jasmine
Juniper Breeze
Lavender Vanilla
Lilac
Love Spell
Macintosh Apple
Plumberry
Plumeria
Pumpkin Souffle
Rose
Strawberry
Sun Ripened Raspberry
Very Vanilla
  
Wax Melt 3:
Apple Spice
Bamboo
Bayberry
Blue Spruce
Blueberry Cobbler
Caramelize Praline
Christmas Hearth
Christmas Tree
Clean Cotton
Cranberry Marmalade
Gingerbread House
Hazelnut Coffee
Hearts and Flowers
Honey Suckle Jasmine
Juniper Breeze
Lavender Vanilla
Lilac
Love Spell
Macintosh Apple
Plumberry
Plumeria
Pumpkin Souffle
Rose
Strawberry
Sun Ripened Raspberry
Very Vanilla
  "
6 Pack Wax Melts,6PWM,"  Home > Wax Melts >

  6 Pack Wax Melts","Here is a great way to buy your wax melts while you save money. Six wax melts for the low price of $24.50 and as always these wax melts includes free priority shipping.



Click to Pick Your Scents",1,Our Price: $27.00,http://cdn3.volusion.com/dctgu.wdpxo/v/vspfiles/photos/6PWM-2.jpg?1432698112,"Wax Melt 1:
Apple Spice
Bamboo
Bayberry
Blue Spruce
Blueberry Cobbler
Caramelize Praline
Christmas Hearth
Christmas Tree
Clean Cotton
Cranberry Marmalade
Gingerbread House
Hazelnut Coffee
Hearts and Flowers
Honey Suckle Jasmine
Juniper Breeze
Lavender Vanilla
Lilac
Love Spell
Macintosh Apple
Plumberry
Plumeria
Pumpkin Souffle
Rose
Strawberry
Sun Ripened Raspberry
Very Vanilla
  
Wax Melt 2:
Apple Spice
Bamboo
Bayberry
Blue Spruce
Blueberry Cobbler
Caramelize Praline
Christmas Hearth
Christmas Tree
Clean Cotton
Cranberry Marmalade
Gingerbread House
Hazelnut Coffee
Hearts and Flowers
Honey Suckle Jasmine
Juniper Breeze
Lavender Vanilla
Lilac
Love Spell
Macintosh Apple
Plumberry
Plumeria
Pumpkin Souffle
Rose
Strawberry
Sun Ripened Raspberry
Very Vanilla
  
Wax Melt 3:
Apple Spice
Bamboo
Bayberry
Blue Spruce
Blueberry Cobbler
Caramelize Praline
Christmas Hearth
Christmas Tree
Clean Cotton
Cranberry Marmalade
Gingerbread House
Hazelnut Coffee
Hearts and Flowers
Honey Suckle Jasmine
Juniper Breeze
Lavender Vanilla
Lilac
Love Spell
Macintosh Apple
Plumberry
Plumeria
Pumpkin Souffle
Rose
Strawberry
Sun Ripened Raspberry
Very Vanilla
  
Wax Melt 4:
Apple Spice
Bamboo
Banana Nut Bread
Bayberry
Blue Spruce
Blueberry Cobbler
Caramelize Praline
Christmas Hearth
Christmas Tree
Clean Cotton
Cranberry Marmalade
English Garden
Fig Tree
Fraiser Fir
Gingerbread House
Hazelnut Coffee
Hearts and Flowers
Honey Suckle Jasmine
Juniper Breeze
Lavender Vanilla
Lilac
Love Spell
Macintosh Apple
Plumberry
Plumeria
Pumpkin Souffle
Rose
Strawberry
Sun Ripened Raspberry
Very Vanilla
  
Wax Melt 5:
Apple Spice
Bamboo
Banana Nut Bread
Bayberry
Blue Spruce
Blueberry Cobbler
Caramelize Praline
Christmas Hearth
Christmas Tree
Clean Cotton
Cranberry Marmalade
English Garden
Fig Tree
Fraiser Fir
Gingerbread House
Hazelnut Coffee
Hearts and Flowers
Honey Suckle Jasmine
Juniper Breeze
Lavender Vanilla
Lilac
Love Spell
Macintosh Apple
Plumberry
Plumeria
Pumpkin Souffle
Rose
Strawberry
Sun Ripened Raspberry
Very Vanilla
  
Wax Melt 6:
Apple Spice
Bamboo
Banana Nut Bread
Bayberry
Blue Spruce
Blueberry Cobbler
Caramelize Praline
Christmas Hearth
Christmas Tree
Clean Cotton
Cranberry Marmalade
English Garden
Fig Tree
Fraiser Fir
Gingerbread House
Hazelnut Coffee
Hearts and Flowers
Honey Suckle Jasmine
Juniper Breeze
Lavender Vanilla
Lilac
Love Spell
Macintosh Apple
Plumberry
Plumeria
Pumpkin Souffle
Rose
Strawberry
Sun Ripened Raspberry
Very Vanilla
  "
Bamboo Wax Melts,BAT,"  Home > Wax Melts >

  Bamboo Wax Melts",None,1,Our Price: $4.75,http://cdn3.volusion.com/dctgu.wdpxo/v/vspfiles/photos/BAT-2.jpg?1432698112,None
Bayberry Wax Melts,BBT,"  Home > Wax Melts >

  Bayberry Wax Melts",None,1,Our Price: $4.75,http://cdn3.volusion.com/dctgu.wdpxo/v/vspfiles/photos/BBT-2.jpg?1432698112,None
Blueberry Cobbler Wax Melts,BCT,"  Home > Wax Melts >

  Blueberry Cobbler Wax Melts",None,1,Our Price: $4.75,http://cdn3.volusion.com/dctgu.wdpxo/v/vspfiles/photos/BCT-2.jpg?1432698112,None
Caramelized Praline Tarts,CPT,"  Home > Wax Melts >

  Caramelized Praline Tarts",None,1,Our Price: $4.75,http://cdn3.volusion.com/dctgu.wdpxo/v/vspfiles/photos/CPT-2.jpg?1432698112,None
Christmas Hearth Wax Melts,CHT,"  Home > Wax Melts >

  Christmas Hearth Wax Melts",None,1,Our Price: $4.75,http://cdn3.volusion.com/dctgu.wdpxo/v/vspfiles/photos/CHT-2.jpg?1432698112,None
Christmas Tree Wax Melts,CTT,"  Home > Wax Melts >

  Christmas Tree Wax Melts",None,1,Our Price: $4.75,http://cdn3.volusion.com/dctgu.wdpxo/v/vspfiles/photos/CTT-2.jpg?1432698112,None
Clean Cotton Wax Melts,CCT,"  Home > Wax Melts >

  Clean Cotton Wax Melts",None,1,Our Price: $4.75,http://cdn3.volusion.com/dctgu.wdpxo/v/vspfiles/photos/CCT-2.jpg?1432698112,None
