TNB-535 Christmas Trivet/Basket,56-535C,,"Trivets In A Basket With Christmas Design
100% Natural Jute 
Six 10"" Round Trivets With Matching Basket 
Red and Green
Art by Sandy Clough ",,,,,,,1,$20.81 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/56-535C_900x.jpg?v=1571272943 900w,56-535C_900x.jpg?v=1571272943 900w,,,Cap 800,56-535C_900x.jpg?v=1571272943 900w
SCP-390 Cranberries Slice,32-390CB,,"18""x29"" Hand Printed Slice Rug
Artwork by Harry W. Smith",,,,,,,1,$11.73 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/32-390C_900x.jpg?v=1578154832 900w,32-390C_900x.jpg?v=1578154832 900w,,,Cap 800,32-390C_900x.jpg?v=1578154832 900w
WW-1032 Original Flag,86-1032,,,,,,,,,1,$1.91 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/WW-1032_Original_Flag_Collage_900x.jpg?v=1571272950 900w,WW-1032_Original_Flag_Collage_900x.jpg?v=1571272950 900w,,,Cap 800,WW-1032_Original_Flag_Collage_900x.jpg?v=1571272950 900w
UBP-043 Black Bears Large Utility Baskets,38-UBPLG043BB,,"Jute Braided Utility Baskets With Black Bears Design
100% Natural Jute
Burgundy, Blue and Gray",,,,,,,1,$35.42 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/38-UBPLG043BB_3a0a13fd-409c-4d77-897c-edd8769467b4_900x.jpg?v=1671215068 900w,38-UBPLG043BB_3a0a13fd-409c-4d77-897c-edd8769467b4_900x.jpg?v=1671215068 900w,,,Cap 800,38-UBPLG043BB_3a0a13fd-409c-4d77-897c-edd8769467b4_900x.jpg?v=1671215068 900w
DBP-357 Burgundy Stars,63-P357DBS,,"18""x28"" Jute Braided Dog Bone Shaped Rug",,,,,,,1,$10.58 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/63-P357DBS_900x.jpg?v=1571272868 900w,63-P357DBS_900x.jpg?v=1571272868 900w,,,Cap 800,63-P357DBS_900x.jpg?v=1571272868 900w
OP-344 Farmhouse Cow,65-344FHC,,"20""x30"" Hand Stenciled Oval Patch Braided Rug
Artwork by Susan Burd",,,,,,,1,$13.24 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/65-344FHC_900x.jpg?v=1578070923 900w,65-344FHC_900x.jpg?v=1578070923 900w,,,Cap 800,65-344FHC_900x.jpg?v=1578070923 900w
IC-238 Cape Cod Coaster,31-IC238CC,,"Round Hand Stenciled Coaster with Cape Cod Design 
100% Natural Jute
2 Sizes Available 
Extremely Durable
Gray and Black
Art by Harry W. Smith ",,,,,,,1,$0.88 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/31-IC238CC_900x.jpg?v=1612219989 900w,31-IC238CC_900x.jpg?v=1612219989 900w,,,Cap 800,31-IC238CC_900x.jpg?v=1612219989 900w
,57-019BM,,"15"" Round Printed Placemat",,,,,,,1,$5.54 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/57-019BM_900x.jpg?v=1578063989 900w,57-019BM_900x.jpg?v=1578063989 900w,,,Cap 800,57-019BM_900x.jpg?v=1578063989 900w
LC-650 Big Foot Coaster,79-650BF,,"Round Hand Stenciled Coaster with Big Foot Design 
100% Natural Jute
Extremely Durable
Green and Natural",,,,,,,1,$1.91 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/79-650BF_4c38ea9f-6912-4c7c-983b-6a1801dea896_900x.jpg?v=1671211583 900w,79-650BF_4c38ea9f-6912-4c7c-983b-6a1801dea896_900x.jpg?v=1671211583 900w,,,Cap 800,79-650BF_4c38ea9f-6912-4c7c-983b-6a1801dea896_900x.jpg?v=1671211583 900w
DBP-099 Black Stars,63-P099DBS,,"18""x28"" Jute Braided Dog Bone Shaped Rug",,,,,,,1,$10.58 ,,,,,1,Cap 400,Cap 160, //cdn.shopify.com/s/files/1/0640/1197/products/63-P099DBS_900x.jpg?v=1571272944 900w,63-P099DBS_900x.jpg?v=1571272944 900w,,,Cap 800,63-P099DBS_900x.jpg?v=1571272944 900w
