C2134 Fiona the Gnome,C2134,,,,,,,,,3,13.5,12,12.15,,,3,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3526/8295/C2134__46488.1621346753.jpg,C2134__46488.1621346753.jpg,,,Honeyme800,C2134__46488.1621346753.jpg
C2135 Gidget the Gnome,C2135,,,,,,,,,3,13.5,12,12.15,,,3,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3527/8296/C2135__85646.1621346887.jpg,C2135__85646.1621346887.jpg,,,Honeyme800,C2135__85646.1621346887.jpg
C2136 Winter Gnome Ornament Set (4A),C2136,,,,,,,,,2,21.5,8,19.35,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3528/8297/C2136__83158.1621347006.jpg,C2136__83158.1621347006.jpg,,,Honeyme800,C2136__83158.1621347006.jpg
C2137 Bingles the Gnome Tree Hugger,C2137,,,,,,,,,2,17,8,15.3,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3529/8298/C2137__03903.1621347113.jpg,C2137__03903.1621347113.jpg,,,Honeyme800,C2137__03903.1621347113.jpg
C2138 Winkler the Gnome Tree Hugger,C2138,,,,,,,,,2,17,8,15.3,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3530/8299/C2138__20429.1621347343.jpg,C2138__20429.1621347343.jpg,,,Honeyme800,C2138__20429.1621347343.jpg
C2139 Aspen the Snowy Snowman,C2139,,,,,,,,,3,13.5,12,12.15,,,3,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3531/8300/C2139__90204.1621347770.jpg,C2139__90204.1621347770.jpg,,,Honeyme800,C2139__90204.1621347770.jpg
C2140 Slope the Snowy Snowman,C2140,,,,,,,,,3,13.5,12,12.15,,,3,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3532/8301/C2140__57549.1621348011.jpg,C2140__57549.1621348011.jpg,,,Honeyme800,C2140__57549.1621348011.jpg
C2141 Rocky the Snowy Snowman,C2141,,,,,,,,,3,13.5,12,12.15,,,3,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3533/8302/C2141__06693.1621348123.jpg,C2141__06693.1621348123.jpg,,,Honeyme800,C2141__06693.1621348123.jpg
C2142 Ice the Snowy Snowman,C2142,,,,,,,,,4,10.75,16,9.675,,,4,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3534/8303/C2142__78189.1621348243.jpg,C2142__78189.1621348243.jpg,,,Honeyme800,C2142__78189.1621348243.jpg
C2143 Slush the Snowy Snowman,C2143,,,,,,,,,4,10.75,16,9.675,,,4,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3535/8304/C2143__56862.1621351417.jpg,C2143__56862.1621351417.jpg,,,Honeyme800,C2143__56862.1621351417.jpg
