Sutter Creek Medium Basket Planter,5010,Basket and Basket Holders,"The excitement is building at J&J Wire, Inc. with our new line of Sutter Creek outdoor products that will be available late June 2017.  Gardening can take time that you don’t have, so why not purchase this item to finish off your empty space in your garden, it will provide an instant pop of color when you go to your local garden center and purchase a 10″ floral basket that fits perfectly in this solid wrought iron basket.  You can also purchase 9″ pottery and simply add your own flowers.  Easy three prong bottom slips into the ground to hold your display.  This is one of my favorites and I am sure that it will be yours also.  It arrives in two poeces taht slide together with ease.  Durable outdoor black powder-coat finish.  Medium planter is 23″T and the basket is 9 1/2″W x 5″D.   This product is proudly designed and made in the USA by J&J Wire, Inc.  You will be able to purchase this product in late June 2017 in a variety of different options, 1 large #5005, 1 medium #5010, 1 large and two medium baskets #5025 or 1 large and 1 medium basket #5030.",,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2017/05/2017-05-02-14.11.40-1-e1494872004453.jpg,2017-05-02-14.11.40-1-e1494872004453.jpg,,,jjwire800,2017-05-02-14.11.40-1-e1494872004453.jpg,
Sutter Creek Large Basket Planter,5005,Basket and Basket Holders,,,,,,,,,,,,,,,jjwire400,jjwire160,https://jjwire.biz/wp-content/uploads/2017/05/2017-05-02-14.11.40-1-e1494872004453.jpg,2017-05-02-14.11.40-1-e1494872004453.jpg,,,jjwire800,2017-05-02-14.11.40-1-e1494872004453.jpg,
Extra Hook for #325N & #325B,325HK,Kitchen Racks and Accessories,,,,,,,,,,,,,,,jjwire400,jjwire160,,,,,jjwire800,,
Extra Hook for #326,326HK,Kitchen Racks and Accessories,,,,,,,,,,,,,,,jjwire400,jjwire160,,,,,jjwire800,,
