"45"" PELICAN WINDCHIME",20948,,WINDCHIME IS 45 INCHES LONG MADE OUT OF WOOD IN A PELICAN DESIGN WITH A WHITE WASH FINISH. PACKAGED BULK BAGGED.,Out of Stock,,,,,,1,17.85,3,13.95,12,11.15,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/20948.jpg,20948.jpg,,,JDYEATTS800,20948.jpg
"36"" BAMBOO AND WOOD WINDCHIME",23795,,"36 INCH X 8"" DIAMETER BAMBOO AND WOOD TURTLE WINDCHIME. PACKED BULK",Out of Stock,,,,,,1,11,3,8.6,12,6.9,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/23795.jpg,23795.jpg,,,JDYEATTS800,23795.jpg
36 INCH COCO CHIME WITH TURTLE DESIGN,23798,,36 X 6 INCH DIAMETER COCO CHIME WITH TURTLE DESIGN. BULK PACKED.,Out of Stock,,,,,,1,9.6,3,7.5,12,6,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/23798.jpg,23798.jpg,,,JDYEATTS800,23798.jpg
"36"" WICKER BIRDHOUSE WINDCHIME 2-ASST",88009,,BIRDHOUSE WINDCHIME IS 36 INCHES LONG MADE OUT OF WICKER AND BAMBOO IN TWO ASSORTED SHAPES IN A NATURAL COLOR. PACKAGED BULK WITH A HANG TAG.,Out of Stock,,,,,,1,7.3,4,5.7,14,4.55,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/88009.jpg,88009.jpg,,,JDYEATTS800,88009.jpg
"39"" PELICAN WINDCHIME",20189,,PELICAN WINDCHIME IS 39 INCHES LONG MADE OUT OF BAMBOO TUBES. PACKAGED BULK.,Out of Stock,,,,,,1,17.8,3,13.9,12,11.1,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/20189.jpg,20189.jpg,,,JDYEATTS800,20189.jpg
"40"" TURTLE WINDCHIME",20190,,TURTLE WINDCHIME IS 40 INCHES LONG MADE OUT OF PAINTED BAMBOO TUBES. PACKAGED BULK.,Out of Stock,,,,,,1,17.8,3,13.9,6,11.1,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/20190.jpg,20190.jpg,,,JDYEATTS800,20190.jpg
"24"" CARVED CARDINAL WINDCHIME",23745,,CARDINAL WINDCHIME IS 24 INCHES LONG MADE OUT OF PAINTED CARVED WOOD. PACKAGED BULK.,Out of Stock,,,,,,1,13.8,4,10.8,15,8.6,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/23745.jpg,23745.jpg,,,JDYEATTS800,23745.jpg
"31"" CARVED FLAMINGO WINDCHIME",23752,,FLAMINGO WINDCHIME IS 31 INCHES LONG MADE OUT OF PAINTED CARVED WOOD. PACKAGED BULK.,Out of Stock,,,,,,1,15,3,11.75,12,9.4,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/23752.jpg,23752.jpg,,,JDYEATTS800,23752.jpg
"36"" BAMBOO FLIP FLOP CHIME",23803,,BAMBOO AND WOOD FLIP FLOP CHIME IS 4-2/3 x 36 INCHES. BULK PACKED.,Out of Stock,,,,,,1,9.6,5,7.5,10,6,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/23803.jpg,23803.jpg,,,JDYEATTS800,23803.jpg
"10"" BEACH BUS 3-ASST",61141,,"BEACH BUS IS 10 x 4-1/4 x 6-1/4 INCHES MADE OUT OF METAL IN THREE ASSORTED.PACKAGED IN A BROWN BOX, 3 BOXES BUNDLED.",Out of Stock,,,,,,1,22,3,17.2,12,13.75,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/61141.jpg,61141.jpg,,,JDYEATTS800,61141.jpg
"12"" BEACH WALL PLAQUE 2-ASST",23676,,BEACH WALL PLAQUE IS 12 x 9-1/2 INCHES MADE OUT OF WOOD IN TWO ASSORTED INCLUDING BEACH HOUSE AND MY HEART IS AT THE BEACH. PACKAGED BULK.,Out of Stock,,,,,,1,10,4,7.8,12,6.25,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/23676.jpg,23676.jpg,,,JDYEATTS800,23676.jpg
"12"" MYRTLE BEACH PALM TREE BOTTLE 2-ASST",MB10011,,DECORATIVE MYRTLE BEACH PALM TREE BOTTLE IS 2-3/4 x 12-3/4 INCHES MADE OUT OF PAINTED GLASS IN 2 ASSORTED. PACKAGED BULK.,In Stock,,,,,,1,3.7,3,2.9,12,2.3,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/MB10011.jpg,MB10011.jpg,,,JDYEATTS800,MB10011.jpg
FLIP FLOP WINDCHIME 4-ASST,65525,,"FLIP FLOP WINDCHIMES ARE 6 x 15-1/2 INCHES MADE OUT OF METAL AND GLASS IN FOUR ASSORTED COLORS INCLUDING BLUE, GREEN, YELLOW, AND ORANGE. PACKAGED BULK.",Out of Stock,,,,,,1,7.3,8,5.7,24,4.55,,JDYEATTS400,JDYEATTS160,https://www.jdyeatts.com/pictures/65525.jpg,65525.jpg,,,JDYEATTS800,65525.jpg
