" Product Detail - Bamboo w//Melo Hanging Decor -
33-35""L",SA 1806,"Bamboo w//Melo Hanging Decor - 33-35""L

Bring the beach home with this fun and funky hand-crafted hanging decor. Great for decorating your outdoor living space.",None,1,$3.95,http://www.beachcombertrading.com/DSN/wwwbeachcomberscatalogcom/Commerce/ProductImages/lg000111.jpg
" Product Detail - Bamboo w/Capiz Hanging Decor -
42-44""L",SA 1737,"Bamboo w/Capiz Hanging Decor - 42-44""L

Individually hand-crafted with ever popular capiz shells, accented with tiny shells and a starfish!",None,1,$6.95,http://www.beachcombertrading.com/DSN/wwwbeachcomberscatalogcom/Commerce/ProductImages/lg000108.jpg
" Product Detail - Bamboo w/Ensomada Hanging Decor -
33-35""L",SA 1804,"Bamboo w/Ensomada Hanging Decor - 33-35""L

Bring the beach home with this fun and funky hand-crafted hanging decor. Great for decorating your outdoor living space.",None,1,$3.95,http://www.beachcombertrading.com/DSN/wwwbeachcomberscatalogcom/Commerce/ProductImages/lg000109.jpg
" Product Detail - Bamboo w/Tonna Sulcosa Hanging Decor -
33-35""L",SA 1805,"Bamboo w/Tonna Sulcosa Hanging Decor - 33-35""L

Bring the beach home with this fun and funky hand-crafted hanging decor. Great for decorating your outdoor living space.",None,1,$3.95,http://www.beachcombertrading.com/DSN/wwwbeachcomberscatalogcom/Commerce/ProductImages/lg000110.jpg
" Product Detail - Bamboo w//Melo Hanging Decor -
33-35""L",SA 1806,"Bamboo w//Melo Hanging Decor - 33-35""L

Bring the beach home with this fun and funky hand-crafted hanging decor. Great for decorating your outdoor living space.",None,1,$3.95,http://www.beachcombertrading.com/DSN/wwwbeachcomberscatalogcom/Commerce/ProductImages/lg000111.jpg
" Product Detail - Bamboo w/Capiz Hanging Decor -
42-44""L",SA 1737,"Bamboo w/Capiz Hanging Decor - 42-44""L

Individually hand-crafted with ever popular capiz shells, accented with tiny shells and a starfish!",None,1,$6.95,http://www.beachcombertrading.com/DSN/wwwbeachcomberscatalogcom/Commerce/ProductImages/lg000108.jpg
" Product Detail - Bamboo w/Ensomada Hanging Decor -
33-35""L",SA 1804,"Bamboo w/Ensomada Hanging Decor - 33-35""L

Bring the beach home with this fun and funky hand-crafted hanging decor. Great for decorating your outdoor living space.",None,1,$3.95,http://www.beachcombertrading.com/DSN/wwwbeachcomberscatalogcom/Commerce/ProductImages/lg000109.jpg
" Product Detail - Bamboo w/Tonna Sulcosa Hanging Decor -
33-35""L",SA 1805,"Bamboo w/Tonna Sulcosa Hanging Decor - 33-35""L

Bring the beach home with this fun and funky hand-crafted hanging decor. Great for decorating your outdoor living space.",None,1,$3.95,http://www.beachcombertrading.com/DSN/wwwbeachcomberscatalogcom/Commerce/ProductImages/lg000110.jpg
" Product Detail - Abalone Shell Dish w/Silver Trim - 9-10""W",SF 150,"Abalone Shell Dish w/Silver Trim - 9-10""W

This naturally beautiful abalone shell is trimmed in genuine silver and has pearl designed feet making it a perfect serving dish.

This is a natural product so each piece will have its own unique characteristics.

May be hand washed in warm soapy water. Not dishwasher safe.",None,1,$13.00,http://www.beachcombertrading.com/DSN/wwwbeachcomberscatalogcom/Commerce/ProductImages/lg000088.jpg
" Product Detail - Abalone Shell Dish w/Silver Trim - 9-10""W",SF 150,"Abalone Shell Dish w/Silver Trim - 9-10""W

This naturally beautiful abalone shell is trimmed in genuine silver and has pearl designed feet making it a perfect serving dish.

This is a natural product so each piece will have its own unique characteristics.

May be hand washed in warm soapy water. Not dishwasher safe.",None,1,$13.00,http://www.beachcombertrading.com/DSN/wwwbeachcomberscatalogcom/Commerce/ProductImages/lg000088.jpg
