british bear glass ornament,LC7134,,,,,,,"glass, glitter and flocking. 4 1/4"" x 2 1/2"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7134-317x378.jpg,LC7134-317x378.jpg,,,Bethany800,LC7134-317x378.jpg
santa’s stocking ornament,LC7135,,,,,,,"glass, bottle brush, faux fur, and greenery. 6 1/4"" x 2 1/2"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7135-317x378.jpg,LC7135-317x378.jpg,,,Bethany800,LC7135-317x378.jpg
santa’s pinecone sleigh ornament,LC7136,,,,,,,"glass, glitter, wire and greenery. 6"" x 5 1/2"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7136-317x378.jpg,LC7136-317x378.jpg,,,Bethany800,LC7136-317x378.jpg
santa’s robe ornament,LC7137,,,,,,,"glass and flocking. 3 1/2"" x 4"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7137-317x378.jpg,LC7137-317x378.jpg,,,Bethany800,LC7137-317x378.jpg
christmas mail ornament,LC7138,,,,,,,"glass, bottle brush, beads and glitter. 4"" x 2 1/4"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7138-317x378.jpg,LC7138-317x378.jpg,,,Bethany800,LC7138-317x378.jpg
cheerful snowman with wreath glass ornament,LC7139,,,,,,,"glass, glitter, bottle brush, beads and tinsel. 6"" x 2 1/2"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7139-317x378.jpg,LC7139-317x378.jpg,,,Bethany800,LC7139-317x378.jpg
lovely snow girl glass ornament,LC7140,,,,,,,"mercury glass. 4"" x 2 1/4"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7140-317x378.jpg,LC7140-317x378.jpg,,,Bethany800,LC7140-317x378.jpg
happy snowman glass ornament,LC7141,,,,,,,"glass and glitter. 4"" x 3"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/12/LC7141-317x378.jpg,LC7141-317x378.jpg,,,Bethany800,LC7141-317x378.jpg
retro van ornament,LC7143,,,,,,,"glass, bottle brush, beads and glitter. 3 3/4"" x 2 1/4"".",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7143-317x378.jpg,LC7143-317x378.jpg,,,Bethany800,LC7143-317x378.jpg
pearl and gold bead garland 6′,LC7064,,,,,,,"3/4"" glass beads. 6' length.",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7064-317x378.jpg,LC7064-317x378.jpg,,,Bethany800,LC7064-317x378.jpg
old gold star garland 7′,LC7108,,,,,,,mdf and glitter. 7'.,,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7108-317x378.jpg,LC7108-317x378.jpg,,,Bethany800,LC7108-317x378.jpg
traditional geometric glass bead garland 6′,LC7126,,,,,,,"3/4"" glass beads. 6' length.",,,,,,,,,Bethany400,Bethany160,https://bethanylowe.com/media/2017/11/LC7126-317x378.jpg,LC7126-317x378.jpg,,,Bethany800,LC7126-317x378.jpg
