Beach,"Used Horseshoe deocrated with barbed wire, sea shells and metal, stone and glass beads.   You can choose the tag of ""Toes in the water, Ass in the sand"" or  ""Life's a Beach"" across the toe of the shoe",http://www.the-lucky-horse.com/images/1441318490282-228268198.jpeg,"B0LB
"
Long Live Cowboys,"Brown barnwood pattern, spent brass and a bronc metal dangle with the tag that reads ""Long Live Cowboys"". Tag that reads ""Rodeo"" also available, please specify- otherwise ""Long Live Cowboys"" is default. ",http://www.the-lucky-horse.com/images/1441410447339-694279389.jpeg,"BBLC
"
To the Moon and Back," Used Horseshoe decorated with a Brown Barnwood pattern, a metal cut-out of a kissing couple and a ""To the Moon and Back"" tag  ",http://www.the-lucky-horse.com/images/14413198113201809903744.jpeg,"BBMB
"
"Two Hearts, One Love"," Used Horseshoe decorated with a Tooled Leather pattern, a metal cut-out of a kissing couple and a ""Two Hearts, One Love"" tag  ",http://www.the-lucky-horse.com/images/14414062182281062607628.jpeg,"BTTH
"
Chanel," A used horseshoe with black and white victorian pattern background.  On the toe of the shoe is the tag, ""A girl should be two things, Who and what she wants.""  A Chanel style flower and a black suede tassel along with black, white and brass beads.",http://www.the-lucky-horse.com/images/1441320253829-1068479230.jpeg,"CCTT
"
Cowboys and Angels,"A used horseshoe with ""Cowboys and Angels"" Across the toe.  Decorated with a metal cut-out ""Kissing Couple"" camo, spent brass and glass, metal, and porcelain beads.",http://www.the-lucky-horse.com/images/1441321268714-1696805126.jpeg,"CGCA
"
Green Camo,"Used Horseshoe with green camouflage on the tips. Choose from ""Bless this hunter"" across the toe or a cowskull and bullets.   Deocrated with wire, spent brass casings, and metal, stone and glass beads.",http://www.the-lucky-horse.com/images/1441321709785674519171.jpeg,"CGCS
"
Spread your Wings and Fly,"Used horseshoe in a funky bird pattern with love birds across the sole and a tag that reads ""Spread your Wings and Fly"". ",http://www.the-lucky-horse.com/images/1441324399582-1351751605.jpeg,"FBSW
"
Bless This House- Tony Curtis Collection,Proudly presenting the Tony Curtis Collection!,http://www.the-lucky-horse.com/images/14413197650621162849203.jpeg,"LL-Horse Head Charm
"
Bless This House- Tony Curtis Collection,Proudly presenting the Tony Curtis Collection!,http://www.the-lucky-horse.com/images/14413197650621162849203.jpeg,"LL-Horse Head Charm
"
Bless This House- Tony Curtis Collection,Proudly presenting the Tony Curtis Collection!,http://www.the-lucky-horse.com/images/14413197650621162849203.jpeg,"LL-Horse Head Charm
"
Bless This House- Tony Curtis Collection,Proudly presenting the Tony Curtis Collection!,http://www.the-lucky-horse.com/images/14413197650621162849203.jpeg,"LL-Horse Head Charm
"
Bless This House- Tony Curtis Collection,Proudly presenting the Tony Curtis Collection!,http://www.the-lucky-horse.com/images/14413197650621162849203.jpeg,"LL-Horse Head Charm
"
Bless This House- Tony Curtis Collection,Proudly presenting the Tony Curtis Collection!,http://www.the-lucky-horse.com/images/14413197650621162849203.jpeg,"LL-Horse Head Charm
"
Bless This House- Tony Curtis Collection,Proudly presenting the Tony Curtis Collection!,http://www.the-lucky-horse.com/images/14413197650621162849203.jpeg,"LL-Horse Head Charm
"
Bless This House- Tony Curtis Collection,Proudly presenting the Tony Curtis Collection!,http://www.the-lucky-horse.com/images/14413197650621162849203.jpeg,"LL-Horse Head Charm
"
Wedding Lace,Gray Lace is a used horseshoe with silver flowers pearl and crystal beads.,http://www.the-lucky-horse.com/images/1441322063941-1312052733.jpeg,"LL- Lucky Heart Collection
"
Wedding Lace,Gray Lace is a used horseshoe with silver flowers pearl and crystal beads.,http://www.the-lucky-horse.com/images/1441322063941-1312052733.jpeg,"LL- Lucky Heart Collection
"
Wedding Lace,Gray Lace is a used horseshoe with silver flowers pearl and crystal beads.,http://www.the-lucky-horse.com/images/1441322063941-1312052733.jpeg,"LL- Lucky Heart Collection
"
Wedding Lace,Gray Lace is a used horseshoe with silver flowers pearl and crystal beads.,http://www.the-lucky-horse.com/images/1441322063941-1312052733.jpeg,"LL- Lucky Heart Collection
"
Wedding Lace,Gray Lace is a used horseshoe with silver flowers pearl and crystal beads.,http://www.the-lucky-horse.com/images/1441322063941-1312052733.jpeg,"LL- Lucky Heart Collection
"
Wedding Lace,Gray Lace is a used horseshoe with silver flowers pearl and crystal beads.,http://www.the-lucky-horse.com/images/1441322063941-1312052733.jpeg,"LL- Lucky Heart Collection
"
Buffalo Spirit,"A Native American type print with a leather Buffalo accent and a tag that reads ""May the Great Spirit Bless All Who Enter Here"".",http://www.the-lucky-horse.com/images/1441408481551-1099485269.jpeg,"NABS
"
Peacock," A used horseshoe with a real peacock feather and charm, glass, metal and porcelain beads.  ",http://www.the-lucky-horse.com/images/1441322609565796566803.jpeg,"P1P1
"
Bless This House- Red Barnwood,"A used Horseshoe with the Red Barnwood style and a metal ""Bless This House"" across the sole.",http://www.the-lucky-horse.com/images/14413189234911230428623.jpeg,"RBBW
"
Bless This House- Tony Curtis Collection,Proudly presenting the Tony Curtis Collection!,http://www.the-lucky-horse.com/images/14413197650621162849203.jpeg,"TC-BH
"
Bless my Rescue Animals,"SHow your rescue pride! Pawprint patteren with a dog, cat and cross charm, tag reads ""Bless my Rescue Animals"".",http://www.the-lucky-horse.com/images/1441406859657409216602.jpeg,"TC-CAT
"
Bless my Rescue Animals,"SHow your rescue pride! Pawprint patteren with a dog, cat and cross charm, tag reads ""Bless my Rescue Animals"".",http://www.the-lucky-horse.com/images/1441406859657409216602.jpeg,"TC-CAT
"
Bless my Rescue Animals,"SHow your rescue pride! Pawprint patteren with a dog, cat and cross charm, tag reads ""Bless my Rescue Animals"".",http://www.the-lucky-horse.com/images/1441406859657409216602.jpeg,"TC-CAT
"
Bless my Rescue Animals,"SHow your rescue pride! Pawprint patteren with a dog, cat and cross charm, tag reads ""Bless my Rescue Animals"".",http://www.the-lucky-horse.com/images/1441406859657409216602.jpeg,"TC-CAT
"
Turquoise," Used Horseshoe deocrated with Turquoise pattern and metal, leather, stone and glass beads and a ""Strength"" tag"".",http://www.the-lucky-horse.com/images/14413238973581669990154.jpeg,"TFFS
"
How Beautiful Life is...,"Tooled Leather with a tag that reads ""How Beautiful Life is When You Are in the World"".",http://www.the-lucky-horse.com/images/1441410809471-1885021778.jpeg,"TLHB
"
Faith,"Used Horseshoe deocrated with Pewter plaque with the Lords prayer, and metal, stone and glass beads.  Choose cross or no cross from the dropdown menu.",http://www.the-lucky-horse.com/images/1441321550132820460155.jpeg,"WRFC
"
Talkin' to the Boss,"Used Horseshoe decorated with barbed wire a metal praying cowboy anda tag which reads ""Talkin' to the Boss"".",http://www.the-lucky-horse.com/images/14413206637021971645740.jpeg,"WRTM
"
