13993,"Sonnet Angels are free standing and comprised of hand-painted resin and hand-bent wire wings. Each figurine is inscribed with an inspirational message.

Height: 9.5""
Width: 4.5""
Depth: 3""",http://www.carsonhomeaccents.com/images/13993_l.jpg,"Sonnet Angels ""Memories"" Figurine",13993,"Sonnet Angels are free standing and comprised of hand-painted resin and hand-bent wire wings. Each figurine is inscribed with an inspirational message.

Height: 9.5""
Width: 4.5""
Depth: 3""",http://www.carsonhomeaccents.com/images/13993_l.jpg
11204,"Stake Plaque is made of cement with inscription on the face.

Height: 29.5""
Width: 5""
Depth: 0.75""",http://www.carsonhomeaccents.com/images/11204_l.jpg,"Small Reflections ""Family"" Stake Plaque",11204,"Stake Plaque is made of cement with inscription on the face.

Height: 29.5""
Width: 5""
Depth: 0.75""",http://www.carsonhomeaccents.com/images/11204_l.jpg
11202,"Stake Plaque is made of cement with inscription on the face.

Height: 29.5""
Width: 5""
Depth: 0.75""",http://www.carsonhomeaccents.com/images/11202_l.jpg,"Small Reflections ""Our Hearts"" Stake Plaque",11202,"Stake Plaque is made of cement with inscription on the face.

Height: 29.5""
Width: 5""
Depth: 0.75""",http://www.carsonhomeaccents.com/images/11202_l.jpg
60043,Metal cross wrapped in wire and beads. Sawtooth hanger on the back.,http://www.carsonhomeaccents.com/images/60043_l.jpg,Beadworks™ Amber/Cream Cross,60043,Metal cross wrapped in wire and beads. Sawtooth hanger on the back.,http://www.carsonhomeaccents.com/images/60043_l.jpg
12761,"Beadworks™ Pedestal Cross is crafted from wire and beads, and has a removable pedestal base.

Dimensions: 4"" W x 8"" H x 2.75"" D",http://www.carsonhomeaccents.com/images/12761_l.jpg,Beadworks™ Green Pedestal Cross,12761,"Beadworks™ Pedestal Cross is crafted from wire and beads, and has a removable pedestal base.

Dimensions: 4"" W x 8"" H x 2.75"" D",http://www.carsonhomeaccents.com/images/12761_l.jpg
12766,"Beadworks™ Pedestal Cross is crafted from wire and beads, and has a removable pedestal base.

Dimensions: 4"" W x 8"" H x 2.75"" D",http://www.carsonhomeaccents.com/images/12766_l.jpg,Beadworks™ Pink Pedestal Cross,12766,"Beadworks™ Pedestal Cross is crafted from wire and beads, and has a removable pedestal base.

Dimensions: 4"" W x 8"" H x 2.75"" D",http://www.carsonhomeaccents.com/images/12766_l.jpg
12765,"Beadworks™ Pedestal Cross is crafted from wire and beads, and has a removable pedestal base.

Dimensions: 4"" W x 8"" H x 2.75"" D",http://www.carsonhomeaccents.com/images/12765_l.jpg,Beadworks™ Turquoise Pedestal Cross,12765,"Beadworks™ Pedestal Cross is crafted from wire and beads, and has a removable pedestal base.

Dimensions: 4"" W x 8"" H x 2.75"" D",http://www.carsonhomeaccents.com/images/12765_l.jpg
31276,"Summer bold brights and water colored inspired polyblends for easy wear. This tunic has a chiffon bottom trim.

MATERIAL: 95% viscose , 5% spandex",http://www.carsonhomeaccents.com/images/31276_l.jpg,Kaleidoscope Purple Tunic with Swirl Studs- SMALL,31276,"Summer bold brights and water colored inspired polyblends for easy wear. This tunic has a chiffon bottom trim.

MATERIAL: 95% viscose , 5% spandex",http://www.carsonhomeaccents.com/images/31276_l.jpg
12763,"Beadworks™ Pedestal Cross is crafted from wire and beads, and has a removable pedestal base.

Dimensions: 4"" W x 8"" H x 2.75"" D",http://www.carsonhomeaccents.com/images/12763_l.jpg,Beadworks™ Turquoise and Copper Pedestal Cross,12763,"Beadworks™ Pedestal Cross is crafted from wire and beads, and has a removable pedestal base.

Dimensions: 4"" W x 8"" H x 2.75"" D",http://www.carsonhomeaccents.com/images/12763_l.jpg
60029,Solid beaded cross with wire and gem accents.,http://www.carsonhomeaccents.com/images/60029_l.jpg,Beadworks™ Pearl Cross,60029,Solid beaded cross with wire and gem accents.,http://www.carsonhomeaccents.com/images/60029_l.jpg
60028,Solid beaded cross with wire and gem accents.,http://www.carsonhomeaccents.com/images/60028_l.jpg,Beadworks™ Pink Cross,60028,Solid beaded cross with wire and gem accents.,http://www.carsonhomeaccents.com/images/60028_l.jpg
60079,"Handcrafted wire cross with marbles.

Dimensions: Large Cross 11.5"" H
Small Cross 8"" H",http://www.carsonhomeaccents.com/images/60079_l.jpg,Blue Marble Cross Set,60079,"Handcrafted wire cross with marbles.

Dimensions: Large Cross 11.5"" H
Small Cross 8"" H",http://www.carsonhomeaccents.com/images/60079_l.jpg
60078,"Handcrafted wire cross with marbles.

Dimensions: Large Cross 11.5"" H
Small Cross 8"" H",http://www.carsonhomeaccents.com/images/60078_l.jpg,Green Marble Cross Set,60078,"Handcrafted wire cross with marbles.

Dimensions: Large Cross 11.5"" H
Small Cross 8"" H",http://www.carsonhomeaccents.com/images/60078_l.jpg
