General Robert E. Lee,1289,,"Garden flags are 12"" X 18"" and House Flags are 28"" X 40""",,,,,,,,,,,,,,colorfulgarden400,colorfulgarden160,https://www.colorful-garden.com/assets/images/Lee%20Confederate-GF.jpg,Lee%20Confederate-GF.jpg,,,colorfulgarden800,Lee%20Confederate-GF.jpg,
German Shepherd -- Black,928,,"Garden, House, Mini and Deluxe Available",,,,,,,,,,,,,,colorfulgarden400,colorfulgarden160,https://www.colorful-garden.com/assets/images/GermanShepherdBlack.jpeg,GermanShepherdBlack.jpeg,,,colorfulgarden800,GermanShepherdBlack.jpeg,
Go Red,328,,"12"" X 18""",,,,,,,,,,,,,,colorfulgarden400,colorfulgarden160,https://www.colorful-garden.com/assets/images/products/328-GoRed.jpg,328-GoRed.jpg,,,colorfulgarden800,328-GoRed.jpg,
Golf Ball,528,,"12"" X 18""",,,,,,,,,,,,,,colorfulgarden400,colorfulgarden160,https://www.colorful-garden.com/assets/images/products/528-Golf%20Ball.jpg,528-Golf%20Ball.jpg,,,colorfulgarden800,528-Golf%20Ball.jpg,
Grey Diamond G,728,,,,,,,,,,,,,,,,colorfulgarden400,colorfulgarden160,https://www.colorful-garden.com/assets/images/products/728-grey%20diamond%20g.jpg,728-grey%20diamond%20g.jpg,,,colorfulgarden800,728-grey%20diamond%20g.jpg,
Harvest Melody,1282,,"Garden flags are 12"" X 18"" and House Flags are 28"" X 40""",,,,,,,,,,,,,,colorfulgarden400,colorfulgarden160,https://www.colorful-garden.com/assets/images/Harvest.jpg,Harvest.jpg,,,colorfulgarden800,Harvest.jpg,
Hummingbird Fuchsia,284,,"12"" X 18""",,,,,,,,,,,,,,colorfulgarden400,colorfulgarden160,https://www.colorful-garden.com/assets/images/products/284-HummingbirdFuschsia-Bev.jpg,284-HummingbirdFuschsia-Bev.jpg,,,colorfulgarden800,284-HummingbirdFuschsia-Bev.jpg,
Hummingbirds,281,,"12"" X 18""",,,,,,,,,,,,,,colorfulgarden400,colorfulgarden160,https://www.colorful-garden.com/assets/images/products/281-Hummingbirds-Bev.jpg,281-Hummingbirds-Bev.jpg,,,colorfulgarden800,281-Hummingbirds-Bev.jpg,
Joshua Chamberlain Union General,1288,,"Garden flags are 12"" X 18"" and House Flags are 28"" X 40""",,,,,,,,,,,,,,colorfulgarden400,colorfulgarden160,https://www.colorful-garden.com/assets/images/Gettysburg%20ChamberlinUnion-GF.jpg,Gettysburg%20ChamberlinUnion-GF.jpg,,,colorfulgarden800,Gettysburg%20ChamberlinUnion-GF.jpg,
Live Laugh Lounge,287,,"12"" X 18""",,,,,,,,,,,,,,colorfulgarden400,colorfulgarden160,https://www.colorful-garden.com/assets/images/products/SU32_BEV-live-laugh-lounge.jpg,SU32_BEV-live-laugh-lounge.jpg,,,colorfulgarden800,SU32_BEV-live-laugh-lounge.jpg,
