Two Willies Flameless Pillar Candle,CHD738,,"This hand-painted glass pillar features two snowmen, with an LED ""flame"" for a festive glow. Includes 5-hour timer. Battery-operated. Product Dimensions: 4”W x 7.75”H",STOCK,,,https://www.acheerfulgiver.com/two-willies-flameless-pillar-candle.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/c/h/chd738.jpg,chd738.jpg,,,ACG800,chd738.jpg
Classic Christmas Ornament,CHD731,,"This hand-painted glass ornament features a Classic Christmas design, with interior LED fairy lights for a festive glow. Includes 5-hour timer. Battery-operated. Product Dimensions: 5.5”W x 6”H x 5.5""D",STOCK,,,https://www.acheerfulgiver.com/classic-christmas-ornament.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/c/h/chd731.jpg,chd731.jpg,,,ACG800,chd731.jpg
Praline Caramel Sticky Buns Simplicity Lantern 16oz.,JLLB41,,"Let our Simplicity Candle Lanterns brighten your next garden party or family outdoor gathering! These rustic hanging candle lanterns look great inside or outside. These decorative outdoor candle lanterns come in many fragrances and are 16oz. with an 80 hour burn time.
Praline Caramel Sticky Buns fragrance consists of an irresistible, baked blend of warm vanilla caramel with dark brown sugar and butter drenched pecans.",STOCK,,,https://www.acheerfulgiver.com/praline-caramel-sticky-buns-simplicity-lantern-16oz.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/p/r/praline-caramel-simplicity.jpg,praline-caramel-simplicity.jpg,,,ACG800,praline-caramel-simplicity.jpg
Hydrangea Candle Ring,CR96,,"Inner diameter measures 4.75"".
Recommended for use with jar candles only.
Made in China.
Please follow safe candle burning guidelines. Never subject a candle ring to a direct flame.",STOCK,,,https://www.acheerfulgiver.com/hydrangea-candle-ring.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/c/r/cr96.jpg,cr96.jpg,,,ACG800,cr96.jpg
Autumn Candle Ring,CR97,,"Red, yellow, and orange blooms tie together wonderfully to add a bountiful ambiance to your fall decor. Inner diameter measures 4.75"".
Recommended for use with jar candles only.
Made in China.
Please follow safe candle burning guidelines. Never subject a candle ring to a direct flame.",STOCK,,,https://www.acheerfulgiver.com/autumn-candle-ring.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/c/r/cr97.jpg,cr97.jpg,,,ACG800,cr97.jpg
Golden Holly and Pinecones Candle Ring,CR93,,"Sprigs of holly mingle with pine cones and golden pip berries. Inner diameter measures 4.75"".
Recommended for use with jar candles only.
Made in China.
Please follow safe candle burning guidelines. Never subject a candle ring to a direct flame.",STOCK,,,https://www.acheerfulgiver.com/golden-holly-and-pinecones-candle-ring.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/c/r/cr93.jpg,cr93.jpg,,,ACG800,cr93.jpg
3 Sheets to the Wind Cheerful Candle Fragrance Melts,M134,,"3 Sheets to the Wind smells like a fresh and clean blend of lilacs, magnolias, and rose petals intermingled with juicy peach and warm amber musk.
Each box contains (6) Melts.
These highly fragranced melts will fill your room with True To Life Fragrances™.",STOCK,,,https://www.acheerfulgiver.com/3-sheets-to-the-wind-cheerful-candle-fragrance-melts.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/m/1/m134-3-sheets-to-the-wind.jpg,m134-3-sheets-to-the-wind.jpg,,,ACG800,m134-3-sheets-to-the-wind.jpg
Slice of Paradise Cheerful Candle Fragrance Melts,M138,,"Slice of Paradise is tropical pineapple and juicy watermelon with a hint of vanilla sugar.
Each box contains (6) Melts.
These highly fragranced melts will fill your room with True To Life Fragrances™.",STOCK,,,https://www.acheerfulgiver.com/slice-of-paradise-cheerful-candle-fragrance-melts.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/m/1/m138-slice-of-paradise.jpg,m138-slice-of-paradise.jpg,,,ACG800,m138-slice-of-paradise.jpg
Holly Tree Cheerful Candle 24oz.,CC100,,"Holly Tree fragrance consists of holly berries, cinnamon, clove, and vanilla.
24-ounce candle burns for approximately 135 hours.
Two wicks for a complete and even wax pool.
Our NEW True to Life Fragrances will fill the air and warm your heart all at the same time! ",STOCK,,,https://www.acheerfulgiver.com/holly-tree-cheerful-candle-24oz.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/c/c/cc100-holly-tree.jpg,cc100-holly-tree.jpg,,,ACG800,cc100-holly-tree.jpg
Cranberry Orange Farm Fresh Candle,FF77,,"Cranberry Orange fragrance consists of cranberry, sweet orange, cinnamon & clove.
20-ounce candle burns for approximately 95 hours.
Two wicks for optimal scent throw, in addition to a complete and even burn.
Farmhouse-inspired ceramic can has a distressed vintage finish.
Measures 4"" in diameter and 4.5"" tall.
""True to Life"" fragrances as if they were fresh from your local farmer.",STOCK,,,https://www.acheerfulgiver.com/cranberry-orange-farm-fresh-candle.html,,,1,99,,,,,1,ACG400,ACG160,https://www.acheerfulgiver.com/pub/media/catalog/product/cache/536dd5c33a1ef21ac58e513d61416e9b/f/f/ff77-cranberry-orange.jpg,ff77-cranberry-orange.jpg,,,ACG800,ff77-cranberry-orange.jpg
