AM1046-NAP,Item Size (WxHxL):11.50 x 29.00 x 2.500 in,AM1046-NAP|||Item Information______________________|Item Size (WxHxL):11.50 x 29.00 x 2.500 in|Item Weight: 3.7500 lbs|Item Material: 100% WOOD|Item Color: RED|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 4|Inner Qty:|Case Size (HxWxD): 11.5in x 4.5in x 30.5in|Case Weight: 16.45 lbs||Order Info______________|Minimum Order Quantity: 2||0,http://images.repzio.com/productimages/928/AM1046-NAP_lg.jpg
BY1000,Item Size (WxHxL):25.50 x 28.25 x 1.500 in,BY1000|Industrial Window Pane Mirror||Item Information______________________|Item Size (WxHxL):25.50 x 28.25 x 1.500 in|Item Weight: 19.0000 lbs|Item Material: 80% MTL 20% GLASS|Item Color: BLACK|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 1|Inner Qty:|Case Size (HxWxD): 30.3in x 2.3in x 28in|Case Weight: lbs||Order Info______________|Minimum Order Quantity: 2||0,http://images.repzio.com/productimages/928/BY1000_lg.jpg
BY1001,Item Size (WxHxL):14.75 x 21.75 x 18.00 in,BY1001|Ranch Style Water Pump||Item Information______________________|Item Size (WxHxL):14.75 x 21.75 x 18.00 in|Item Weight: 4.1000 lbs|Item Material: 95% MTL 5% PLASTIC|Item Color: GREEN|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: YES||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 1|Inner Qty:|Case Size (HxWxD): 15in x 15in x 19.25in|Case Weight: 4.5 lbs||Order Info______________|Minimum Order Quantity: 2||0,http://images.repzio.com/productimages/928/BY1001_lg.jpg
BY1002,Item Size (WxHxL):14.50 x 32.00 x 32.00 in,"BY1002|Galvanized Farmstyle Wash Tubs||Item Information______________________|Item Size (WxHxL):14.50 x 32.00 x 32.00 in|Item Weight: 21.2500 lbs|Item Material: 90% MTL 10% WD|Item Color: GREY / BLACK|Details 1:|Details 2:|Other Sizes: SM: 13.25 X 28 X 32 ~8.5 LBS|Other Sizes:Add 11"" for Handles|Assembly Required: YES||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 1|Inner Qty:|Case Size (HxWxD): 41.25in x 15in x 16.5in|Case Weight: 22 lbs||Order Info______________|Minimum Order Quantity: 2||0",http://images.repzio.com/productimages/928/BY1002_lg.jpg
BY1005,Item Size (WxHxL):2.500 x 4.000 x 5.000 in,BY1005|Galvanized Salt-Pepper Caddy||Item Information______________________|Item Size (WxHxL):2.500 x 4.000 x 5.000 in|Item Weight: 0.8000 lbs|Item Material: 80% Mtl 10% Glass 10% Wd|Item Color: Grey|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 48|Inner Qty: 1|Case Size (HxWxD): 17.3in x 11.4in x 11.4in|Case Weight: 5.1 lbs||Order Info______________|Minimum Order Quantity: 4||0,http://images.repzio.com/productimages/928/BY1005_lg.jpg
BY1006,Item Size (WxHxL):24.00 x 24.00 x 6.000 in,BY1006|Mirror Set with Urban Accent||Item Information______________________|Item Size (WxHxL):24.00 x 24.00 x 6.000 in|Item Weight: 24.6000 lbs|Item Material: 80% Mtl 20% Glass|Item Color: Black|Details 1:|Details 2:|Other Sizes: MD: 5.5 x 20 x 20|Other Sizes:SM: 5 x 16 x 16|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 1|Inner Qty:|Case Size (HxWxD): 26.8in x 27.6in x 8.7in|Case Weight: 4.4 lbs||Order Info______________|Minimum Order Quantity: 2||0,http://images.repzio.com/productimages/928/BY1006_lg.jpg
BY1007,Item Size (WxHxL):15.00 x 28.00 x 15.00 in,BY1007|Fountain with farmhouse charm!||Item Information______________________|Item Size (WxHxL):15.00 x 28.00 x 15.00 in|Item Weight: 5.8000 lbs|Item Material: 100% Metal|Item Color: Green / Grey|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: YES||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 1|Inner Qty:|Case Size (HxWxD): 15.4in x 19.5in x 15.4in|Case Weight: 4.4 lbs||Order Info______________|Minimum Order Quantity: 2||0,http://images.repzio.com/productimages/928/BY1007_lg.jpg
BY1008,Item Size (WxHxL):32.75 x 20.25 x 17.75 in,BY1008|Adorable Cart for flower favs!||Item Information______________________|Item Size (WxHxL):32.75 x 20.25 x 17.75 in|Item Weight: 25.2000 lbs|Item Material: 50% Wood 50% Metal|Item Color: Brown / Black|Details 1:|Details 2:|Other Sizes: SM: 13.25 X 25 X 16.75 -lb 9.8|Other Sizes:NA|Assembly Required: YES||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 1|Inner Qty:|Case Size (HxWxD): 36.2in x 15.7in x 21.7in|Case Weight: 29 lbs||Order Info______________|Minimum Order Quantity: 2||0,http://images.repzio.com/productimages/928/BY1008_lg.jpg
BY1010,Item Size (WxHxL):20.25 x 7.750 x 6.000 in,BY1010|Table Top Wheelbarrow Planter||Item Information______________________|Item Size (WxHxL):20.25 x 7.750 x 6.000 in|Item Weight: 1.5800 lbs|Item Material: 100% Metal|Item Color: GALVANIZED GRAY/MTL O1 ACCENT|Details 1: STATIONARY WHEEL|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 8|Inner Qty: 2|Case Size (HxWxD): 19.5in x 21.3in x 14.2in|Case Weight: 7.56 lbs||Order Info______________|Minimum Order Quantity: 4||0,http://images.repzio.com/productimages/928/BY1010_lg.jpg
BY1012,Item Size (WxHxL):10.25 x 9.750 x 6.750 in,BY1012|||Item Information______________________|Item Size (WxHxL):10.25 x 9.750 x 6.750 in|Item Weight: 4.3000 lbs|Item Material: 90% Metal 10% Wood|Item Color: Antique Black / Brown|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: YES||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 6|Inner Qty: 2|Case Size (HxWxD): 21.9in x 18.9in x 14.8in|Case Weight: 12.8 lbs||Order Info______________|Minimum Order Quantity: 2||0,http://images.repzio.com/productimages/928/BY1012_lg.jpg
BY1013,Item Size (WxHxL):18.25 x 3.250 x 18.25 in,BY1013|||Item Information______________________|Item Size (WxHxL):18.25 x 3.250 x 18.25 in|Item Weight: 4.8000 lbs|Item Material: 80% Mtl 10% glass 10% plastic|Item Color: Black|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 1|Inner Qty:|Case Size (HxWxD): 20.9in x 21.3in x 5.5in|Case Weight: 4.4 lbs||Order Info______________|Minimum Order Quantity: 2||0,http://images.repzio.com/productimages/928/BY1013_lg.jpg
BY1014,Item Size (WxHxL):19.25 x 20.50 x 19.25 in,BY1014|||Item Information______________________|Item Size (WxHxL):19.25 x 20.50 x 19.25 in|Item Weight: 20.0000 lbs|Item Material: 100 % Metal|Item Color: Galvanized Grey / Black|Details 1:|Details 2:|Other Sizes: MD: 17 x 17 x 16.5|Other Sizes:SM: 14 x 14 x 12.5|Assembly Required: YES||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 1|Inner Qty:|Case Size (HxWxD): 19.7in x 21.3in x 19.7in|Case Weight: 4.4 lbs||Order Info______________|Minimum Order Quantity: 2||0,http://images.repzio.com/productimages/928/BY1014_lg.jpg
BY1015,Item Size (WxHxL):8.000 x 7.250 x 8.000 in,BY1015|||Item Information______________________|Item Size (WxHxL):8.000 x 7.250 x 8.000 in|Item Weight: 1.3000 lbs|Item Material: 50% Mtl 50% Glass|Item Color: Natural Mtl Color|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: YES||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 8|Inner Qty: 2|Case Size (HxWxD): 17.1in x 17.1in x 17.1in|Case Weight: 7 lbs||Order Info______________|Minimum Order Quantity: 4||0,http://images.repzio.com/productimages/928/BY1015_lg.jpg
BY1016,Item Size (WxHxL):13.00 x 17.00 x 2.250 in,BY1016|||Item Information______________________|Item Size (WxHxL):13.00 x 17.00 x 2.250 in|Item Weight: 2.8000 lbs|Item Material: 100% Metal|Item Color: Grey|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 6|Inner Qty: 2|Case Size (HxWxD): 18in x 14.2in x 11in|Case Weight: 10.076 lbs||Order Info______________|Minimum Order Quantity: 2||0,http://images.repzio.com/productimages/928/BY1016_lg.jpg
