Sam the Goofy Jack-O-Lantern,F23500,,,8/5/2023,,,,"SIZE:
3 1/4""w X 6""h (w/o stem & arms)",,3,10.5,12,9.45,,,3,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3803/8582/F23500__41909.1682638277.JPG,F23500__41909.1682638277.JPG,,,Honeyme800,F23500__41909.1682638277.JPG
Suki the Goofy Jack-O-Lantern,F23501,,,8/5/2023,,,,"SIZE:
4""w X 7 1/2""h (w/o stem & arms)",,3,11,12,9.9,,,3,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3804/8613/F23501__87963.1682687191.JPG,F23501__87963.1682687191.JPG,,,Honeyme800,F23501__87963.1682687191.JPG
Star the Goofy Jack-O-Lantern,F23502,,,8/5/2023,,,,"SIZE:
6"" w X 6""h (w/o stem & arms)",,3,11,12,9.9,,,3,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3805/8612/F23502__54432.1682687168.JPG,F23502__54432.1682687168.JPG,,,Honeyme800,F23502__54432.1682687168.JPG
Skye the Goofy Jack-O-Lantern,F23503,,,8/5/2023,,,,"SIZE:
4 1/2 w X 7""h (w/o stem & arms)",,3,13,12,11.7,,,3,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3806/8611/F23503__67903.1682687140.jpg,F23503__67903.1682687140.jpg,,,Honeyme800,F23503__67903.1682687140.jpg
Storm the Goofy Jack-O-Lantern,F23504,,,8/5/2023,,,,"SIZE:
6""w X 8 1/2""h (w/o stem & arms)",,2,14.75,8,13.275,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3807/8610/F23504__12238.1682687119.jpg,F23504__12238.1682687119.jpg,,,Honeyme800,F23504__12238.1682687119.jpg
Sunny the Goofy Jack-O-Lantern,F23505,,,8/5/2023,,,,"SIZE:
7""w X 10 1/2""h (w/o stem & arms)",,2,16.75,8,15.075,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3808/8609/F23505__04591.1682687098.jpg,F23505__04591.1682687098.jpg,,,Honeyme800,F23505__04591.1682687098.jpg
Spike the Goofy Jack-O-Lantern,F23506,,,8/5/2023,,,,"SIZE:
6""w X 9""h (w/o stem & arms)",,2,13.5,8,12.15,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3809/8608/F23506__62468.1682687074.JPG,F23506__62468.1682687074.JPG,,,Honeyme800,F23506__62468.1682687074.JPG
Sandy the Goofy Jack-O-Lantern,F23507,,,8/5/2023,,,,"SIZE:
6 1/2""w X 12"" (w/o stem & arms)",,2,16,8,14.4,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3810/8607/F23507__34469.1682687026.JPG,F23507__34469.1682687026.JPG,,,Honeyme800,F23507__34469.1682687026.JPG
Sawyer the Goofy Jack-O-Lantern,F23508,,,8/5/2023,,,,"SIZE:
6 1/2""w X 13""h (w/o stem & arms)",,2,18,8,16.2,,,2,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3811/8606/F23508__26993.1682687003.JPG,F23508__26993.1682687003.JPG,,,Honeyme800,F23508__26993.1682687003.JPG
Sage the Goofy Jack-O-Lantern,F23509,,,8/5/2023,,,,"SIZE:
6 1/2""w X 7 1/2""h (w/o stem & arms)",,3,16.5,12,14.85,,,3,Honeyme400,Honeyme160,https://cdn11.bigcommerce.com/s-lbfvygiv1l/images/stencil/original/products/3812/8605/F23509__36594.1682686969.jpg,F23509__36594.1682686969.jpg,,,Honeyme800,F23509__36594.1682686969.jpg
