FA002W RE-OR,"FALL FLOWER, LEAF AND BERRY WREATH WITH FRONS, 10 IN. RIM, RED, ORANGE",2 - 5,$16.00,6 - 23,$13.60,24 - 99999,$11.20,http://floralkmi.com/components/com_virtuemart/shop_image/product/FA002W_RE_OR_54ac5ae056773.jpg
FA002W RE-OR,"FALL FLOWER, LEAF AND BERRY WREATH WITH FRONS, 10 IN. RIM, RED, ORANGE",2 - 5,$16.00,6 - 23,$13.60,24 - 99999,$11.20,http://floralkmi.com/components/com_virtuemart/shop_image/product/FA002W_RE_OR_54ac5ae056773.jpg
FA007C BK-PU-OR,"6.5 IN. WHIMSICAL GLITTERED CANDLE RING WITH BLACK CURLS, PURPLE AND ORANGE STRIPED BALLS, LEAVES, AND BERRIES, 6.5 IN. RIM, BLACK, PURPLE, ORANGE",2 - 3,$9.45,4 - 23,$8.03,24 - 99999,$6.62,http://floralkmi.com/components/com_virtuemart/shop_image/product/FA007C_BK_PU_OR_54ac5b3340091.jpg
FA007C BK-PU-OR,"6.5 IN. WHIMSICAL GLITTERED CANDLE RING WITH BLACK CURLS, PURPLE AND ORANGE STRIPED BALLS, LEAVES, AND BERRIES, 6.5 IN. RIM, BLACK, PURPLE, ORANGE",2 - 3,$9.45,4 - 23,$8.03,24 - 99999,$6.62,http://floralkmi.com/components/com_virtuemart/shop_image/product/FA007C_BK_PU_OR_54ac5b3340091.jpg
4281W BR-CR-GR,"RESIN FLOWER WREATH W/COORDINATING BUTTONS AND RICE BERRIES, 11 IN. RIM, BROWN, CREAM, GREEN",1 - 1,$18.00,2 - 9,$15.30,10 - 99999,$12.60,http://floralkmi.com/components/com_virtuemart/shop_image/product/4281W_BR_CR_GR_54a330760e29f.jpg
4281W BR-CR-GR,"RESIN FLOWER WREATH W/COORDINATING BUTTONS AND RICE BERRIES, 11 IN. RIM, BROWN, CREAM, GREEN",1 - 1,$18.00,2 - 9,$15.30,10 - 99999,$12.60,http://floralkmi.com/components/com_virtuemart/shop_image/product/4281W_BR_CR_GR_54a330760e29f.jpg
X001S CMP-CP,"PINE SPRAY WITH PINE CONES, LARGE CHAMPAGNE GLITTERED BELL, AND CHAMPAGNE AND COPPER ACCENTS, 26 IN., CHAMPAGNE, COPPER",6 - 11,$3.50,12 - 47,$2.98,48 - 99999,$2.45,http://floralkmi.com/components/com_virtuemart/shop_image/product/X001S_CMP_CP_52e191731787b.jpg
X006S RE,"SNOW FLOCKED MIXED PINE SPRAY W/BERRIES AND PINE CONES, 28 IN., RED",2 - 5,$6.65,6 - 23,$5.65,24 - 99999,$4.66,http://floralkmi.com/components/com_virtuemart/shop_image/product/X006S_RE_52e1929e7d272.jpg
X006S RE,"SNOW FLOCKED MIXED PINE SPRAY W/BERRIES AND PINE CONES, 28 IN., RED",2 - 5,$6.65,6 - 23,$5.65,24 - 99999,$4.66,http://floralkmi.com/components/com_virtuemart/shop_image/product/X006S_RE_52e1929e7d272.jpg
X007D SG,"PINE DOOR DROP WITH HYDRANGEA, PINE CONE, PUSSY WILLOW AND BELL, 29 IN, SAGE",1 - 1,$17.50,2 - 9,$14.88,10 - 99999,$12.25,http://floralkmi.com/components/com_virtuemart/shop_image/product/X007D_SG_52e192e147903.jpg
X007D SG,"PINE DOOR DROP WITH HYDRANGEA, PINE CONE, PUSSY WILLOW AND BELL, 29 IN, SAGE",1 - 1,$17.50,2 - 9,$14.88,10 - 99999,$12.25,http://floralkmi.com/components/com_virtuemart/shop_image/product/X007D_SG_52e192e147903.jpg
X009C RE,"PINE CANDLE RING WITH PINE CONES AND BERRIES, 6.5IN RIM, RED",6 - 11,$7.50,12 - 35,$6.38,36 - 9999,$5.25,http://floralkmi.com/components/com_virtuemart/shop_image/product/X009C_RE_52e1948c779ce.jpg
X009C RE,"PINE CANDLE RING WITH PINE CONES AND BERRIES, 6.5IN RIM, RED",6 - 11,$7.50,12 - 35,$6.38,36 - 9999,$5.25,http://floralkmi.com/components/com_virtuemart/shop_image/product/X009C_RE_52e1948c779ce.jpg
X016C RE-BR,"BURLAP POINSETTIA AND RIBBON WITH RED BERRIES AND GREENERY, 6.5 IN",3 - 11,$8.00,12 - 35,$6.80,36 - 99999,$5.60,http://floralkmi.com/components/com_virtuemart/shop_image/product/X016C_RE_BR_54a46c0a6b393.jpg
X016C RE-BR,"BURLAP POINSETTIA AND RIBBON WITH RED BERRIES AND GREENERY, 6.5 IN",3 - 11,$8.00,12 - 35,$6.80,36 - 99999,$5.60,http://floralkmi.com/components/com_virtuemart/shop_image/product/X016C_RE_BR_54a46c0a6b393.jpg
X017C RE-BR,"WINTER GREENERY CANDLE RING WITH BURLAP RIBBON, PINE CONES, BELLS AND BERRIES, 6.5 IN",3 - 5,$9.50,6 - 23,$8.08,24 - 99999,$6.65,http://floralkmi.com/components/com_virtuemart/shop_image/product/X017C_RE_BR_54a46d167ba3f.jpg
X017C RE-BR,"WINTER GREENERY CANDLE RING WITH BURLAP RIBBON, PINE CONES, BELLS AND BERRIES, 6.5 IN",3 - 5,$9.50,6 - 23,$8.08,24 - 99999,$6.65,http://floralkmi.com/components/com_virtuemart/shop_image/product/X017C_RE_BR_54a46d167ba3f.jpg
X2470RE-GO,"MIXED BERRY WREATH SET, SET OF 2, HW, 19INDIA (10INDIA RIM) & 12INDIA (4INDIA RIM), MATTE FINISH, RED/GOLD",1 - 1,$28.50,2 - 5,$24.23,6 - 9999,$19.95,http://floralkmi.com/components/com_virtuemart/shop_image/product/2470RE_GO_5036891ea0e80.jpg
