Friend,40199,Home|Collections|More Scripture Blessings Series,,,,,,"Product Size: 4"" x 4 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/40199.jpg,40199.jpg,Proverbs 17:17,,Lighthouse800,40199.jpg
Joy,40330,Home|Collections|Filled With... Series,,,,,,"Product Size: 5 5/8"" x 5 3/8, w/wire 5 5/8"" x 7 1/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/40330.jpg,40330.jpg,Psalm 118:24,,Lighthouse800,40330.jpg
Hope,40331,Home|Collections|Filled With... Series,,,,,,"Product Size: 5 5/8"" x 5 3/8, w/wire 5 5/8"" x 7 1/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/40331.jpg,40331.jpg,Romans 15:13,,Lighthouse800,40331.jpg
Love,40332,Home|Collections|Filled With... Series,,,,,,"Product Size: 5 5/8"" x 5 3/8, w/wire 5 5/8"" x 7 1/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/40332.jpg,40332.jpg,1 Corinthians 13:13,,Lighthouse800,40332.jpg
Strength,40333,Home|Collections|Filled With... Series,,,,,,"Product Size: 5 5/8"" x 5 3/8, w/wire 5 5/8"" x 7 1/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/40333.jpg,40333.jpg,Philippians 4:13,,Lighthouse800,40333.jpg
Peace,40335,Home|Collections|Filled With... Series,,,,,,"Product Size: 5 5/8"" x 5 3/8, w/wire 5 5/8"" x 7 1/4""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/40335.jpg,40335.jpg,2 Thessalonians 3:16,,Lighthouse800,40335.jpg
Love Never Fails,40381,Home|Collections|Watercolor Script Series,,,,,,"Product Size: 5 1/2"" x 5 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/40381.jpg,40381.jpg,1 Corinthians 13:8,,Lighthouse800,40381.jpg
Everything Is Possible,40382,Home|Collections|Watercolor Script Series,,,,,,"Product Size: 5 1/2"" x 5 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/40382.jpg,40382.jpg,Matthew 19:26,,Lighthouse800,40382.jpg
Brave and Strong,40383,Home|Collections|Watercolor Script Series,,,,,,"Product Size: 5 1/2"" x 5 1/2""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/40383.jpg,40383.jpg,Joshua 1:9,,Lighthouse800,40383.jpg
Pastor Cross,11209,Home|Collections|Pastor Blessings,,,,,,"Product Size: 6 1/2"" x 8 7/8""",,,,,,,,,Lighthouse400,Lighthouse160,http://www.lcpgifts.com/images/products/large/11209.jpg,11209.jpg,Numbers 6:24-26,,Lighthouse800,11209.jpg
