#85  Snowman SM-199,#85  Snowman SM-199,,"Oh this snowman is just awesome with his garland of 3 grungy cinnamon stars. He would look great sitting next to the fireplace.
#433  F-145 Black crow,#433  F-145 Black crow,,"Our black painted crow is about 18"" long has a patch on his back filled with sweet annie.  Gruny mustard star is tucked under his wing.  Cheesecloth tie is around his neck.  Then he is brushed with cinnamon.  Hangs",,,,,,,1,$20.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#432  Sm-131 Snowman,#432  Sm-131 Snowman,,"This little guy is made from aged flannel and then brushed with white paint.  Black coal as buttons  on his belly with a black scarf tied around his neck.  His arms are up with a rusty star overhead.  Then he is spray with glitter.about 16"" tall.",,,,,,,1,$44.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#431  F-144 Pumpkin Gal,#431  F-144 Pumpkin Gal,,"This pumpkin gal is about 26"" long wearing an aged tan striped dress, osnaburg apron with sweet annie and orange berries tucked in.  Holding a painted black star.",,,,,,,1,$48.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#430  S-254 Star with sheep,#430  S-254 Star with sheep,,Grungy osnaburg star with painted sheep. Hangs,,,,,,,1,$20.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#439  F-76 Pumpkin/Witch Tablehead,#439  F-76 Pumpkin/Witch Tablehead,,Pumpkin/Witch Tablehead is made from aged flannel with a black felt witch hat.  Pefect for your fall/harvest decorating.  ,,,,,,,1,$28.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#438  A-45 Snow Angel,#438  A-45 Snow Angel,,Hanging snow angel is wearing an aged red flannel dress.  She is holding 3 snow babies.  Her wings are grunged cinnamon.,,,,,,,1,$42.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#756  M-454 Bee,#756  M-454 Bee,,"Our 17"" hanging bee is perfect for your summer decoration.  Made from black flannel and muslin the grunged.  ",,,,,,,1,$28.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#18  Black Mammie D-146,#18  Black Mammie D-146,,"Our black doll is made from muslin and then painted black, Muslin bloomers and apron complete this mammie. Hangs 16""",,,,,,,1,$32.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#19  Black Mammie D-150,#19  Black Mammie D-150,,"This is our standing black painted mammie doll, with muslin apron. She is holding a grungy goose in her arm. Weighed to stand 13"".",,,,,,,1,$32.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#757  M-455 Bee Gnome,#757  M-455 Bee Gnome,,Love this bee gnome!  Made from aged mustard flannel with a bee fabric hat.  Darker aged wool,,,,,,,1,$28.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#12  Christmas Doll D-99,#12  Christmas Doll D-99,,"Our Christmas Doll is one of my biggest sellers. Her dress is red flannel and she has a set of three snowmen on a garland. approx 32""",,,,,,,1,$80.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#13  Painted Star S-317,#13  Painted Star S-317,,"New to our line is this Americana star. It is painted in muslin paint then brushed with cinnamon. We have added a flag as the pocket and filled it with sweet annie,twigs and red and white berries. approx 16-17""",,,,,,,1,$20.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#10  Pumpkin Man F-104,#10  Pumpkin Man F-104,,Our pumpkin man is in a black dress with black socks. He is never alone as he always takes along his orange pumpkin pal on a stick.,,,,,,,1,$34.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#11  Flannel Pumpkin F-107,#11  Flannel Pumpkin F-107,,This is a sitter flannel pumpkin with a black crow sitting on its broom. New item this year.,,,,,,,1,$18.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#16  Star S-319,#16  Star S-319,,"Our fall star is dyed flannel with a pocket filled with harvest time colors. approx. 16-17"" hangs",,,,,,,1,$20.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#17  Cinnamon Star S-284,#17  Cinnamon Star S-284,,"This cinnamon star is awesome, used as an everday item or as a christmas tree topper.",,,,,,,1,$14.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#14  Painted Star S-318,#14  Painted Star S-318,,"New to our line is a flannel star painted in mustard, then grunged. A black painted crow added to the front. approx. 14"" hook on back to hang",,,,,,,1,$18.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
#15  Fall Doll D-93,#15  Fall Doll D-93,,"Lillian is a wonderful piece to our fall line
she has a simple apron, black crow in her arms, and check out her fingers and toes. hangs",,,,,,,1,$36.00,,,,,1,PrimitiveCrow400,PrimitiveCrow160,http://www.primitivesatcrowhollow.com/fpdb/images/200&path,200&path,,,PrimitiveCrow800,200&path,
