"TAU PEDESTAL BOWL, CERAMIC - LRG",7117-3,,"Everything looks better with a little bit of height, our ceramic pedestal bowls elegantly elevate their contents. Food safe.",,,,,"length: 8 in
width: 8 in
height: 6.25 in
size (us): 8x8x6.25
material: ceramic",,4,$20.00 ,16,$18.60 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7117-3.JPG,7117-3.JPG,,,homart800,7117-3.JPG
"ISSA STACKING BOWL, CERAMIC, SAGE GREEN",7121-3,,"These simple, stackable bowls are perfect to have at the ready when perfect pairs are at the party: Pistachios & Shells. Olives & Pits. Cheese & Toothpicks.",,,,,"length: 4 in
width: 4 in
height: 2.25 in
size (us): 4x4x2.25
material: ceramic",,12,$3.50 ,48,$3.20 ,,,12,homart400,homart160,../images/products/ZOOM/desktop/7121-3.JPG,7121-3.JPG,,,homart800,7121-3.JPG
"ISSA STACKING BOWL, CERAMIC, WHITE",7121-6,,"These simple, stackable bowls are perfect to have at the ready when perfect pairs are at the party: Pistachios & Shells. Olives & Pits. Cheese & Toothpicks.",,,,,"length: 4 in
width: 4 in
height: 2.25 in
size (us): 4x4x2.25
material: ceramic",,12,$3.50 ,48,$3.20 ,,,12,homart400,homart160,../images/products/ZOOM/desktop/7121-6.JPG,7121-6.JPG,,,homart800,7121-6.JPG
"BEGONIA LEAF TRAY, CERAMIC - SM - BRONZE",7131-0,,A lustrous bronze glaze with subtle green specks adds further depth to the sculpted leaf shapes on this unique tray.,,,,,"length: 8 in
width: 5 in
height: 1.50 in
weight: 0.50 lb
size (us): 8x5x1.5
material: ceramic",,6,$5.50 ,24,$5.10 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/7131-0.JPG,7131-0.JPG,,,homart800,7131-0.JPG
"TIBURON CUP, CERAMIC - LIGHT GREY GLAZE",7134-0,,A layered glaze of umber and blue gives this ceramic cup a cozy mottled texture and foggy grey hue. Ideal for an afternoon coffee service.,,,,,"length: 3.50 in
width: 3.50 in
height: 4 in
weight: 0.61 lb
size (us): 3.5x3.5x4
material: ceramic",,6,$4.00 ,24,$3.70 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/7134-0.JPG,7134-0.JPG,,,homart800,7134-0.JPG
"TIBURON PITCHER, CERAMIC - MED - LIGHT GREY GLAZE",7135-0,,A layered glaze of umber and blue gives this ceramic pitcher a cozy mottled texture and foggy grey hue. Ideal for an afternoon coffee service.,,,,,"length: 5.50 in
width: 4 in
height: 5.50 in
weight: 1.61 lb
size (us): 5.5x4x5.5
material: ceramic",,4,$9.00 ,16,$8.30 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7135-0.JPG,7135-0.JPG,,,homart800,7135-0.JPG
"TIBURON PITCHER, CERAMIC - LRG - LIGHT GREY GLAZE",7136-0,,A layered glaze of umber and blue gives this ceramic pitcher a cozy mottled texture and foggy grey hue. Ideal for an afternoon coffee service.,,,,,"length: 6 in
width: 4 in
height: 7 in
weight: 1.81 lb
size (us): 6x4x7
material: ceramic",,4,$12.00 ,16,$11.10 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7136-0.JPG,7136-0.JPG,,,homart800,7136-0.JPG
"TIBURON PLATE, CERAMIC - LIGHT GREY GLAZE",7138-0,,A layered glaze of umber and blue gives this ceramic plate a cozy mottled texture and foggy grey hue. Ideal for an afternoon coffee service.,,,,,"length: 5 in
width: 5 in
height: 0.50 in
weight: 0.30 lb
size (us): 5x5x0.5
material: ceramic",,6,$3.25 ,24,$3.00 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/7138-0.JPG,7138-0.JPG,,,homart800,7138-0.JPG
"KANTO CHALICE VASE, CERAMIC - SM",7142-13,,Undulating stripes of matte umber and gloss ivory on our ceramic chalice vase create a stunning vessel for floral or foliage.,,,,,"length: 5 in
width: 5 in
height: 6 in
size (us): 5x5x6
material: ceramic",,4,$12.00 ,16,$11.10 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7142-13.JPG,7142-13.JPG,,,homart800,7142-13.JPG
"KANTO CHALICE VASE, CERAMIC - LRG",7143-13,,Undulating stripes of matte umber and gloss ivory on our ceramic chalice vase create a stunning vessel for floral or foliage.,,,,,"length: 6.50 in
width: 6.50 in
height: 7.25 in
size (us): 6.5x6.5x7.25
material: ceramic",,4,$18.00 ,16,$16.70 ,,,4,homart400,homart160,../images/products/ZOOM/desktop/7143-13.JPG,7143-13.JPG,,,homart800,7143-13.JPG
