PILLAR 5 X 5 - IVORY,0255-0,,The essentials are all that you need. Each candle is poured using a high quality blend of unscented paraffin and palm wax in a creamy shell white color with a 100% cotton wick.,,,,,"length: 5 in
width: 5 in
height: 5 in
diameter: 5 in
cube: 0.01
weight: 3.43 lb
material: wax candle",,1,$20.50 ,4,$19.10 ,,,1,homart400,homart160,../images/products/ZOOM/desktop/0255-0.jpg,0255-0.jpg,,,homart800,0255-0.jpg
PILLAR 6 X 6 - IVORY,0266-0,,The essentials are all that you need. Each candle is poured using a high quality blend of unscented paraffin and palm wax in a creamy shell white color with a 100% cotton wick.,,,,,"length: 6 in
width: 6 in
height: 6 in
diameter: 6 in
cube: 0.01
weight: 5.50 lb
material: wax candle",,1,$29.00 ,4,$27.00 ,,,1,homart400,homart160,../images/products/ZOOM/desktop/0266-0.jpg,0266-0.jpg,,,homart800,0266-0.jpg
"OCTOPUS GLASS ORNAMENT, SILVER - SILVER",0301-5,,A whimsical silver glass ornament depicts the ever popular octopus to add a unique shimmer to your holidays.,,,,,"length: 4 in
width: 4 in
height: 4 in
weight: 0.10 lb
size (us): 4x4x4
material: glass",,6,$7.50 ,24,$6.75 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/0301-5.JPG,0301-5.JPG,,,homart800,0301-5.JPG
"CAT ORNAMENT, GLASS",0302-0,,"Showing detail and providing a sparkle, this fancy feline ornament in made of glass with glitter embellishments.",,,,,"length: 2 in
width: 1.50 in
height: 3.25 in
weight: 0.10 lb
size (us): 2x1.5x3.25
material: glass",,6,$4.00 ,24,$3.70 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/0302-0.JPG,0302-0.JPG,,,homart800,0302-0.JPG
"BEJEWELED HEART LOCKET ORNAMENT, GLASS - GOLD - GOLD",0310-4,,"Hung from a satin ribbon, this elegant glass heart ornament opens to hold a photo, wish, or love note.",,,,,"length: 2.50 in
width: 2 in
height: 4 in
weight: 0.10 lb
size (us): 2.5x2x4
material: glass",,6,$7.00 ,24,$6.50 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/0310-4.JPG,0310-4.JPG,,,homart800,0310-4.JPG
"BEJEWELED HEART LOCKET ORNAMENT, GLASS - RED - RED",0310-8,,"Hung from a satin ribbon, this elegant glass heart ornament opens to hold a photo, wish, or love note.",,,,,"length: 2.50 in
width: 2 in
height: 4 in
weight: 0.10 lb
size (us): 2.5x2x4
material: glass",,6,$7.00 ,24,$6.50 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/0310-8.JPG,0310-8.JPG,,,homart800,0310-8.JPG
"BEE ORNAMENT, GLASS",0311-0,,"For the insect lover in all of us, we offer a bee ornament made of glass with glitter embellishments set to shimmer and shine.",,,,,"length: 3.25 in
width: 0.50 in
height: 2 in
weight: 0.10 lb
size (us): 3.25x.5x2
material: glass",,6,$4.50 ,24,$4.10 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/0311-0.JPG,0311-0.JPG,,,homart800,0311-0.JPG
"PINEAPPLE ORNAMENT, GLASS",0313-0,,Spark the wonder of holiday nostalgia anew with our vintage inspired glass ornaments with traditional holiday themes. Our hand crafted ornaments come with a string and loop ready to adorn your Christmas tree.,,,,,"length: 2.25 in
width: 2.25 in
height: 4.75 in
cube: 0.00
weight: 0.10 lb
material: glass",,6,$5.50 ,24,$5.10 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/0313-0.JPG,0313-0.JPG,,,homart800,0313-0.JPG
"SEA TURTLE ORNAMENT, GLASS",0314-0,,Spark the wonder of holiday nostalgia anew with our vintage inspired glass ornaments with traditional holiday themes. Our hand crafted ornaments come with a string and loop ready to adorn your Christmas tree.,,,,,"length: 4.75 in
width: 3.75 in
height: 2.50 in
cube: 0.00
weight: 0.10 lb
material: glass",,6,$6.00 ,24,$5.50 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/0314-0.JPG,0314-0.JPG,,,homart800,0314-0.JPG
"RACOON ORNAMENT, GLASS",0315-0,,Spark the wonder of holiday nostalgia anew with our vintage inspired glass ornaments with traditional holiday themes. Our hand crafted ornaments come with a string and loop ready to adorn your Christmas tree.,,,,,"length: 2 in
width: 2 in
height: 3.50 in
cube: 0.00
weight: 0.10 lb
material: glass",,6,$4.00 ,24,$3.70 ,,,6,homart400,homart160,../images/products/ZOOM/desktop/0315-0.JPG,0315-0.JPG,,,homart800,0315-0.JPG
