WD. PICTURE FRAME 5X7 (8/cs),MH1383,,MH1383|||Item Information______________________|Item Size (WxHxL):8.800 x 10.80 x 1.250 in|Item Weight: 1.2000 lbs|Item Material: 80% WD 20% Glass|Item Color: Brown / Antique White|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 8.000000000|Inner Qty: 1.000000000|Case Size (HxWxD): in x in x in|Case Weight: 14 lbs||Order Info______________|Minimum Order Quantity: 2||0,,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MH1383_lg.jpg,MH1383_lg.jpg,,,VIP800,2018
WD. PICTURE FRAME 4X6 (16/cs),MH1384,,MH1384|||Item Information______________________|Item Size (WxHxL):6.500 x 8.600 x 1.250 in|Item Weight: 1.0000 lbs|Item Material: 80% WD 20% Glass|Item Color: Brown / Antique White|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 16.000000000|Inner Qty: 1.000000000|Case Size (HxWxD): in x in x in|Case Weight: 18 lbs||Order Info______________|Minimum Order Quantity: 2||0,,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MH1384_lg.jpg,MH1384_lg.jpg,,,VIP800,2018
WD. PICTURE FRAME 8X10 (6/cs),MH1385,,MH1385|||Item Information______________________|Item Size (WxHxL):12.60 x 14.80 x 1.250 in|Item Weight: 2.3000 lbs|Item Material: 80% WD 20% Glass|Item Color: Brown / Antique White|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 6.000000000|Inner Qty: 1.000000000|Case Size (HxWxD): in x in x in|Case Weight: 18 lbs||Order Info______________|Minimum Order Quantity: 2||0,,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MH1385_lg.jpg,MH1385_lg.jpg,,,VIP800,2018
WD./MTL. SIGN (4/cs),MH1386,,MH1386|||Item Information______________________|Item Size (WxHxL):19.30 x 19.30 x 1.500 in|Item Weight: 2.5000 lbs|Item Material: 50% Wd 50% MTL|Item Color: Brown / White|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 4.000000000|Inner Qty: 1.000000000|Case Size (HxWxD): in x in x in|Case Weight: 13 lbs||Order Info______________|Minimum Order Quantity: 2||0,,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MH1386_lg.jpg,MH1386_lg.jpg,,,VIP800,2018
WD./MTL. SIGN (4/cs),MH1387,,MH1387|||Item Information______________________|Item Size (WxHxL):19.30 x 19.30 x 1.500 in|Item Weight: 2.5000 lbs|Item Material: 50% Wd 50% MTL|Item Color: Brown / White|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 4.000000000|Inner Qty: 1.000000000|Case Size (HxWxD): in x in x in|Case Weight: 13 lbs||Order Info______________|Minimum Order Quantity: 2||0,,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MH1387_lg.jpg,MH1387_lg.jpg,,,VIP800,2018
MTL. STANDING CLOCK (12/cs),MH1388,,MH1388|||Item Information______________________|Item Size (WxHxL):6.300 x 11.20 x 3.500 in|Item Weight: 1.5000 lbs|Item Material: 100% Metal|Item Color: Black / White|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 12.000000000|Inner Qty: 2.000000000|Case Size (HxWxD): in x in x in|Case Weight: 24 lbs||Order Info______________|Minimum Order Quantity: 2||0,,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MH1388_lg.jpg,MH1388_lg.jpg,,,VIP800,2018
WD. TABLE (1/cs),MH1389,,MH1389|||Item Information______________________|Item Size (WxHxL):48.00 x 31.00 x 15.80 in|Item Weight: 19.0000 lbs|Item Material: 100% Wood|Item Color: Brown|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: YES||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 1.000000000|Inner Qty:|Case Size (HxWxD): in x in x in|Case Weight: 22.65 lbs||Order Info______________|Minimum Order Quantity: 2||0,,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MH1389_lg.jpg,MH1389_lg.jpg,,,VIP800,2018
WD. TABLE CLOCK (6/cs),MH1390,,MH1390|||Item Information______________________|Item Size (WxHxL):12.40 x 10.60 x 2.800 in|Item Weight: 2.5000 lbs|Item Material: 80% WD 20% Glass|Item Color: Brown / White|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 6.000000000|Inner Qty: 1.000000000|Case Size (HxWxD): in x in x in|Case Weight: 16 lbs||Order Info______________|Minimum Order Quantity: 2||0,,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MH1390_lg.jpg,MH1390_lg.jpg,,,VIP800,2018
"MTL. SIGN ""BLESSED"" (12/cs)",MH1391,,MH1391|||Item Information______________________|Item Size (WxHxL):15.40 x 6.300 x 0.400 in|Item Weight: 0.9000 lbs|Item Material: Wood / Metal|Item Color: Grey / Brown|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 12.000000000|Inner Qty: 1.000000000|Case Size (HxWxD): in x in x in|Case Weight: 13.5 lbs||Order Info______________|Minimum Order Quantity: 2||2,,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MH1391_lg.jpg,MH1391_lg.jpg,,,VIP800,2018
"MTL. SIGN ""THANKFUL"" (12/cs)",MH1392,,MH1392|||Item Information______________________|Item Size (WxHxL):15.80 x 7.300 x 0.400 in|Item Weight: 1.0000 lbs|Item Material: Wood / Metal|Item Color: Grey / Brown|Details 1:|Details 2:|Other Sizes: NA|Other Sizes:NA|Assembly Required: NO||Catalog PG:|Catalog Style:|Item Origin: CHINA||Case Info_____________________________|Case Qty: 12.000000000|Inner Qty: 1.000000000|Case Size (HxWxD): in x in x in|Case Weight: 14 lbs||Order Info______________|Minimum Order Quantity: 2||0,,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MH1392_lg.jpg,MH1392_lg.jpg,,,VIP800,2018
