Classic Jar Candle 16oz Apple Spice,,,,,,,,,3,$9.50 ,12,$114 
Classic Jar Candle 26oz Apple Spice,,,,,,,,,3,$12.00 ,12,$144 
Double Wick Classic 16oz Apple Spice,,,,,,,,,3,$10.00 ,12,$120 
Indulgence 18 oz Apple Spice,,,,,,,,,3,$10.00 ,12,$120 
McCall's Mason 16oz Apple Spice,,,,,,,,,3,$7.50 ,12,$90 
Candle Bars Apple Spice,,,,,,,,,1,$4.00 ,N/A,0.56
Buttons (Box of 36) Apple Spice,,,,,,,,,1,$20.00 ,4,$39 
Reed Gardens 4oz Apple Spice,,,,,,,,,1,$6.50 ,6,
Display Jar Classic Label Apple Spice,,,,,,,,,1,$12.50 ,1,
Display Jar Black & Gold Label Apple Spice,,,,,,,,,1,$12.50 ,1,
Classic Jar Candle 16oz Apples & Pumpkins,,,,,,,,,3,$9.50 ,12,$114 
Classic Jar Candle 26oz Apples & Pumpkins,,,,,,,,,3,$12.00 ,12,$144 
Double Wick Classic 16oz Apples & Pumpkins,,,,,,,,,3,$10.00 ,12,$120 
Indulgence 18 oz Apples & Pumpkins,,,,,,,,,3,$10.00 ,12,$120 
McCall's Mason 16oz Apples & Pumpkins,,,,,,,,,3,$7.50 ,12,$90 
Candle Bars Apples & Pumpkins,,,,,,,,,1,$4.00 ,N/A,0.56
Buttons (Box of 36) Apples & Pumpkins,,,,,,,,,1,$20.00 ,4,$39 
Reed Gardens 4oz Apples & Pumpkins,,,,,,,,,1,$6.50 ,6,
Display Jar Classic Label Apples & Pumpkins,,,,,,,,,1,$12.50 ,1,
Display Jar Black & Gold Label Apples & Pumpkins,,,,,,,,,1,$12.50 ,1,
Classic Jar Candle 16oz Autumn Leaves,,,,,,,,,3,$9.50 ,12,$114 
Classic Jar Candle 26oz Autumn Leaves,,,,,,,,,3,$12.00 ,12,$144 
Double Wick Classic 16oz Autumn Leaves,,,,,,,,,3,$10.00 ,12,$120 
