Amalia Tablecloth  60X60 Blue,9039BL,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"60"" x 60""",2,18,,,,,,2,CLM400,CLM160,9039BL.jpg,9039BL.jpg,,,CLM800,9039BL.jpg
Amalia Tablecloth  60X60 Red,9039RD,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"60"" x 60""",2,18,,,,,,2,CLM400,CLM160,9039RD.jpg,9039RD.jpg,,,CLM800,9039RD.jpg
Amalia Tablecloth  60X90 Blue,9041BL,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"60"" x 90""",2,23,,,,,,2,CLM400,CLM160,9041BL.jpg,9041BL.jpg,,,CLM800,9041BL.jpg
Amalia Tablecloth  60X90 Red,9041RD,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"60"" x 90""",2,23,,,,,,2,CLM400,CLM160,9041RD.jpg,9041RD.jpg,,,CLM800,9041RD.jpg
Amalia Tablecloth  70 Round Blue,9040BL,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"70"" round",2,21,,,,,,2,CLM400,CLM160,9040BL.jpg,9040BL.jpg,,,CLM800,9040BL.jpg
Amalia Tablecloth  70 Round Red,9040RD,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"70"" round",2,21,,,,,,2,CLM400,CLM160,9040RD.jpg,9040RD.jpg,,,CLM800,9040RD.jpg
Amalia Tablecloth 60X60 Taupe,9039TP,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"60"" x 60""",2,18,,,,,,2,CLM400,CLM160,9039TP.jpg,9039TP.jpg,,,CLM800,9039TP.jpg
Amalia Tablecloth 60X90 Taupe,9041TP,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"60"" x 90""",2,23,,,,,,2,CLM400,CLM160,9041TP.jpg,9041TP.jpg,,,CLM800,9041TP.jpg
Amalia Tablecloth 70 Round  Taupe,9040TP,(All) Tablecloths|,Tabletop,IN STOCK & Shipping,,,,"70"" round",2,21,,,,,,2,CLM400,CLM160,9040TP.jpg,9040TP.jpg,,,CLM800,9040TP.jpg
Barcelona Rug 2X3 Blue/Brown,4520BL,(All) Rugs|Barcelona Rugs|2 x 3 (All)|,,IN STOCK & Shipping,,,,2' x 3',4,14,,,,,,4,CLM400,CLM160,4520BL.jpg,4520BL.jpg,,,CLM800,4520BL.jpg
Barcelona Rug 2X3 Persimmon,4520PE,(All) Rugs|Barcelona Rugs|2 x 3 (All)|,,IN STOCK & Shipping,,,,2' x 3',4,14,,,,,,4,CLM400,CLM160,4520PE.jpg,4520PE.jpg,,,CLM800,4520PE.jpg
Bombay Rug 28X84 Multi,4062MU,(All) Rugs|Bombay Rugs|28 x 84 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,"28"" x 84""",2,22.5,,,,,,2,CLM400,CLM160,4060MU.jpg,4060MU.jpg,,,CLM800,4060MU.jpg
Bombay Rug 28X84 Pastel,4062PA,(All) Rugs|Bombay Rugs|28 x 84 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,"28"" x 84""",2,22.5,,,,,,2,CLM400,CLM160,4060PA.jpg,4060PA.jpg,,,CLM800,4060PA.jpg
Bombay Rug 28X84 Primary,4062PR,(All) Rugs|Bombay Rugs|28 x 84 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,"28"" x 84""",2,22.5,,,,,,2,CLM400,CLM160,4060PR.jpg,4060PR.jpg,,,CLM800,4060PR.jpg
Bombay Rug 28X84 Sandshell,4062SA,(All) Rugs|Bombay Rugs|28 x 84 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,"28"" x 84""",2,22.5,,,,,,2,CLM400,CLM160,4060SA.jpg,4060SA.jpg,,,CLM800,4060SA.jpg
Bombay Rug 2X3 Multi,4060MU,(All) Rugs|Bombay Rugs|2 x 3 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,2' x 3',4,8.75,,,,,,4,CLM400,CLM160,4060MU.jpg,4060MU.jpg,,,CLM800,4060MU.jpg
Bombay Rug 2X3 Passtel,4060PA,(All) Rugs|Bombay Rugs|2 x 3 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,2' x 3',4,8.75,,,,,,4,CLM400,CLM160,4060PA.jpg,4060PA.jpg,,,CLM800,4060PA.jpg
Bombay Rug 2X3 Primary,4060PR,(All) Rugs|Bombay Rugs|2 x 3 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,2' x 3',4,8.75,,,,,,4,CLM400,CLM160,4060PR.jpg,4060PR.jpg,,,CLM800,4060PR.jpg
Bombay Rug 2X3 Sandshell,4060SA,(All) Rugs|Bombay Rugs|2 x 3 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,2' x 3',4,8.75,,,,,,4,CLM400,CLM160,4060SA.jpg,4060SA.jpg,,,CLM800,4060SA.jpg
Bombay Rug 30X50 Multi,4061MU,(All) Rugs|Bombay Rugs|30 x 50 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,"30"" x 50""",3,15,,,,,,3,CLM400,CLM160,4060MU.jpg,4060MU.jpg,,,CLM800,4060MU.jpg
Bombay Rug 30X50 Pastel,4061PA,(All) Rugs|Bombay Rugs|30 x 50 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,"30"" x 50""",3,15,,,,,,3,CLM400,CLM160,4060PA.jpg,4060PA.jpg,,,CLM800,4060PA.jpg
Bombay Rug 30X50 Primary,4061PR,(All) Rugs|Bombay Rugs|30 x 50 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,"30"" x 50""",3,15,,,,,,3,CLM400,CLM160,4060PR.jpg,4060PR.jpg,,,CLM800,4060PR.jpg
Bombay Rug 30X50 Sandshell,4061SA,(All) Rugs|Bombay Rugs|30 x 50 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,"30"" x 50""",3,15,,,,,,3,CLM400,CLM160,4060SA.jpg,4060SA.jpg,,,CLM800,4060SA.jpg
Bombay Rug 4X6 Multi,4063MU,(All) Rugs|Bombay Rugs|4 x 6 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,4' x 6',2,34,,,,,,2,CLM400,CLM160,4060MU.jpg,4060MU.jpg,,,CLM800,4060MU.jpg
Bombay Rug 4X6 Pastel,4063PA,(All) Rugs|Bombay Rugs|4 x 6 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,4' x 6',2,34,,,,,,2,CLM400,CLM160,4060PA.jpg,4060PA.jpg,,,CLM800,4060PA.jpg
Bombay Rug 4X6 Primary,4063PR,(All) Rugs|Bombay Rugs|4 x 6 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,4' x 6',2,34,,,,,,2,CLM400,CLM160,4060PR.jpg,4060PR.jpg,,,CLM800,4060PR.jpg
Bombay Rug 4X6 Sandshell,4063SA,(All) Rugs|Bombay Rugs|4 x 6 (All)|,"A classic. Thin stripes, mixed printed and solid fabric strips are tightly woven in a fine ribbed lighter weight cotton",IN STOCK & Shipping,,,,4' x 6',2,34,,,,,,2,CLM400,CLM160,4060SA.jpg,4060SA.jpg,,,CLM800,4060SA.jpg
Boothbay Stripe 28X84 Black/Cream,4422BK,(All) Rugs|Boothbay Stripe Rugs|28 x 84 (All)|,"Nautical looking, crisp blue or black on cream ground. Cotton.",IN STOCK & Shipping,,,,"28"" x 84""",2,34,,,,,,2,CLM400,CLM160,4420BK.jpg,4420BK.jpg,,,CLM800,4420BK.jpg
Boothbay Stripe 28X84 Blue/Cream,4422BL,(All) Rugs|Boothbay Stripe Rugs|28 x 84 (All)|,"Nautical looking, crisp blue or black on cream ground. Cotton.",IN STOCK & Shipping,,,,"28"" x 84""",2,34,,,,,,2,CLM400,CLM160,4420BL.jpg,4420BL.jpg,,,CLM800,4420BL.jpg
Boothbay Stripe 2X3 Black/Cream,4420BK,(All) Rugs|Boothbay Stripe Rugs|2 x 3 (All)|,"Nautical looking, crisp blue or black on cream ground. Cotton.",IN STOCK & Shipping,,,,2' x 3',4,13,,,,,,4,CLM400,CLM160,4420BK.jpg,4420BK.jpg,,,CLM800,4420BK.jpg
Boothbay Stripe 2X3 Blue/Cream,4420BL,(All) Rugs|Boothbay Stripe Rugs|2 x 3 (All)|,"Nautical looking, crisp blue or black on cream ground. Cotton.",IN STOCK & Shipping,,,,2' x 3',4,13,,,,,,4,CLM400,CLM160,4420BL.jpg,4420BL.jpg,,,CLM800,4420BL.jpg
Boothbay Stripe 30X50 Black/Cream,4421BK,(All) Rugs|Boothbay Stripe Rugs|30 x 50 (All)|,"Nautical looking, crisp blue or black on cream ground. Cotton.",IN STOCK & Shipping,,,,"30"" x 50""",3,22,,,,,,3,CLM400,CLM160,4420BK.jpg,4420BK.jpg,,,CLM800,4420BK.jpg
Boothbay Stripe 30X50 Blue/Cream,4421BL,(All) Rugs|Boothbay Stripe Rugs|30 x 50 (All)|,"Nautical looking, crisp blue or black on cream ground. Cotton.",IN STOCK & Shipping,,,,"30"" x 50""",3,22,,,,,,3,CLM400,CLM160,4420BL.jpg,4420BL.jpg,,,CLM800,4420BL.jpg
Boothbay Stripe 4X6 Black/Cream,4423BK,(All) Rugs|Boothbay Stripe Rugs|4 x 6 (All)|,"Nautical looking, crisp blue or black on cream ground. Cotton.",IN STOCK & Shipping,,,,4' x 6',2,47,,,,,,2,CLM400,CLM160,4420BK.jpg,4420BK.jpg,,,CLM800,4420BK.jpg
Boothbay Stripe 4X6 Blue/Cream,4423BL,(All) Rugs|Boothbay Stripe Rugs|4 x 6 (All)|,"Nautical looking, crisp blue or black on cream ground. Cotton.",IN STOCK & Shipping,,,,4' x 6',2,47,,,,,,2,CLM400,CLM160,4420BL.jpg,4420BL.jpg,,,CLM800,4420BL.jpg
