CLASSIC COWGIRL MILD MANNERED TRUFFLE TIN,5,HOME|SHOP|CHOCOLATE TRUFFLES|CLASSIC COWGIRL MILD MANNERED TRUFFLE TIN,"A 1/2 Pound Tin of our Mild Mannered Truffles in a collectible tin. All of the Mild flavors are in there. You can't go wrong with this selection!
If you would like to add a card or message with your order, please use the special order instructions at check out. 
If you prefer to order all of one  flavor, please place the request in the special order instructions at check out. ",,,,,,,1,$17.50,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/114/408/Mild_truffle_tin_-_raw_burned__41161.1523746301.jpg?c=2&imbypass=on,Mild_truffle_tin_-_raw_burned__41161.1523746301.jpg?c=2&imbypass=on,,,cowgirl800,Mild_truffle_tin_-_raw_burned__41161.1523746301.jpg?c=2&imbypass=on,
1/4 EGG CARTON FILLED WITH CARAMELS,234,HOME|SHOP|CARAMELS|1/4 EGG CARTON FILLED WITH CARAMELS,"A simple gift for you bestest friend! I really like these egg carton boxes. 1/4 pound or 10 Caramels. Select from All Mild, All Spicy, or a Spicy and Mild Mix! Or, if you would like a special combination, just put your request in the comments area at check out. We will be happy to customize your order. ",,,,,,,1,$9.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/204/544/easter9_-_2018a_burned__02209.1554669750.jpg?c=2&imbypass=on,easter9_-_2018a_burned__02209.1554669750.jpg?c=2&imbypass=on,,,cowgirl800,easter9_-_2018a_burned__02209.1554669750.jpg?c=2&imbypass=on,
8 CHOCOLATE BAR CAMOUFLAGE KRAFT GIFT BOX,227,HOME|SHOP|CHOCOLATE BARS|8 CHOCOLATE BAR CAMOUFLAGE KRAFT GIFT BOX,"Our Simply Simple Kraft boxes with your choice of 8 Solid Chocolate Bars, wrapped up with a Camouflage Ribbon - for that outdoor enthusiast! We include a western button and a note card. ",,,,,,,1,$16.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/193/521/CGC8barboxcamo1__50377.1548470093.jpg?c=2&imbypass=on,CGC8barboxcamo1__50377.1548470093.jpg?c=2&imbypass=on,,,cowgirl800,CGC8barboxcamo1__50377.1548470093.jpg?c=2&imbypass=on,
COWGIRL CHOCOLATES CHILI LIME PISTACHIOS,249,HOME|SHOP|GIFTS AND SPECIAL OCCASIONS|COWGIRL CHOCOLATES CHILI LIME PISTACHIOS,"Cowgirl Chocolates is going nuts! Spicy nuts - that is! The first in our series of nut selections is our new, Chili and Lime Pistachios in their shells. These are 'to die for' flavor! This product is hard to get a hold of so quantities are limited and an 'as we can get them' gift item. If you are a Pistachio lover or have one in your family circle that is - you can't go wrong with this gift selection. 7 oz. of Pistachios in our Lime Green latching tin. YUM!!",,,,,,,1,$9.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/232/603/pistachios_-_5_burned__64667.1576423969.jpg?c=2&imbypass=on,pistachios_-_5_burned__64667.1576423969.jpg?c=2&imbypass=on,,,cowgirl800,pistachios_-_5_burned__64667.1576423969.jpg?c=2&imbypass=on,
CLASSIC COWGIRL MINI BUCKET,108,HOME|SHOP|CHOCOLATE TRUFFLES|CLASSIC COWGIRL MINI BUCKET,"Three Truffles in a Small Galvanized Bucket wrapped in cellophane. A perfect party favor for Birthdays, Weddings, or any Special Event. You can choose from a selection of Mild, Spicy, or Mild and Spicy Truffles. ",,,,,,,1,$3.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/124/404/Mini_Bucket_-_raw_burned__58205.1523745668.jpg?c=2&imbypass=on,Mini_Bucket_-_raw_burned__58205.1523745668.jpg?c=2&imbypass=on,,,cowgirl800,Mini_Bucket_-_raw_burned__58205.1523745668.jpg?c=2&imbypass=on,
SPICY ALMOND TRUFFLE BAR,122,HOME|SHOP|CHOCOLATE BARS|SPICY ALMOND TRUFFLE BAR,Perfectly roasted almonds blended with our deep dark chocolate and a wonderful extra spicy kick. 1.76 oz,,,,,,,1,$2.50,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/135/412/spicy_almond_truffle_bar_-_raw_burned__73737.1523811642.jpg?c=2&imbypass=on,spicy_almond_truffle_bar_-_raw_burned__73737.1523811642.jpg?c=2&imbypass=on,,,cowgirl800,spicy_almond_truffle_bar_-_raw_burned__73737.1523811642.jpg?c=2&imbypass=on,
BLACK & WHITE POLKA DOTS - 1/2 POUND BOX,241,HOME|SHOP|CHOCOLATE TRUFFLES|BLACK & WHITE POLKA DOTS - 1/2 POUND BOX,For that special Gift or Occasion. A 1/2 pound of our Cowgirl Chocolates packaged in this beautiful Black and White Polka Dot Box. Tied up with our classic Cowgirl Card and Button or Charm. We can wrap it up with a single flavor or a mix of all of our flavors - you pick. Don't forget to tell us what you want to say on the gift card. ,,,,,,,1,$14.95,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/220/574/blackpolkadotbox_-_2_burned__64083.1571506078.jpg?c=2&imbypass=on,blackpolkadotbox_-_2_burned__64083.1571506078.jpg?c=2&imbypass=on,,,cowgirl800,blackpolkadotbox_-_2_burned__64083.1571506078.jpg?c=2&imbypass=on,
BUCKIN' HOT HABANERO CARAMELS 1/2 POUND TIN,26,HOME|SHOP|CARAMELS|BUCKIN' HOT HABANERO CARAMELS 1/2 POUND TIN,"These fiery caramels could knock you off your horse... wonderful soft, buttery caramels spiced with habanero peppers. They'll have you lickin' your lips and shakin' your hips!",,,,,,,1,$19.00,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/133/598/habanero_-_2_burned__50449.1574953643.jpg?c=2&imbypass=on,habanero_-_2_burned__50449.1574953643.jpg?c=2&imbypass=on,,,cowgirl800,habanero_-_2_burned__50449.1574953643.jpg?c=2&imbypass=on,
SPICY MINT BAR,19,HOME|SHOP|CHOCOLATE BARS|SPICY MINT BAR,Milk chocolate paired with spices and refreshing peppermint 1.25 oz.,,,,,,,1,$2.50,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/149/432/spicy_milk_chocolate_mint_bar_burned__02147.1532297549.jpg?c=2&imbypass=on,spicy_milk_chocolate_mint_bar_burned__02147.1532297549.jpg?c=2&imbypass=on,,,cowgirl800,spicy_milk_chocolate_mint_bar_burned__02147.1532297549.jpg?c=2&imbypass=on,
MILD DARK CHOCOLATE BAR,17,HOME|SHOP|CHOCOLATE BARS|MILD DARK CHOCOLATE BAR,Dark chocolate in its purest form 1.25 oz.,,,,,,,1,$2.50,,,,,,cowgirl400,cowgirl160,https://cdn11.bigcommerce.com/s-7hf5agwres/images/stencil/500x659/products/152/436/mild_dark_chocolate_bar_burned__37879.1532298098.jpg?c=2&imbypass=on,mild_dark_chocolate_bar_burned__37879.1532298098.jpg?c=2&imbypass=on,,,cowgirl800,mild_dark_chocolate_bar_burned__37879.1532298098.jpg?c=2&imbypass=on,
