"XMAS MINI Wodn SIGNS 2"" 8 ASRT",20379,Home|Winter Collection|Wooden Snowmen,"Set of 8 Small Mini Signs made from wood. Each Sign has a small holiday message drawn on to the sign. Signs are approximately 3"" tall.",,,,,"Product Dimensions: 2""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20379_1.jpg,20379_1.jpg,,,CraftOutlet800,20379_1.jpg
"SNOWMAN PLATE 8"" W/ STAND",20439,Home|Winter Collection|Wooden Snowmen,,,,,,"Product Dimensions: 8""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20439.jpg,20439.jpg,,,CraftOutlet800,20439.jpg
SNOWMAN PLATE W/ STAND,20444,Home|Winter Collection|Wooden Snowmen,,,,,,Product Dimensions: N/A,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20444.jpg,20444.jpg,,,CraftOutlet800,20444.jpg
"20447 ANGEL, WOODEN",20202E,Home|Everyday Collection|Angels,"Made from Antiqued Wood, this 14"" Angel Ornament features tin bells, a tin ribbon and small wooden believe star.",,,,,"Product Dimensions: 7""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20202E_1.jpg,20202E_1.jpg,,,CraftOutlet800,20202E_1.jpg
"WOODEN CHICKEN ORN, 6 ASSRT 4""L",20547,Home|Everyday Collection,"WOODEN CHICKEN ORN, 6 ASSRT 4""L",,,,,Product Dimensions: No,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20547.jpg,20547.jpg,,,CraftOutlet800,20547.jpg
WOODEN 3D PUMPKIN ORNAMENTS 4 ASRT.,20587,Home|Fall & Halloween Collection|Pumpkins,"THIS ASSORTMENT OF 4 WOODEN PUMPKIN ORNAMENTS ARE PERFECT FOR A HALLOWEEN TREE. MEASURING 3"" AND 4"", THIS ITEM COMES IN 4 DIFFERENT STYLES. THEY ARE ALSO 3 DIMENSIONAL AND HUNG FROM A RUSTED TIN WIRE.",,,,,Product Dimensions: N/A,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20587_1.jpg,20587_1.jpg,,,CraftOutlet800,20587_1.jpg
"5.5"" WOODEN WINDOW 2 ASS'T",20680,Home|Winter Collection|Wooden Snowmen,,,,,,"Product Dimensions: 5.5""",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20680.jpg,20680.jpg,,,CraftOutlet800,20680.jpg
"WELCOME TIN SUNFLOWER, 17""H",20807,Home|Everyday Collection|Barn Farm Animals,,,,,,"Product Dimensions: 17""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20807.jpg,20807.jpg,,,CraftOutlet800,20807.jpg
WOODEN WINDOW FRAME W/LED LIGHTS,20814,Home|Winter Collection|Wooden Snowmen,"Red wooden window frame about 14"" X 9.5"" in size. Has a dark blue color background with snowmen, trees, and ""Let It Snow"" painted designs. LED lights brighten display! 2 AA batteries required (not included)",,,,,"Product Dimensions: 9.5 "" W 14""H",,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20814.jpg,20814.jpg,,,CraftOutlet800,20814.jpg
"WOOD CANDY CANE CLIP 2 ASS'T 6.5""",20854,Home|Winter Collection|Holiday Accents,RED AND GREEN CANDYCANES THAT HAVE A CLIP ON THE BACK TO ALLOW THEM TO BE CLIPPED ONTO YOUR TREE. IT IS A FESTIVE IDEA THAT IS VERY CREATIVE!,,,,,Product Dimensions: 4'' L X 1'' W X 6.5'' H,,,,,,,,,CraftOutlet400,CraftOutlet160,http://www.oldememories.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/20854_1.jpg,20854_1.jpg,,,CraftOutlet800,20854_1.jpg
