Bloom Framed,SNL-7702,,Suzanne Nicoll's Lyra Collection wonderful inspirational image printed directly on cabinet grade plywood and framed in a vintage frame.,,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/s/n/snl-7702-bloom.jpg,snl-7702-bloom.jpg,,,RedHorse800,snl-7702-bloom.jpg
Breakaway,PP-1562,,"Hockey image printed directly to a distressed wood panel that has knots and other imperfections in it. We end up printing right over these imperfections, adding character which gives each sign the look and feel of a real vintage sign. This wall decor sign can be personalized with name drops. No two are the same!",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/p/p/pp-1562.jpg,pp-1562.jpg,,,RedHorse800,pp-1562.jpg
Butterfly I,SN-580,,Suzanne Nicoll butterfly image printed directly to distressed wood,,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/s/n/sn-580-b_w-butterfly_i_20x20.jpg,sn-580-b_w-butterfly_i_20x20.jpg,,,RedHorse800,sn-580-b_w-butterfly_i_20x20.jpg
Butterfly II,SN-581,,Suzanne Nicoll butterfly image printed directly to a distressed wood panel,,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/s/n/sn-581-b_w-butterfly_ii-20x20.jpg,sn-581-b_w-butterfly_ii-20x20.jpg,,,RedHorse800,sn-581-b_w-butterfly_ii-20x20.jpg
Cabbage Rose,SNM-213,,"Suzanne Nicoll's low country image presented as a mirror. The image is printed to distressed wood slats and a mirror is inserted in the back. The frame is 16x16 inches and the mirror is a 8"" square",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/s/n/snm-213-cabbage.jpg,snm-213-cabbage.jpg,,,RedHorse800,snm-213-cabbage.jpg
California Surfer,PP-1548,,"California Surfer Girl Coastal image printed directly to a distressed wood panel that has knots and other imperfections in it. We end up printing right over these imperfections, adding character which gives each sign the look and feel of a real vintage sign. This wall decor sign can be personalized with name drops. No two are the same!",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/p/p/pp-1548-california-surfer.jpg,pp-1548-california-surfer.jpg,,,RedHorse800,pp-1548-california-surfer.jpg
Catch & Release,SNM-214,,"Suzanne Nicoll's low country image presented as a mirror. The image is printed to distressed wood slats and a mirror is inserted in the back. The frame is 16x16 inches and the mirror is a 8"" square",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/s/n/snm-214-catch-_-release--28x26--for-smaller-size.jpg,snm-214-catch-_-release--28x26--for-smaller-size.jpg,,,RedHorse800,snm-214-catch-_-release--28x26--for-smaller-size.jpg
Chicago,PP-1554,,"Chicago Swimming Girl image printed directly to a distressed wood panel that has knots and other imperfections in it. We end up printing right over these imperfections, adding character which gives each sign the look and feel of a real vintage sign. This wall decor sign can be personalized with name drops. No two are the same",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/p/p/pp-1554-chicago.jpg,pp-1554-chicago.jpg,,,RedHorse800,pp-1554-chicago.jpg
Christmas Cats,SNH-116,,Suzanne Nicoll's wonderful custom Holiday Cat vintage image is printed directly to a distressed wood panel with occasional knots and other natural characteristics. The panels are made from natural real wood slats. By printing over the natural characteristics each panel gains character and interest. This wall decor sign can be personalized with name drops. No two are the same!,,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/s/n/snh-116-christmas-cats.jpg,snh-116-christmas-cats.jpg,,,RedHorse800,snh-116-christmas-cats.jpg
Christmas Goose,SNH-117,,Suzanne Nicoll's wonderful custom Holiday Goosevintage image is printed directly to a distressed wood panel with occasional knots and other natural characteristics. The panels are made from natural real wood slats. By printing over the natural characteristics each panel gains character and interest. This wall decor sign can be personalized with name drops. No two are the same!,,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/s/n/snh-117-christmas-goose.jpg,snh-117-christmas-goose.jpg,,,RedHorse800,snh-117-christmas-goose.jpg
Christmas Moose,SNH-121,,Suzanne Nicoll's wonderful custom vintage looking Holiday Christmas Moose image printed directly to a distressed looking wood panel with occasional knots and other natural characteristics. The panels are made from natural real wood slats. By printing over the natural characteristics each panel gains character and interest. This wall decor sign can be personalized with name drops. No two are the same!,,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/s/n/snh-121-christmas-moose.jpg,snh-121-christmas-moose.jpg,,,RedHorse800,snh-121-christmas-moose.jpg
Christmas Subway,SNH-119,,Suzanne Nicoll's wonderful custom Holiday Subway Sign vintage image is printed directly to a distressed wood panel with occasional knots and other natural characteristics. The panels are made from natural real wood slats. By printing over the natural characteristics each panel gains character and interest. This wall decor sign can be personalized with name drops. No two are the same!,,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/s/n/snh-119-christmas-subway.jpg,snh-119-christmas-subway.jpg,,,RedHorse800,snh-119-christmas-subway.jpg
Classic Boat,PP-1549,,"Classic Boat Coastal image printed directly to a distressed wood panel that has knots and other imperfections in it. We end up printing right over these imperfections, adding character which gives each sign the look and feel of a real vintage sign. This wall decor sign can be personalized with name drops. No two are the same!",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/p/p/pp-1549-classic-boat.jpg,pp-1549-classic-boat.jpg,,,RedHorse800,pp-1549-classic-boat.jpg
Crested Butte,PP-1445,,Original vintage image designed to look like an antique sign. The image is printed directly to a distressed wood panel made from 1/2 inch tongue and groove slats. Often the wood will have minor imperfections and other natural characteristics of real wood. There could be slight cracks where the slats come together. Any of the text on our signs can be customized. All of our images have the look and feel of real vintage signs. They can hang outside as long as they are in a sheltered area.,,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/p/p/pp-1445-crested-butte.jpg,pp-1445-crested-butte.jpg,,,RedHorse800,pp-1445-crested-butte.jpg
Cup Challenge,PP-1555,,"Downhill Ski Cup Challenge image printed directly to a distressed wood panel that has knots and other imperfections in it. We end up printing right over these imperfections, adding character which gives each sign the look and feel of a real vintage sign. This wall decor sign can be personalized with name drops. No two are the same!",,,,,,,,,,,,,,RedHorse400,RedHorse160,https://www.redhorsesigns.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/p/p/pp-1555.jpg,pp-1555.jpg,,,RedHorse800,pp-1555.jpg
