"MTL. ""HIS & HERS"" SIGN SET/2 (12 sets/cs)",BY1096,,"BY1096


Item Information______________________
Item Size (WxHxL):7.000 x 4.000 x 1.000 in
Item Weight: 0.5000 lbs
Item Material: 100% Metal
Item Color: White / Black
Details 1:
Details 2:
Other Sizes: HERS: 1 x 8.25 x 4.6
Other Sizes:NA
Assembly Required: NO

Catalog PG:
Catalog Style:
Item Origin: CHINA

Case Info_____________________________
Case Qty: 12.000000000
Inner Qty: 2.000000000
Case Size (HxWxD): in x in x in
Case Weight: 22 lbs

Order Info______________
Minimum Order Quantity: 2

0",,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/BY1096_lg.jpg?updated=4/20/2018,2018,,,VIP800,2018
MTL. 3 PLATE RACK VERT. (8/cs),FH1134,,"FH1134
CARVER 3 PLATE HANGING RACK

Item Information______________________
Item Size (WxHxL):13.20 x 42.10 x 3.000 in
Item Weight: 4.0000 lbs
Item Material: METAL
Item Color: BLACK
Details 1:
Details 2:
Other Sizes: NA
Other Sizes:NA
Assembly Required: NO

Catalog PG:
Catalog Style:
Item Origin: CHINA

Case Info_____________________________
Case Qty: 8.000000000
Inner Qty: 4.000000000
Case Size (HxWxD): 14in x 17in x 43in
Case Weight: 34 lbs

Order Info______________
Minimum Order Quantity: 2

0",,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/FH1134_lg.jpg?updated=4/20/2018,2018,,,VIP800,2018
WD./MTL. FRAME 5X7 (8/cs),MT2740,,"MT2740


Item Information______________________
Item Size (WxHxL):8.700 x 10.60 x 1.200 in
Item Weight: 2.1000 lbs
Item Material: MDF 50%, IRON 25%, acrylic 25%
Item Color: Grey
Details 1: Indoor Use Only
Details 2: Table Top Display
Other Sizes: NA
Other Sizes:NA
Assembly Required: NO

Catalog PG:
Catalog Style:
Item Origin: CHINA

Case Info_____________________________
Case Qty: 8.000000000
Inner Qty: 1.000000000
Case Size (HxWxD): in x in x in
Case Weight: 19.4 lbs

Order Info______________
Minimum Order Quantity: 2

0",,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MT2740_lg.jpg?updated=4/20/2018,2018,,,VIP800,2018
WD./MTL. FRAME 4X6 (8/cs),MT2741,,"MT2741


Item Information______________________
Item Size (WxHxL):8.700 x 10.60 x 1.200 in
Item Weight: 2.1000 lbs
Item Material: MDF 50%, IRON 25%, acrylic 25%
Item Color: Grey
Details 1: Indoor Use Only
Details 2: Table Top Display
Other Sizes: NA
Other Sizes:NA
Assembly Required: NO

Catalog PG:
Catalog Style:
Item Origin: CHINA

Case Info_____________________________
Case Qty: 8.000000000
Inner Qty: 1.000000000
Case Size (HxWxD): in x in x in
Case Weight: 19.4 lbs

Order Info______________
Minimum Order Quantity: 2

0",,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MT2741_lg.jpg?updated=4/20/2018,2018,,,VIP800,2018
WD./MTL. FRAME 3.5X3.5 (16/cs),MT2742,,"MT2742


Item Information______________________
Item Size (WxHxL):7.900 x 7.900 x 1.000 in
Item Weight: 1.3000 lbs
Item Material: MDF 50%, IRON 25%, acrylic 25%
Item Color: Grey
Details 1: Indoor Use Only
Details 2: Table Top Only
Other Sizes: NA
Other Sizes:NA
Assembly Required: NO

Catalog PG:
Catalog Style:
Item Origin: CHINA

Case Info_____________________________
Case Qty: 16.000000000
Inner Qty: 1.000000000
Case Size (HxWxD): in x in x in
Case Weight: 24.3 lbs

Order Info______________
Minimum Order Quantity: 2

0",,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MT2742_lg.jpg?updated=4/20/2018,2018,,,VIP800,2018
WD. TABLE CLOCK (1/cs),MT2743,,"MT2743


Item Information______________________
Item Size (WxHxL):11.00 x 16.50 x 4.300 in
Item Weight: 7.7000 lbs
Item Material: MDF, GLASS, Plastic
Item Color: White
Details 1: Indoor Use Only
Details 2: Glass Enclosed Face
Other Sizes: NA
Other Sizes:NA
Assembly Required: NO

Catalog PG:
Catalog Style:
Item Origin: CHINA

Case Info_____________________________
Case Qty: 1.000000000
Inner Qty:
Case Size (HxWxD): in x in x in
Case Weight: 17.6 lbs

Order Info______________
Minimum Order Quantity: 2

0",,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MT2743_lg.jpg?updated=4/20/2018,2018,,,VIP800,2018
MTL. HANGING CLOCK (16/cs),MT2744,,"MT2744


Item Information______________________
Item Size (WxHxL):7.100 x 13.20 x 3.900 in
Item Weight: 1.1000 lbs
Item Material: IRON 50%, PINE 35%, GLASS 15%
Item Color: Rustic Brown
Details 1: Glass Enclosed Face
Details 2: Indoor Use Only
Other Sizes: NA
Other Sizes:NA
Assembly Required: YES

Catalog PG:
Catalog Style:
Item Origin: CHINA

Case Info_____________________________
Case Qty: 16.000000000
Inner Qty: 2.000000000
Case Size (HxWxD): in x in x in
Case Weight: 22 lbs

Order Info______________
Minimum Order Quantity: 2

0",,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MT2744_lg.jpg?updated=4/20/2018,2018,,,VIP800,2018
MTL. TABLETOP CLOCK (16/cs),MT2745,,"MT2745


Item Information______________________
Item Size (WxHxL):5.000 x 6.600 x 2.000 in
Item Weight: 1.0000 lbs
Item Material: IRON, GLASS, Plastic
Item Color: Brown / Bronze
Details 1: Indoor Use Only
Details 2: Glass Enclosed Face
Other Sizes: NA
Other Sizes:NA
Assembly Required: NO

Catalog PG:
Catalog Style:
Item Origin: CHINA

Case Info_____________________________
Case Qty: 16.000000000
Inner Qty: 1.000000000
Case Size (HxWxD): in x in x in
Case Weight: 19.3 lbs

Order Info______________
Minimum Order Quantity: 2

0",,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MT2745_lg.jpg?updated=4/20/2018,2018,,,VIP800,2018
MTL. TABLETOP CLOCK (18/cs),MT2746,,"MT2746


Item Information______________________
Item Size (WxHxL):4.700 x 6.500 x 2.200 in
Item Weight: 1.1000 lbs
Item Material: IRON 70%, GLASS, Plastic
Item Color: Rustic Grey
Details 1: Indoor Use only
Details 2: Glass Enclosed Face
Other Sizes: NA
Other Sizes:NA
Assembly Required: NO

Catalog PG:
Catalog Style:
Item Origin: CHINA

Case Info_____________________________
Case Qty: 18.000000000
Inner Qty: 1.000000000
Case Size (HxWxD): in x in x in
Case Weight: 24.3 lbs

Order Info______________
Minimum Order Quantity: 2

0",,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MT2746_lg.jpg?updated=4/20/2018,2018,,,VIP800,2018
MTL. TABLETOP CLOCK (4/cs),MT2747,,"MT2747


Item Information______________________
Item Size (WxHxL):14.20 x 14.00 x 5.000 in
Item Weight: 3.1000 lbs
Item Material: IRON 50% MDF 25% FIR 10%, GLAS
Item Color: Black / Brown / White
Details 1: Indoor Use Only
Details 2: Glass Enclosed Face
Other Sizes: NA
Other Sizes:NA
Assembly Required: NO

Catalog PG:
Catalog Style:
Item Origin: CHINA

Case Info_____________________________
Case Qty: 4.000000000
Inner Qty: 1.000000000
Case Size (HxWxD): in x in x in
Case Weight: 17 lbs

Order Info______________
Minimum Order Quantity: 2

0",,,,,,,,,,,,,,VIP400,VIP160,http://images.repzio.com/productimages/928/MT2747_lg.jpg?updated=4/20/2018,2018,,,VIP800,2018
