2478BU-BR-TUR,"MIXED BERRY GARLAND W/LEAVES, 53IN, HW, BURGUNDY, BROWN, TURQUOISE",2 ,$15.50,6 ,$9.00,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/2478BU_BR_TUR_563d251adee81.jpg
2478GR-BT-LBL,"MIXED BERRY GARLAND W/LEAVES, HW, 53IN, GREEN/BUTTER/LIGHT BLUE",2 ,$15.50,6 ,$9.00,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/2478GR_BT_LBL_563d2b36781dc.jpg
2478GR-PE-CR,"MIXED BERRY GARLAND W/LEAVES, HW, 53IN, GREEN, PEACH, CREAM",2 ,$15.50,2 ,$15.50,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/2478GR_PE_CR_563d2c38b3d3a.jpg
2478LTGR-CML-CR,"MIXED BERRY GARLAND W/LEAVES, 53IN, HW, LIGHT GREEN/CARAMEL/CREAM",2 ,$15.50,6 ,$9.00,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/2478LTGR_CML_CR_4ff72dbedd8e0.jpg
2809RE-BU,"FORSYTHIA BOUQUET, 20IN, HW, PARCHMENT, RED/BURGUNDY",2 ,$6.00,6 ,$5.10,60 ,$4.20,http://floralkmi.com/components/com_virtuemart/shop_image/product/2809RE-BU.jpg
3577YE-CR,"RUST STAR/BERRY GARLAND, 57IN, HW, YELLOW/CREAM",6 ,$6.00,24 ,$5.00,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/3577YE_CR_5654e82aa36c2.jpg
3659BU-OR,"RUST STAR/BERRY SPRAY, 28IN, HW, BURGUNDY/ORANGE",12 ,$2.00,24 ,$1.70,144 ,$1.40,http://floralkmi.com/components/com_virtuemart/shop_image/product/3659BU_OR_4fff35bd8ca32.jpg
3956CR-RO-PE,"MIXED BERRY WREATH SET OF 2, 19 IN DIA (10 IN RIM) & 12 IN DIA (4 IN RIM), CREAM/ROSE/PEACH",1 ,$28.50,2 ,$24.23,6 ,$19.95,http://floralkmi.com/components/com_virtuemart/shop_image/product/3956CR_RO_PE_547384da5c51f.jpg
3956GR-OL-CR,"MIXED BERRY WREATH SET OF 2, 19 IN DIA (10 IN RIM) & 12 IN DIA (4 IN RIM), GREEN/OLIVE/CREAM",1 ,$28.50,2 ,$24.23,6 ,$19.95,http://floralkmi.com/components/com_virtuemart/shop_image/product/3956GR_OL_CR_50368a46884ff.jpg
3956PRO,"MIXED BERRY WREATH SET OF 2, 19 IN DIA (10 IN RIM) & 12 IN DIA (4 IN RIM), PRIMROSE",1 ,$28.50,2 ,$24.23,6 ,$19.95,http://floralkmi.com/components/com_virtuemart/shop_image/product/3956PRO_5473863df27e0.jpg
3957CR-RO-PE,"MIXED BERRY GARLAND WITH LARGE BERRIES, 55IN, CREAM/ROSE/PEACH",2 ,$9.00,6 ,$7.75,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/3957CR_RO_PE_5474af95c6847.jpg
3957GR-MX,"MIXED BERRY GARLAND WITH LARGE BERRIES, 55IN, GREEN MIXED",2 ,$9.00,6 ,$7.75,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/3957GR_MX_4e28b09e517e5.jpg
3957GR-OL-CR,"MIXED BERRY GARLAND WITH LARGE BERRIES, 55IN, GREEN/OLIVE/CREAM",2 ,$9.00,6 ,$7.75,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/3957GR_OL_CR_4ff752e203242.jpg
3957PRO,"MIXED BERRY GARLAND WITH LARGE BERRIES, 55IN, PRIMROSE",2 ,$9.00,6 ,$7.75,,,http://floralkmi.com/components/com_virtuemart/shop_image/product/3957PRO_5474af7151705.jpg
4380S,"NEWS PRINT BURLAP DRAGONFLY SPRAY, 26IN",6 ,$5.00,12 ,$4.25,72 ,$3.50,http://floralkmi.com/components/com_virtuemart/shop_image/product/4380S_54a32e687f848.jpg
D001,"FREEZIN FREDDY SNOWMAN, 8IN X 12IN",2 ,$16.00,4 ,$12.00,12 ,$9.60,http://floralkmi.com/components/com_virtuemart/shop_image/product/GF182.jpg
D003,SNOWMAN 18 IN,2 ,$16.00,2 ,$16.00,12 ,$9.60,http://floralkmi.com/components/com_virtuemart/shop_image/product/D003_539882e33a7e3.jpg
D004,SNOWMAN 16 IN,2 ,$13.50,4 ,$11.50,12 ,$9.45,http://floralkmi.com/components/com_virtuemart/shop_image/product/D004_539882f88ec92.jpg
D005,"SNOWMAN WITH RED HAT AND GREEN SCARF HOLDING A WREATH, 18 IN.",2 ,$14.00,4 ,$11.90,8 ,$9.80,http://floralkmi.com/components/com_virtuemart/shop_image/product/D005_5398a247061ee.jpg
D006,"SNOWMAN WITH RED PLAID SCARF, TOP HAT AND HEART, 15 IN.",2 ,$12.00,4 ,$10.20,8 ,$8.40,http://floralkmi.com/components/com_virtuemart/shop_image/product/D006_5398a2275a7b4.jpg
D007,"SNOWMAN WITH RED PLAID SCARF, RED SNOW HAT, AND HEART, 15 IN.",2 ,$12.00,4 ,$10.20,8 ,$8.40,http://floralkmi.com/components/com_virtuemart/shop_image/product/D007_5398a2865e125.jpg
D008,"SNOWMAN WITH GREEN PLAID SCARF, RED HAT, AND SKI POLES, 15 IN.",2 ,$12.00,4 ,$10.20,18 ,$8.40,http://floralkmi.com/components/com_virtuemart/shop_image/product/D008_5398a2ab5e3f9.jpg
D009,"SNOWMAN WITH RED PLAID SCARF, GREEN HAT, AND SKIS, 15 IN.",2 ,$12.00,4 ,$10.20,18 ,$8.40,http://floralkmi.com/components/com_virtuemart/shop_image/product/D009_5398a2c4064e8.jpg
D011,"SNOWMAN WITH RED PLAID SCARF, RED SNOW HAT, AND STAR, 11 IN.",2 ,$9.00,4 ,$7.65,18 ,$6.30,http://floralkmi.com/components/com_virtuemart/shop_image/product/D011_5398a2f7645f3.jpg
D012,"SNOWMAN WITH FAUX FUR EAR MUFFS AND TRIM, 7 IN.",6 ,$7.00,6 ,$7.00,12 ,$5.95,http://floralkmi.com/components/com_virtuemart/shop_image/product/D012_5398a316f0e4c.jpg
D013,"SNOWMAN WITH PLAID SCARF AND BURGUNDY HAT, 8 IN.",6 ,$7.00,12 ,$5.95,36 ,$4.90,http://floralkmi.com/components/com_virtuemart/shop_image/product/D013_5398a33b11bfa.jpg
D014,"SNOWMAN WITH BURGUNDY PLAID SCARF, GREEN HAT, AND BIRD,6.5 IN.",6 ,$5.00,12 ,$4.25,72 ,$3.50,http://floralkmi.com/components/com_virtuemart/shop_image/product/D014_5398a353721f2.jpg
D016,"SNOWMAN WITH BURGUNDY PLAID SCARF, TOP HAT, AND BROOM, 6.5 IN.",6 ,$5.00,6 ,$5.00,12 ,$4.25,http://floralkmi.com/components/com_virtuemart/shop_image/product/D016_5398a3823b151.jpg
D020,"RAGGEDY BOY DOLL, 12 IN.",2 ,$12.00,12 ,$10.20,32 ,$8.40,http://floralkmi.com/components/com_virtuemart/shop_image/product/D020_5398a3f1adb01.jpg
D023,"GIRL DOLL WITH BUTTON EYES AND BLUE CHECKERED DRESS, 15 IN.",2 ,$12.00,6 ,$10.20,18 ,$8.40,http://floralkmi.com/components/com_virtuemart/shop_image/product/D023_5398a43e41f11.jpg
D024,"GIRL DOLL IN FLORAL DRESS, 15 IN.",2 ,$12.00,6 ,$10.20,18 ,$8.40,http://floralkmi.com/components/com_virtuemart/shop_image/product/D024_5398a45d9aee3.jpg
D025,"GIRL DOLL IN BLUE DRESS, 15 IN.",2 ,$12.00,6 ,$10.20,18 ,$8.40,http://floralkmi.com/components/com_virtuemart/shop_image/product/D025_5398a47870144.jpg
FA003BK-PU,"GLITTERED WITCH HAT W/PURPLE GLITTERED SPIDER AND MIXED BERRIES, 8IN. H X 7 IN. W, BLACK, PURPLE",2 ,$7.00,6 ,$5.95,24 ,$4.90,http://floralkmi.com/components/com_virtuemart/shop_image/product/FA003BK_PU_52e18ae0ef540.jpg
FA003OR-BK,"GLITTERED WITCH HAT W/BLACK GLITTERED SPIDER AND MIXED BERRIES, 8IN. H X 7 IN. W, ORANGE, BLACK",2 ,$7.00,6 ,$5.95,24 ,$4.90,http://floralkmi.com/components/com_virtuemart/shop_image/product/FA003OR_BK_52e18b7b35314.jpg
FA004BK-PU,"GLITTERED WITCH HAT W/PURPLE AND BLACK GLITTERED SPIDER AND MIXED BERRIES, 12 IN. H. X 11 IN., BLACK, PURPLE",1 ,$12.00,2 ,$10.20,6 ,$8.40,http://floralkmi.com/components/com_virtuemart/shop_image/product/FA004BK_PU_52e18b9c2bfb7.jpg
FA004OR-BK,"GLITTERED WITCH HAT W/ORANGE AND BLACK GLITTERED SPIDER AND MIXED BERRIES, 12 IN. H. X 11W, ORANGE, BLACK",1 ,$12.00,2 ,$10.20,6 ,$8.40,http://floralkmi.com/components/com_virtuemart/shop_image/product/FA004OR_BK_52e18bd6a6be2.jpg
FA005BK-PU,"BURLAP WITCH HAT WITH PURPLE GLITTERED SPIDER AND MIXED BERRIES, 8 IN. H. X 7 IN. W., BLACK, PURPLE",2 ,$6.75,6 ,$5.74,24 ,$4.73,http://floralkmi.com/components/com_virtuemart/shop_image/product/FA005BK_PU_52e18c0a6b836.jpg
FA005OR-BK,"BURLAP WITCH HAT WITH BLACK GLITTERED SPIDER AND MIXED BERRIES, 8 IN. H. X 7 IN., ORANGE, BLACK",2 ,$6.75,6 ,$5.74,24 ,$4.73,http://floralkmi.com/components/com_virtuemart/shop_image/product/FA005OR_BK_52e18c44cb032.jpg
X008D BR,"LONG NEEDLE PINE DROP WITH BURLAP BOWS AND BELLS, 11 IN., BROWN",2 ,$6.50,6 ,$5.53,36 ,$4.55,http://floralkmi.com/components/com_virtuemart/shop_image/product/X008D_BR_5473b20447f1d.jpg
X008G BR,"LONG NEEDLE PINE GARLAND WITH BURLAP, STARS, BELLS AND PINE CONES,48 IN., BROWN",1 ,$17.50,4 ,$14.88,8 ,$12.25,http://floralkmi.com/components/com_virtuemart/shop_image/product/X008G_BR_52e1941acc4c2.jpg
X008S BR,"LONG NEEDLE PINE SPRAY WITH BURLAP, STARS, BELL AND PINE CONE, 24 IN., BROWN",2 ,$3.50,4 ,$2.98,24 ,$2.45,http://floralkmi.com/components/com_virtuemart/shop_image/product/X008S_BR_52e19441dc464.jpg
X008W BR,"LONG NEEDLE PINE WREATH WITH BURLAP, STARS, BELLS, AND PINE CONES, 11 IN. RIM, BROWN",1 ,$17.50,2 ,$14.88,6 ,$12.25,http://floralkmi.com/components/com_virtuemart/shop_image/product/X008W_BR_52e1946716f64.jpg
